"genus","age","n_species","family"
"Acanthella",26.991,2,"Melastomataceae"
"Acca",NA,2,"Myrtaceae"
"Accara",40.582,1,"Myrtaceae"
"Aciotis",17.399,15,"Melastomataceae"
"Acisanthera",13.399,14,"Melastomataceae"
"Actinodium",16.066,1,"Myrtaceae"
"Adelobotrys",23.735,31,"Melastomataceae"
"Adenaria",11.847,1,"Lythraceae"
"Agonis",32.903,7,"Myrtaceae"
"Algrizea",40.224,2,"Myrtaceae"
"Allomaieta",18.079,9,"Melastomataceae"
"Allomorphia",12.732,NA,NA
"Alloneuron",25.583,5,"Melastomataceae"
"Allosyncarpia",41.623,1,"Myrtaceae"
"Aluta",5.63699999999999,10,"Myrtaceae"
"Alzatea",39.364,3,"Alzateaceae"
"Ammannia",17.707,135,"Lythraceae"
"Amomyrtella",45.909,2,"Myrtaceae"
"Amomyrtus",45.794,2,"Myrtaceae"
"Amphiblemma",26.47,17,"Melastomataceae"
"Amphorocalyx",7.78499999999998,5,"Melastomataceae"
"Anaectocalyx",11.747,NA,NA
"Anaheterotis",NA,1,"Melastomataceae"
"Andesanthus",NA,11,"Melastomataceae"
"Anerincleistus",NA,40,"Melastomataceae"
"Angophora",16.893,16,"Myrtaceae"
"Antherotoma",12.268,10,"Melastomataceae"
"Anticoryne",NA,3,"Myrtaceae"
"Appendicularia",13.186,3,"Melastomataceae"
"Archirhodomyrtus",55.165,5,"Myrtaceae"
"Argyrella",NA,8,"Melastomataceae"
"Arillastrum",60.12,1,"Myrtaceae"
"Arthrostemma",28.708,4,"Melastomataceae"
"Aschistanthera",NA,1,"Melastomataceae"
"Astartea",18.209,25,"Myrtaceae"
"Astereomyrtus",36.296,NA,NA
"Asteromyrtus",NA,7,"Myrtaceae"
"Astrocalyx",21.576,1,"Melastomataceae"
"Astronia",NA,70,"Melastomataceae"
"Astronidium",21.576,71,"Melastomataceae"
"Astus",25.163,4,"Myrtaceae"
"Austromyrtus",52.274,5,"Myrtaceae"
"Axinaea",21.625,41,"Melastomataceae"
"Axinandra",64.055,4,"Crypteroniaceae"
"Babingtonia",18.216,2,"Myrtaceae"
"Backhousia",68.477,13,"Myrtaceae"
"Baeckea",NA,27,"Myrtaceae"
"Balaustion",29.477,1,"Myrtaceae"
"Barongia",61.792,1,"Myrtaceae"
"Barthea",27.125,3,"Melastomataceae"
"Basisperma",45.956,1,"Myrtaceae"
"Beaufortia",24.159,NA,NA
"Beccarianthus",23.435,9,"Melastomataceae"
"Behuria",8.14299999999999,NA,NA
"Bellucia",15.628,22,"Melastomataceae"
"Bertolonia",50.442,34,"Melastomataceae"
"Bisglaziovia",NA,1,"Melastomataceae"
"Blakea",31.882,196,"Melastomataceae"
"Blastus",23.93,11,"Melastomataceae"
"Blepharocalyx",40.964,3,"Myrtaceae"
"Boerlagea",NA,1,"Melastomataceae"
"Boyania",19.879,2,"Melastomataceae"
"Brachyotum",7.24699999999999,55,"Melastomataceae"
"Brachysiphon",9.69999999999999,NA,NA
"Brasilianthus",14.337,1,"Melastomataceae"
"Bredia",29.807,25,"Melastomataceae"
"Buchenavia",59.794,NA,NA
"Bucquetia",9.877,3,"Melastomataceae"
"Cailliella",NA,1,"Melastomataceae"
"Callisthene",21.366,10,"Vochysiaceae"
"Calvoa",27.836,22,"Melastomataceae"
"Calycogonium",7.33699999999999,NA,NA
"Calycolpus",40.582,17,"Myrtaceae"
"Calycorectes",NA,18,"Myrtaceae"
"Calytrix",30.661,95,"Myrtaceae"
"Cambessedesia",31.103,29,"Melastomataceae"
"Camissonia",16.365,21,"Onagraceae"
"Camissoniopsis",11.2,20,"Onagraceae"
"Campomanesia",NA,51,"Myrtaceae"
