"genera","family","most_common_life_form","keep"
"Erisma","Vochysiaceae","woody perennial","YES"
"Erismadelphus","Vochysiaceae","woody perennial","YES"
"Ernestia","Melastomataceae",NA,"YES"
"Eucalyptopsis","Myrtaceae","woody perennial","YES"
"Eucalyptus","Myrtaceae","woody perennial","YES"
"Eugenia","Myrtaceae","woody perennial","YES"
"Eulobus","Onagraceae","annual","YES"
"Euryomyrtus","Myrtaceae","woody perennial","YES"
"Feijoa","Myrtaceae","woody perennial","YES"
"Fordiophyton","Melastomataceae",NA,"YES"
"Fritzschia","Melastomataceae",NA,"YES"
"Fuchsia","Onagraceae","woody perennial","YES"
"Galpinia","Lythraceae","woody perennial","YES"
"Gayophytum","Onagraceae","annual","YES"
"Getonia","Combretaceae","woody perennial","YES"
"Ginoria","Lythraceae","woody perennial","YES"
"Glischrocolla",NA,NA,"YES"
"Gongylocarpus","Onagraceae","annual","YES"
"Gossia","Myrtaceae","woody perennial","YES"
"Graffenrieda","Melastomataceae",NA,"YES"
"Gravesia","Melastomataceae","epiphyte","YES"
"Guiera","Combretaceae","woody perennial","YES"
"Guyonia","Melastomataceae","epiphyte","YES"
"Heimia","Lythraceae","woody perennial","YES"
"Henriettea","Melastomataceae",NA,"YES"
"Henriettella",NA,NA,"YES"
"Heterocentron","Melastomataceae",NA,"YES"
"Heteropyxis","Myrtaceae","woody perennial","YES"
"Heterotis","Melastomataceae","woody perennial","YES"
"Homalospermum","Myrtaceae","woody perennial","YES"
"Homoranthus","Myrtaceae","woody perennial","YES"
"Huberia","Melastomataceae",NA,"YES"
"Hypocalymma","Myrtaceae","woody perennial","YES"
"Kanakomyrtus","Myrtaceae","woody perennial","YES"
"Kania","Myrtaceae","woody perennial","YES"
"Kardomia","Myrtaceae","woody perennial","YES"
"Killipia",NA,NA,"YES"
"Kjellbergiodendron","Myrtaceae","woody perennial","YES"
"Koehneria","Lythraceae",NA,"YES"
"Korupodendron","Vochysiaceae","woody perennial","YES"
"Kunzea","Myrtaceae","woody perennial","YES"
"Lagerstroemia","Lythraceae","woody perennial","YES"
"Laguncularia","Combretaceae","woody perennial","YES"
"Lamarchea",NA,NA,"YES"
"Lavoisiera","Melastomataceae",NA,"YES"
"Lawsonia","Lythraceae","woody perennial","YES"
"Leandra","Melastomataceae","herbaceous perennial","YES"
"Leiostegia",NA,NA,"YES"
"Lenwebbia","Myrtaceae","woody perennial","YES"
"Leptospermum","Myrtaceae","woody perennial","YES"
"Lijndenia","Melastomataceae",NA,"YES"
"Lindsayomyrtus","Myrtaceae","woody perennial","YES"
"Lithobium","Melastomataceae",NA,"YES"
"Lithomyrtus","Myrtaceae","woody perennial","YES"
"Lopezia","Onagraceae","annual","YES"
"Lophomyrtus","Myrtaceae","woody perennial","YES"
"Lophostemon","Myrtaceae","woody perennial","YES"
"Loreya",NA,NA,"YES"
"Loricalepis","Melastomataceae",NA,"YES"
"Lourtella","Lythraceae","woody perennial","YES"
"Ludwigia","Onagraceae","woody perennial","YES"
"Luma","Myrtaceae","woody perennial","YES"
"Lumnitzera","Combretaceae","woody perennial","YES"
"Lysicarpus","Myrtaceae","woody perennial","YES"
"Lythrum","Lythraceae","herbaceous perennial","YES"
"Macairea","Melastomataceae",NA,"YES"
"Macrocentrum","Melastomataceae","epiphyte","YES"
"Macropteranthes","Combretaceae","woody perennial","YES"
"Maieta","Melastomataceae",NA,"YES"
"Malleostemon","Myrtaceae","woody perennial","YES"
"Marcetia","Melastomataceae",NA,"YES"
"Mecranium",NA,NA,"YES"
"Medinilla","Melastomataceae","epiphyte","YES"
"Melaleuca","Myrtaceae","woody perennial","YES"
"Melastoma","Melastomataceae","woody perennial","YES"
"Melastomastrum","Melastomataceae","woody perennial","YES"
"Memecylon","Melastomataceae","woody perennial","YES"
"Meriania","Melastomataceae","woody perennial","YES"
"Merianthera","Melastomataceae",NA,"YES"
"Metrosideros","Myrtaceae","woody perennial","YES"
"Miconia","Melastomataceae","woody perennial","YES"
"Microlepis",NA,NA,"YES"
"Microlicia","Melastomataceae","woody perennial","YES"
"Micromyrtus","Myrtaceae","woody perennial","YES"
"Mitrantia","Myrtaceae","woody perennial","YES"
"Monochaetum","Melastomataceae","woody perennial","YES"
"Monolena","Melastomataceae","epiphyte","YES"
"Mouriri","Melastomataceae",NA,"YES"
"Myrceugenia","Myrtaceae","woody perennial","YES"
"Myrcia","Myrtaceae","woody perennial","YES"
"Myrcianthes","Myrtaceae","woody perennial","YES"
"Myrciaria","Myrtaceae","woody perennial","YES"
"Myriaspora",NA,NA,"YES"
"Myrrhinium","Myrtaceae","woody perennial","YES"
"Myrtastrum","Myrtaceae","woody perennial","YES"
"Myrtella","Myrtaceae","woody perennial","YES"
"Myrteola","Myrtaceae","woody perennial","YES"
"Myrtus","Myrtaceae","woody perennial","YES"
"Necramium",NA,NA,"YES"
"Neofabricia","Myrtaceae","woody perennial","YES"
"Neoholmgrenia","Onagraceae","annual","YES"
"Neomitranthes","Myrtaceae","woody perennial","YES"
"Nepsera","Melastomataceae",NA,"YES"
"Noterophila","Melastomataceae",NA,"YES"
"Ochrosperma","Myrtaceae","woody perennial","YES"
"Ochthephilus","Melastomataceae",NA,"YES"
"Octamyrtus","Myrtaceae","woody perennial","YES"
"Oenothera","Onagraceae","herbaceous perennial","YES"
"Olinia","Penaeaceae","woody perennial","YES"
"Opisthocentra","Melastomataceae",NA,"YES"
"Osbeckia","Melastomataceae","woody perennial","YES"
"Ossaea","Melastomataceae",NA,"YES"
"Oxymyrrhine","Myrtaceae","woody perennial","YES"
"Oxyspora","Melastomataceae","woody perennial","YES"
"Pachyanthus",NA,NA,"YES"
"Pachyloma","Melastomataceae",NA,"YES"
"Pehria","Lythraceae","woody perennial","YES"
"Pemphis","Lythraceae","woody perennial","YES"
"Penaea","Penaeaceae","woody perennial","YES"
"Pericalymma","Myrtaceae","woody perennial","YES"
"Phainantha","Melastomataceae","epiphyte","YES"
"Phyllagathis","Melastomataceae",NA,"YES"
"Physeterostemon","Melastomataceae",NA,"YES"
"Physocalymma","Lythraceae","woody perennial","YES"
"Pileanthus","Myrtaceae","woody perennial","YES"
"Pilidiostigma","Myrtaceae","woody perennial","YES"
"Pilocosta","Melastomataceae",NA,"YES"
"Pimenta","Myrtaceae","woody perennial","YES"
"Pleiochiton",NA,NA,"YES"
"Pleroma","Melastomataceae","woody perennial","YES"
"Plethiandra","Melastomataceae","epiphyte","YES"
"Pleurocalyptus","Myrtaceae","woody perennial","YES"
"Pleurophora","Lythraceae","woody perennial","YES"
"Plinia","Myrtaceae","woody perennial","YES"
"Potheranthera",NA,NA,"YES"
"Pseudanamomis",NA,NA,"YES"
"Pseudocaryophyllus","Myrtaceae",NA,"YES"
"Pseudoernestia","Melastomataceae",NA,"YES"
"Psidium","Myrtaceae","woody perennial","YES"
"Psiloxylon","Myrtaceae","woody perennial","YES"
"Pternandra","Melastomataceae","woody perennial","YES"
"Pterogastra","Melastomataceae",NA,"YES"
"Pterolepis","Melastomataceae","woody perennial","YES"
"Punica","Lythraceae","woody perennial","YES"
"Purpureostemon","Myrtaceae","woody perennial","YES"
"Qualea","Vochysiaceae","woody perennial","YES"
"Quipuanthus","Melastomataceae",NA,"YES"
"Rhexia","Melastomataceae","herbaceous perennial","YES"
"Rhodamnia","Myrtaceae","woody perennial","YES"
"Rhodomyrtus","Myrtaceae","woody perennial","YES"
"Rhynchanthera","Melastomataceae",NA,"YES"
"Rhynchocalyx","Penaeaceae","woody perennial","YES"
"Rinzia","Myrtaceae","woody perennial","YES"
"Ristantia","Myrtaceae","woody perennial","YES"
"Rotala","Lythraceae","annual","YES"
"Rousseauxia","Melastomataceae",NA,"YES"
"Rupestrea",NA,NA,"YES"
"Salpinga","Melastomataceae","epiphyte","YES"
"Salvertia","Vochysiaceae","woody perennial","YES"
"Sandemania","Melastomataceae",NA,"YES"
"Sannantha","Myrtaceae","woody perennial","YES"
"Sarcopyramis","Melastomataceae",NA,"YES"
"Scholtzia","Myrtaceae","woody perennial","YES"
