  ,Expert,Family,Genus,most_common_life_form,age,n_species,div_rate_eps0,div_rate_eps0.5,div_rate_eps0.9,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,,
Melastomataceae_Acanthella,Fabian Michelangeli,Melastomataceae,Acanthella,woody perennial,NA,NA,NA,NA,NA,Dry,50,100,75,4,5,3,4,3.5,biotic,12; 15,12,20,16,Data by EL in blue,monophyletic
Myrtaceae_Accara,Karinne Valdemarin,Myrtaceae,Accara,woody perennial,40.582,1,0,0,0,Fleshy,40,40,40,3,3,NA,NA,insects,biotic,11-19 mm long,11,19,15,,
Melastomataceae_Aciotis,Fabian Michelangeli,Melastomataceae,Aciotis,annual,17.399,15,0.156,0.12,0.05,Fleshy,NA,NA,NA,0.2,0.7,0.15,0.5,insects,biotic,3.5; 4.5,3,15,9,Data by EL in blue,monophyletic. need to check herbarium for seed number
Melastomataceae_Acisanthera,Fabian Michelangeli,Melastomataceae,Acisanthera,herbaceous perennial,13.399,14,0.197,0.15,0.062,Dry,NA,NA,NA,0.55,0.75,NA,NA,insects,biotic,,6,30,18,,"NOT AT KEW Kriebel, R. (2008). Systematics and biogeography of the Neotropical genus Acisanthera (Melastomataceae) (Doctoral dissertation, San Francisco State University). Eve can find at Kew"
Myrtaceae_Actinodium,Peter Wilson,Myrtaceae,Actinodium,woody perennial,16.066,1,0,0,0,Dry,1,1,NA,NA,NA,NA,NA,insects,biotic,c. 3 mm,NA,NA,NA,,
Melastomataceae_Adelobotrys,Fabian Michelangeli,Melastomataceae,Adelobotrys,climber,23.735,31,0.145,0.117,0.058,Dry,100,100,100,0.55,2.5,0.2,0.5,insects,biotic,12; 15.5,12,30,21,changes by Eve,
Lythraceae_Adenaria,Shirley Graham,Lythraceae,Adenaria,woody perennial,11.847,1,0,0,0,Dry,7,20,13.5,0.9,1.3,0.8,1.2,abiotic,abiotic,2.0-2.5,NA,NA,NA,,
Myrtaceae_Agonis,Peter Wilson,Myrtaceae,Agonis,woody perennial,32.903,4,0.059,0.042,0.014,Dry,3,6,NA,1.2,1.5,NA,NA,insects,biotic,8–12 mm,NA,NA,NA,,
Myrtaceae_Algrizea,Karinne Valdemarin,Myrtaceae,Algrizea,woody perennial,40.224,2,0.017,0.01,0.002,Fleshy,1,3,2,4,5,3,3,insects,biotic,5.5-10 mm long,5.5,10,7.75,,
Melastomataceae_Allomaieta,Fabian Michelangeli,Melastomataceae,Allomaieta,woody perennial,18.079,9,0.122,0.089,0.033,Dry,100,100,100,0.2,0.65,0.1,0.4,insects,biotic,6,5,6,5.5,changes by Eve,
Melastomataceae_Allomorphia,Darin Penneys,Melastomataceae,Allomorphia,NA,NA,NA,NA,NA,NA,Dry,100,100,100,NA,NA,NA,NA,insects,biotic,7,NA,NA,NA,,
Melastomataceae_Alloneuron,Fabian Michelangeli,Melastomataceae,Alloneuron,woody perennial,25.583,5,0.063,0.043,0.013,Dry,100,100,100,0.3,0.75,0.2,0.5,insects,biotic,2.4,2.4,15,8.7,changes by Eve,
