  ,Expert,Family,Genus,most_common_life_form,age,n_species,div_rate_eps0,div_rate_eps0.5,div_rate_eps0.9,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,,
Myrtaceae_Allosyncarpia,Andrew Thornhill,Myrtaceae,Allosyncarpia,woody perennial,41.623,1,0,0,0,Dry,1,2,1.5,NA,NA,NA,NA,insects,biotic,5,NA,NA,NA,,
Myrtaceae_Aluta,Peter Wilson,Myrtaceae,Aluta,woody perennial,5.637,10,0.408,0.302,0.114,Dry,1,1,NA,NA,NA,NA,NA,insects,biotic,7‚Äì12 mm,NA,NA,NA,,
Alzateaceae_Alzatea,Fabian Michelangeli,Alzateaceae,Alzatea,woody perennial,39.364,3,0.028,0.018,0.005,Dry,40,60,50,2,3,1,1.5,insects,biotic,4–7 mm (Alzateaceae in Kubitzki),4,7,6.5,"TV note: flower size (width) according to S Graham in Kubitzki; In her description of the family (1984), she also described seed length and width, which was also added here",
Lythraceae_Ammannia,Shirley Graham,Lythraceae,Ammannia,annual,17.707,135,0.277,0.238,0.151,Dry,100,500,300,0.3,0.4,0.3,0.5,insects,biotic,"1.0-2.5, prev 2 mm",NA,NA,NA,,
Myrtaceae_Amomyrtella,Eve Lucas,Myrtaceae,Amomyrtella,woody perennial,45.909,2,0.015,0.009,0.002,Fleshy,2,3,2.5,3.5,5,3,4.8,insects,biotic,NA,6,13,9.5,,
Myrtaceae_Amomyrtus,Eve Lucas,Myrtaceae,Amomyrtus,woody perennial,45.794,2,0.015,0.009,0.002,Fleshy,1,4,2.5,4,6,3.5,5,insects,biotic,NA,5.5,8,6.75,,
Melastomataceae_Amphiblemma,Darin Penneys,Melastomataceae,Amphiblemma,NA,26.47,17,0.107,0.083,0.036,Dry,100,100,100,0.5,1.5,NA,NA,insects,biotic,4; 43; 22,NA,NA,NA,,
Melastomataceae_Amphorocalyx,Darin Penneys,Melastomataceae,Amphorocalyx,NA,7.785,5,0.207,0.141,0.043,Dry,100,100,100,0.5,1,NA,NA,insects,biotic,14; 42; 30,NA,NA,NA,,
Melastomataceae_Anaectocalyx,Fabian Michelangeli,Melastomataceae,Anaectocalyx,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.55,0.75,0.3,0.5,insects,biotic,12; 14,12,46,29,,SYN of Miconia: changes by Eve
Myrtaceae_Angophora,Andrew Thornhill,Myrtaceae,Angophora,woody perennial,16.893,16,0.164,0.127,0.054,Dry,NA,NA,NA,1,10,NA,NA,insects/vertebrates,biotic,4;5;4 (Sepals),NA,NA,NA,,
Melastomataceae_Antherotoma,Darin Penneys,Melastomataceae,Antherotoma,annual,12.268,10,0.188,0.139,0.052,Dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,8; 9; 8.5,NA,NA,NA,,
Melastomataceae_Appendicularia,Fabian Michelangeli,Melastomataceae,Appendicularia,annual,13.186,3,0.083,0.053,0.014,Dry,100,100,100,0.5,0.55,0.2,0.4,insects,biotic,NA,10,12,11,changes by Eve,
Myrtaceae_Archirhodomyrtus,Eve Lucas,Myrtaceae,Archirhodomyrtus,woody perennial,55.165,5,0.029,0.02,0.006,Fleshy,32,60,46,1,1.2,1.1,1.8,insects,biotic,NA,15,20,17.5,,
Myrtaceae_Arillastrum,Andrew Thornhill,Myrtaceae,Arillastrum,woody perennial,60.12,1,0,0,0,Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,4,NA,NA,NA,,
Melastomataceae_Arthrostemma,Fabian Michelangeli,Melastomataceae,Arthrostemma,herbaceous perennial,28.708,4,0.048,0.032,0.009,Dry,100,100,100,0.75,1,1,1,insects,biotic,20; 30,20,37,28.5,changes by Eve,
Myrtaceae_Astartea,Peter Wilson,Myrtaceae,Astartea,woody perennial,18.209,25,0.177,0.141,0.067,Dry,3,15,NA,0.6,1.3,NA,NA,insects,biotic,6‚Äì9 mm,NA,NA,NA,,
Myrtaceae_Astereomyrtus,Peter Wilson,Myrtaceae,Asteromyrtus,woody perennial,NA,7,NA,NA,NA,Dry,3,6,NA,3,4.5,NA,NA,insects,biotic,9‚Äì18 mm,NA,NA,NA,,
Melastomataceae_Astrocalyx,Darin Penneys,Melastomataceae,Astrocalyx,NA,21.576,1,0,0,0,Dry,100,100,100,0.5,1.8,NA,NA,insects,biotic,14; 15; 14.5,NA,NA,NA,,
Melastomataceae_Astronidium,Darin Penneys,Melastomataceae,Astronidium,woody perennial,21.576,71,0.198,0.166,0.096,Dry,100,100,100,0.75,2.5,NA,NA,insects,biotic,7; 20; 12,NA,NA,NA,,
Myrtaceae_Astus,Peter Wilson,Myrtaceae,Astus,woody perennial,25.163,4,0.055,0.036,0.01,Dry,1,1,NA,1.2,1.2,NA,NA,insects,biotic,3‚Äì5 mm,NA,NA,NA,,
Myrtaceae_Austromyrtus,Eve Lucas,Myrtaceae,Austromyrtus,woody perennial,52.274,5,0.031,0.021,0.006,Fleshy,1,13,7,1.8,3,1.5,4,insects,biotic,NA,7,9,7.5,,
Melastomataceae_Axinaea,Fabian Michelangeli,Melastomataceae,Axinaea,woody perennial,21.625,41,0.172,0.141,0.074,Dry,50,50,50,1,1.25,0.5,0.7,vertebrates,biotic,6; 8,6,15,10.5,changes by Eve,
Crypteroniaceae_Axinandra,Fabian Michelangeli,Crypteroniaceae,Axinandra,woody perennial,64.055,4,0.022,0.014,0.004,Dry,6,12,9,15,27.5,5,12,insects,biotic,NA,4,5,4.5,changed by Eve,
Myrtaceae_Babingtonia,Peter Wilson,Myrtaceae,Babingtonia,woody perennial,18.216,10,0.038,0.022,0.005,Dry,1,15,NA,0.6,1.6,NA,NA,insects,biotic,8‚Äì11 mm,NA,NA,NA,,
Myrtaceae_Backhousia,Peter Wilson,Myrtaceae,Backhousia,woody perennial,68.477,13,0.037,0.028,0.012,Dry,1,2,NA,NA,NA,NA,NA,insects,biotic,8.5‚Äì9.5 mm,NA,NA,NA,,
Myrtaceae_Balaustion,Peter Wilson,Myrtaceae,Balaustion,woody perennial,29.477,1,0,0,0,Dry,18,36,NA,2.4,2.6,NA,NA,vertebrates,biotic,15‚Äì25 mm,NA,NA,NA,,
Myrtaceae_Barongia,Peter Wilson,Myrtaceae,Barongia,woody perennial,61.792,1,0,0,0,Dry,1,2,NA,6,6,NA,NA,NA,NA,20‚Äì30 mm ,NA,NA,NA,,
Melastomataceae_Barthea,Darin Penneys,Melastomataceae,Barthea,NA,27.125,3,0.041,0.026,0.007,Dry,100,100,100,2.2,3.2,NA,NA,insects,biotic,22; 45; 33,NA,NA,NA,,
Myrtaceae_Basisperma,Peter Wilson,Myrtaceae,Basisperma,woody perennial,45.956,1,0,0,0,Dry,1,1,NA,3,3,NA,NA,NA,NA,c. 6 mm,NA,NA,NA,,
Myrtaceae_Beaufortia,Peter Wilson,Myrtaceae,Beaufortia,woody perennial,NA,22,NA,NA,NA,Dry,1,3,NA,0.5,0.5,NA,NA,insects,biotic,c. 8 mm (but flowers clustered and stamens spreading widely),NA,NA,NA,,
Melastomataceae_Beccarianthus,Darin Penneys,Melastomataceae,Beccarianthus,NA,23.435,9,0.094,0.069,0.025,Dry,100,100,100,1,2.5,NA,NA,vertebrates,biotic,12; 25; 20,NA,NA,NA,,
Melastomataceae_Behuria,Fabian Michelangeli,Melastomataceae,Behuria,woody perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.6,2,0.3,1.2,insects,biotic,13; 16,17,64,40.5,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Bellucia,Fabian Michelangeli,Melastomataceae,Bellucia,woody perennial,15.628,22,0.198,0.156,0.072,Fleshy,100,100,100,0.6,0.8,0.4,0.5,insects,biotic,15; 20,35,45,40,changes by Eve,
Melastomataceae_Bertolonia,Fabian Michelangeli,Melastomataceae,Bertolonia,epiphyte,50.442,34,0.07,0.057,0.029,Dry,100,100,100,0.4,0.55,0.2,0.35,insects,biotic,7.8; 8.3,12,28,20,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Blakea,Darin Penneys,Melastomataceae,Blakea,epiphyte,31.882,196,0.166,0.144,0.095,Fleshy,100,100,100,0.6,1.8,NA,NA,insects,biotic,10; 160; 60,NA,NA,NA,,
Melastomataceae_Blastus,Darin Penneys,Melastomataceae,Blastus,woody perennial,23.93,11,0.1,0.075,0.029,Dry,100,100,100,0.3,1.8,NA,NA,insects,biotic,2.5; 11; 5,NA,NA,NA,,
Myrtaceae_Blepharocalyx,Carolyn Proen√ßa,Myrtaceae,Blepharocalyx,woody perennial,40.964,3,0.027,0.017,0.004,Fleshy,1,11,6,3,10,NA,NA,insects,biotic,2.5mm; 4mm; 4mm,2.5,4,3.25,,
Melastomataceae_Boyania,Fabian Michelangeli,Melastomataceae,Boyania,herbaceous perennial,19.879,2,0.035,0.02,0.005,Dry,100,100,100,0.3,0.5,0.2,0.3,insects,biotic,8; 13,8,16,12,changes by Eve,
Melastomataceae_Brachyotum,Fabian Michelangeli,Melastomataceae,Brachyotum,woody perennial,7.247,55,0.553,0.46,0.256,Dry,100,100,100,0.4,0.9,0.25,0.6,vertebrates,biotic,10; 12,36,49,42.5,BUT petals stay upright so corolla diameter is less - Eve,
Penaeaceae_Brachysiphon,Fabian Michelangeli,Penaeaceae,Brachysiphon,woody perennial,NA,NA,NA,NA,NA,Dry,NA,NA,NA,3,3.4,NA,NA,insects,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Melastomataceae_Brasilianthus,NA,Melastomataceae,Brasilianthus,annual,14.337,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Melastomataceae_Bredia,Darin Penneys,Melastomataceae,Bredia,woody perennial,29.807,25,0.108,0.086,0.041,Dry,100,100,100,0.4,1,NA,NA,insects,biotic,10; 24; 17,NA,NA,NA,,
Combretaceae_Buchenavia,"Olivier Maurin, Ian Turner",Combretaceae,Buchenavia,woody perennial,NA,NA,NA,NA,NA,Fleshy,,,,,,NA,NA,insects,biotic,absent,NA,NA,NA,,
Melastomataceae_Bucquetia,Fabian Michelangeli,Melastomataceae,Bucquetia,woody perennial,9.877,3,0.111,0.07,0.018,Dry,100,100,100,0.7,0.75,0.35,0.4,insects,biotic,12; 14,12,20,16,changes by Eve,
Vochysiaceae_Callisthene,Gustavo Shimizu & Deise Gon√ßalves,Vochysiaceae,Callisthene,woody perennial,21.366,10,0.108,0.08,0.03,Dry,3,6,4.5,5,10,3,7,insects,biotic,0.5-1.3 cm long,5,13,9,,
Melastomataceae_Calvoa,Darin Penneys,Melastomataceae,Calvoa,epiphyte,27.836,22,0.111,0.088,0.041,Dry,100,100,100,0.5,2,NA,NA,insects,biotic,14; 40; 28,NA,NA,NA,,
Melastomataceae_Calycogonium,Fabian Michelangeli,Melastomataceae,Calycogonium,woody perennial,NA,NA,NA,NA,NA,Fleshy,15,100,57.5,0.3,2.3,0.2,1.3,insects,biotic,4.5; 5.0,4.5,25,14.3,changes by Eve,
Myrtaceae_Calycolpus,Paulo Gaem,Myrtaceae,Calycolpus,woody perennial,40.582,17,0.07,0.054,0.024,Fleshy,3,200,101.5,1.5,5,1.1,3.9,insects,biotic,13; 48; 28,13,48,30.5,,
Myrtaceae_Calytrix,Peter Wilson,Myrtaceae,Calytrix,woody perennial,30.661,95,0.149,0.126,0.076,Dry,1,1,NA,2.5,3.5,NA,NA,insects,biotic,10‚Äì16 mm,NA,NA,NA,,
Melastomataceae_Cambessedesia,Fabian Michelangeli,Melastomataceae,Cambessedesia,herbaceous perennial,31.103,29,0.108,0.087,0.043,Dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,4.5; 5.5,7,16,11.5,FFM note: flower size according to Flora of Sao Paulo,
Onagraceae_Camissonia,Peter Hoch,Onagraceae,Camissonia,annual,16.365,21,0.186,0.147,0.067,Dry,80,160,120,1.3,2.2,NA,NA,insects,biotic,10; 45; 20,10,45,27.5,,
Onagraceae_Camissoniopsis,NA,Onagraceae,Camissoniopsis,annual,11.2,20,0.267,0.21,0.095,Dry,NA,NA,NA,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,TV note: some data from the Onagraceae website at SI,
Myrtaceae_Campomanesia,Marla Ibrahim,Myrtaceae,Campomanesia,woody perennial,NA,35,NA,NA,NA,Fleshy,1,4,2.5,2,20,NA,NA,insects,biotic,,3,35,19,,
Lythraceae_Capuronia,Shirley Graham,Lythraceae,Capuronia,woody perennial,23.283,1,0,0,0,Dry,5,8,6.5,2.9,3.2,2.3,2.7,NA,NA,1.3 mm,NA,NA,NA,,
Melastomataceae_Castratella,Fabian Michelangeli,Melastomataceae,Castratella,herbaceous perennial,9.877,2,0.07,0.041,0.01,Dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,8.5; 11,8.5,23,15.75,,check seed in herbarium
Melastomataceae_Catocoryne,Fabian Michelangeli,Melastomataceae,Catocoryne,herbaceous perennial,NA,NA,NA,NA,NA,Fleshy,50,50,50,0.3,0.4,0.2,0.3,insects,biotic,4; 5,8,10,9,changes by Eve,
Melastomataceae_Centradenia,Fabian Michelangeli,Melastomataceae,Centradenia,herbaceous perennial,16.102,8,0.129,0.093,0.033,Dry,50,50,50,0.3,1,0.2,0.3,insects,biotic,4; 7,8,15,11.5,changes by Eve,
Melastomataceae_Centronia,Fabian Michelangeli,Melastomataceae,Centronia,woody perennial,22.625,5,0.071,0.049,0.015,Dry,100,100,100,2,2,2,2,insects,biotic,14; 15.5,NA,NA,NA,,embedded in Graffenrieda - 
Melastomataceae_Chaetolepis,Fabian Michelangeli,Melastomataceae,Chaetolepis,woody perennial,5.638,14,0.468,0.357,0.148,Dry,100,100,100,0.4,1,0.2,0.3,insects,biotic,5; 6,5,23,14,changed by Eve,
Melastomataceae_Chaetostoma,Fabian Michelangeli,Melastomataceae,Chaetostoma,herbaceous perennial,5.723,8,0.363,0.263,0.093,Dry,100,100,100,0.5,0.65,NA,NA,insects,biotic,9; 12.5,16,24,20,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Chalybea,Darin Penneys,Melastomataceae,Chalybea,NA,31.882,11,0.075,0.056,0.022,Fleshy,100,100,100,0.8,1.6,NA,NA,vertebrates,biotic,18; 40; 30,NA,NA,NA,,
Onagraceae_Chamaenerion,Peter Hoch,Onagraceae,Chamaenerion,NA,NA,NA,NA,NA,NA,Dry,200,500,350,1,2.5,NA,NA,insects,biotic,20; 70; c. 35,20,70,45,TV note: some data from the Onagraceae website at SI,
Myrtaceae_Chamelaucium,Peter Wilson,Myrtaceae,Chamelaucium,woody perennial,21.027,23,0.149,0.118,0.055,Dry,1,1,NA,6,6,NA,NA,insects,biotic,15‚Äì20 mm,NA,NA,NA,,
Myrtaceae_Chamguava,Karinne Valdemarin,Myrtaceae,Chamguava,woody perennial,36.864,5,0.044,0.03,0.009,Fleshy,1,4,2.5,6,10,NA,NA,insects,biotic,12.5-21 mm long,12.5,21,16.75,,
Melastomataceae_Charianthus,Fabian Michelangeli,Melastomataceae,Charianthus,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.6,0.95,0.2,0.72,vertebrates,biotic,9; 12,9.3,35,22.15,petals held vertically ,
Myrtaceae_Cheyniana,Peter Wilson,Myrtaceae,Cheyniana,woody perennial,29.477,2,0.024,0.014,0.003,Dry,1,3,NA,1.4,1.7,NA,NA,vertebrates,biotic,10‚Äì14 mm,NA,NA,NA,,
Onagraceae_Chylismia,Peter Hoch,Onagraceae,Chylismia,annual,17.141,41,0.217,0.178,0.094,Dry,80,160,120,0.5,1.8,NA,NA,insects,biotic,2; 30; c. 15,2,30,16,,
Melastomataceae_Cincinnobotrys,Darin Penneys,Melastomataceae,Cincinnobotrys,NA,28.768,9,0.076,0.056,0.02,Dry,100,100,100,0.3,2,NA,NA,insects,biotic,7; 32; 15,NA,NA,NA,,
Onagraceae_Clarkia,Peter Hoch,Onagraceae,Clarkia,annual,16.552,74,0.26,0.219,0.128,Dry,1,300,150.5,0.5,3,NA,NA,insects,biotic,4; 55; c. 25,4,55,29.5,,
Melastomataceae_Clidemia,Fabian Michelangeli,Melastomataceae,Clidemia,woody perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.3,0.5,NA,NA,insects,biotic,7; 18,8,20,14,FFM note: flower size according to Flora of Sao Paulo,
Myrtaceae_Cloezia,Peter Wilson,Myrtaceae,Cloezia,woody perennial,60.429,9,0.036,0.027,0.01,Dry,6,9,NA,4,4,NA,NA,insects,biotic,6‚Äì8 mm ,NA,NA,NA,,
Combretaceae_Combretum,"Olivier Maurin, Ian Turner",Combretaceae,Combretum,woody perennial,70.977,282,0.081,0.072,0.049,Dry,1,1,1,9,25,1,10,insects,biotic,"0,2-0,5",2,45,NA,,
Melastomataceae_Comolia,Fabian Michelangeli,Melastomataceae,Comolia,herbaceous perennial,5.292,14,0.499,0.381,0.157,Dry,100,100,100,0.6,1.1,0.4,0.85,insects,biotic,9; 12,9,30,19.5,changed by Eve - poly/paraphyetic https://www.researchgate.net/publication/304997220_Phylogenetic_relationships_in_the_Marcetia_alliance_Melastomeae_Melastomataceae_and_implications_for_generic_circumscription,
Combretaceae_Conocarpus,"Olivier Maurin, Ian Turner",Combretaceae,Conocarpus,woody perennial,77.75,2,0.009,0.005,0.001,Dry,1,1,1,2,4,1,2,insects,biotic,absent,1,1.5,NA,,
Melastomataceae_Conostegia,Fabian Michelangeli,Melastomataceae,Conostegia,woody perennial,NA,NA,NA,NA,NA,Fleshy,100,100,100,0.4,1.5,0.2,0.9,insects,biotic,7; 8,5.5,33,19.25,changed by Eve,
Myrtaceae_Conothamnus,Peter Wilson,Myrtaceae,Conothamnus,woody perennial,NA,3,NA,NA,NA,Dry,3,6,NA,1,1,NA,NA,insects,biotic,petals absent,NA,NA,NA,,
Myrtaceae_Corymbia,Andrew Thornhill,Myrtaceae,Corymbia,woody perennial,16.893,110,0.278,0.238,0.147,Dry,NA,NA,NA,1,18,NA,NA,insects/vertebrates,biotic,NA,NA,NA,NA,,
Myrtaceae_Corynanthera,Peter Wilson,Myrtaceae,Corynanthera,woody perennial,28.11,1,0,0,0,Dry,1,1,NA,2,2,NA,NA,insects,biotic,c. 1.5 mm,NA,NA,NA,,
Lythraceae_Crenea,Shirley Graham,Lythraceae,Crenea,woody perennial,17.707,2,0.039,0.023,0.005,Dry,500,500,500,5,5,0.3,0.5,NA,NA,4.5-5.5,NA,NA,NA,,
Lythraceae_Cuphea,Shirley Graham,Lythraceae,Cuphea,woody perennial,28.011,294,0.203,0.178,0.122,Dry,2,100,51,0.5,3.3,0.3,3,"abiotic, vertebrates","abiotic, biotic",2-6 mm,NA,NA,NA,,
Myrtaceae_Curitiba,Karinne Valdemarin,Myrtaceae,Curitiba,woody perennial,40.79,1,0,0,0,Fleshy,4,7,5.5,2,4,0.5,0.5,insects,biotic,7.5-9 mm long,7.5,9,8.25,,
Myrtaceae_Cyathostemon,Peter Wilson,Myrtaceae,Cyathostemon,woody perennial,20.181,7,0.096,0.069,0.023,Dry,3,3,NA,1.3,2,NA,NA,insects,biotic,8‚Äì9 mm ,NA,NA,NA,,
Melastomataceae_Cyphotheca,Darin Penneys,Melastomataceae,Cyphotheca,NA,19.879,1,0,0,0,Dry,100,100,100,0.7,0.7,NA,NA,insects,biotic,13; 13; 13,NA,NA,NA,,
Combretaceae_Dansiea,"Olivier Maurin, Ian Turner",Combretaceae,Dansiea,woody perennial,17.747,2,0.039,0.023,0.005,Dry,1,1,1,NA,NA,NA,NA,?,biotic,"1,0; 1,5",8,12,NA,,
Myrtaceae_Darwinia,Peter Wilson,Myrtaceae,Darwinia,woody perennial,16.066,54,0.248,0.206,0.115,Dry,1,1,NA,2,3.5,NA,NA,vertebrates,biotic,c. 5‚Äì7 mm (flowers 4 within a bell-like involucre),NA,NA,NA,,
Myrtaceae_Decaspermum,Eve Lucas,Myrtaceae,Decaspermum,woody perennial,56.183,38,0.065,0.053,0.028,Fleshy,3,18,10.5,0.7,2,0.5,1,insects,biotic,NA,16,25,20.5,,
Lythraceae_Decodon,Shirley Graham,Lythraceae,Decodon,herbaceous perennial,51.031,1,0,0,0,Dry,20,30,25,1,1.9,1.2,2,insects,biotic,4.5-6.5 mm,NA,NA,NA,,
Melastomataceae_Desmoscelis,Fabian Michelangeli,Melastomataceae,Desmoscelis,annual,20.537,2,0.034,0.02,0.005,Dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,6; 10,16,18,17,FFM note: flower size according to Flora of Sao Paulo,
Melastomataceae_Dicellandra,Darin Penneys,Melastomataceae,Dicellandra,epiphyte,26.47,7,0.074,0.052,0.018,Dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,9; 16; 12,NA,NA,NA,,
Melastomataceae_Dichaetanthera,Darin Penneys,Melastomataceae,Dichaetanthera,woody perennial,9.399,43,0.4,0.329,0.175,Dry,100,100,100,0.5,1.7,NA,NA,insects,biotic,11; 40; 20,NA,NA,NA,,
Melastomataceae_Dicrananthera,Fabian Michelangeli,Melastomataceae,Dicrananthera,herbaceous perennial,NA,NA,NA,NA,NA,Dry,100,100,100,0.6,0.8,0.3,0.45,insects,biotic,3; 4,3,4,3.5,changed by Eve,
Lythraceae_Didiplis,Shirley Graham,Lythraceae,Didiplis,woody perennial,26.476,1,0,0,0,Dry,25,45,35,0.6,0.9,0.2,0.3,abiotic,abiotic,1.5-2.5 mm,NA,NA,NA,,
Lythraceae_Diplusodon,Shirley Graham,Lythraceae,Diplusodon,woody perennial,53.295,114,0.089,0.076,0.047,Dry,4,72,38,1,4,1.8,3.5,insects,biotic,6.5-7 mm,NA,NA,NA,,
Melastomataceae_Dissochaeta,Darin Penneys,Melastomataceae,Dissochaeta,woody perennial,45.349,58,0.09,0.075,0.042,Fleshy,100,100,100,0.75,0.75,0.75,0.75,insects,biotic,27; 43; 35,NA,NA,NA,,
Melastomataceae_Dissotis,Darin Penneys,Melastomataceae,Dissotis,NA,12.268,63,0.338,0.283,0.161,Dry,100,100,100,0.4,0.8,NA,NA,insects,biotic,14; 85; 38,NA,NA,NA,,
Melastomataceae_Dolichoura,Fabian Michelangeli,Melastomataceae,Dolichoura,climber,NA,NA,NA,NA,NA,Dry,100,100,100,1,2,0.7,1,insects,biotic,5; 8,11,18.8,14.9,changed by Eve,
Lythraceae_Duabanga,Shirley Graham,Lythraceae,Duabanga,woody perennial,38.103,3,0.029,0.018,0.005,Dry,100,100,100,4,5.5,0.5,0.5,vertebrates,biotic,2.5 cm,NA,NA,NA,,
Melastomataceae_Dyonicha,Darin Penneys,Melastomataceae,Dyonicha,NA,NA,NA,NA,NA,NA,Dry,100,100,100,0.7,0.9,NA,NA,insects,biotic,17; 42; 30,NA,NA,NA,,
Penaeaceae_Endonema,Fabian Michelangeli,Penaeaceae,Endonema,woody perennial,NA,NA,NA,NA,NA,Dry,NA,NA,NA,NA,NA,NA,NA,vertebrates,biotic,n/a,NA,NA,NA,,"Schönenberger, J., Conti, E., & Rutschmann, F. (2007). Penaeaceae. In Flowering Plants· Eudicots (pp. 282-291). Springer, Berlin, Heidelberg. Eve to check in Kew"
Myrtaceae_Enekbatus,Peter Wilson,Myrtaceae,Enekbatus,woody perennial,38.88,10,0.059,0.044,0.017,Dry,1,2,NA,1.1,1.8,NA,NA,insects,biotic,c. 8 mm,NA,NA,NA,,
Onagraceae_Epilobium,Peter Hoch,Onagraceae,Epilobium,herbaceous perennial,21.041,306,0.272,0.239,0.164,Dry,60,200,130,1.5,2.6,NA,NA,"insects, vertebrates",biotic,12; 30; c 20 ,12,30,21,,
Onagraceae_Eremothera,Peter Hoch,Onagraceae,Eremothera,annual,17.391,13,0.147,0.112,0.045,Dry,80,160,120,0.9,2.1,NA,NA,insects,biotic,4; 20; c. 16,4,20,12,,
Myrtaceae_Ericomyrtus,Peter Wilson,Myrtaceae,Ericomyrtus,woody perennial,28.273,4,0.049,0.032,0.009,Dry,8,12,NA,0.5,1,NA,NA,insects,biotic,4‚Äì5(‚Äì6) mm,NA,NA,NA,,
