"genus","age","n_species"
"Allomorphia",12.732,NA
"Anaectocalyx",11.747,NA
"Astereomyrtus",36.296,NA
"Beaufortia",24.159,NA
"Behuria",8.14299999999999,NA
"Brachysiphon",9.69999999999999,NA
"Buchenavia",59.794,NA
"Calycogonium",7.33699999999999,NA
"Catocoryne",9.86699999999999,NA
"Chamaenerion",21.041,NA
"Charianthus",8.68699999999998,NA
"Clidemia",12.301,NA
"Conostegia",12.746,NA
"Conothamnus",24.159,NA
"Dicrananthera",5.29199999999999,NA
"Dolichoura",14.569,NA
"Dyonicha",7.78499999999998,NA
"Endonema",13.976,NA
"Glischrocolla",12.412,NA
"Henriettella",22.94,NA
"Killipia",9.86699999999999,NA
"Lamarchea",25.674,NA
"Leandra",4.08399999999999,NA
"Leiostegia",11.749,NA
"Loreya",15.628,NA
"Maieta",12.301,NA
"Mecranium",11.747,NA
"Microlepis",9.09399999999999,NA
"Myriaspora",21.229,NA
"Necramium",11.322,NA
"Pachyanthus",11.852,NA
"Pleiochiton",23.301,NA
"Potheranthera",9.61599999999999,NA
"Pseudanamomis",32.161,NA
"Pseudocaryophyllus",28.339,NA
"Rupestrea",38.151,NA
"Sonderothamnus",10.186,NA
"Stylapterus",9.69999999999999,NA
"Svitramia",9.09399999999999,NA
"Tetrazygia",7.33699999999999,NA
"Tibouchinopsis",12.773,NA
"Tococa",17.292,NA
