"family","genera","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60"
"Alzateaceae","Alzatea",0.99,0.01,"closed","closed","closed"
"Combretaceae","Combretum",0.53,0.47,"closed","open","closed"
"Combretaceae","Terminalia",0.43,0.57,"open","open","closed"
"Combretaceae","Lumnitzera",0.49,0.51,"open","open","closed"
"Combretaceae","Strephonema",0.93,0.07,"closed","closed","closed"
"Combretaceae","Laguncularia",0.61,0.39,"closed","closed","closed"
"Combretaceae","Macropteranthes",0.15,0.85,"open","open","open"
"Combretaceae","Dansiea",0.62,0.38,"closed","closed","closed"
"Combretaceae","Conocarpus",0.61,0.39,"closed","closed","closed"
"Combretaceae","Getonia",1,0,"closed","closed","closed"
"Combretaceae","Guiera",0,1,"open","open","open"
"Crypteroniaceae","Crypteronia",0.97,0.03,"closed","closed","closed"
"Crypteroniaceae","Axinandra",1,0,"closed","closed","closed"
"Crypteroniaceae","Dactylocladus",0.86,0.14,"closed","closed","closed"
"Lythraceae","Decodon",0.98,0.02,"closed","closed","closed"
"Lythraceae","Lythrum",0.56,0.44,"closed","open","closed"
"Lythraceae","Lafoensia",0.37,0.63,"open","open","open"
"Lythraceae","Cuphea",0.56,0.44,"closed","open","closed"
"Lythraceae","Rotala",0.54,0.46,"closed","open","closed"
"Lythraceae","Adenaria",0.86,0.14,"closed","closed","closed"
"Lythraceae","Ammannia",0.3,0.7,"open","open","open"
"Lythraceae","Diplusodon",0.14,0.86,"open","open","open"
"Lythraceae","Heimia",0.53,0.47,"closed","open","closed"
"Lythraceae","Physocalymma",0.57,0.43,"closed","open","closed"
"Lythraceae","Pleurophora",0.25,0.75,"open","open","open"
"Lythraceae","Crenea",0.35,0.65,"open","open","open"
"Lythraceae","Lagerstroemia",0.93,0.07,"closed","closed","closed"
"Lythraceae","Trapa",0.94,0.06,"closed","closed","closed"
"Lythraceae","Lawsonia",0.21,0.79,"open","open","open"
"Lythraceae","Sonneratia",0.57,0.43,"closed","open","closed"
"Lythraceae","Pemphis",0.4,0.6,"open","open","closed"
"Lythraceae","Duabanga",0.92,0.08,"closed","closed","closed"
"Lythraceae","Capuronia",0.36,0.64,"open","open","open"
"Lythraceae","Woodfordia",0.74,0.26,"closed","closed","closed"
"Lythraceae","Pehria",1,0,"closed","closed","closed"
"Lythraceae","Koehneria",0.35,0.65,"open","open","open"
"Lythraceae","Didiplis",0.36,0.64,"open","open","open"
"Lythraceae","Punica",0.33,0.67,"open","open","open"
"Lythraceae","Ginoria",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Miconia",0.85,0.15,"closed","closed","closed"
"Melastomataceae","Leandra",0.77,0.23,"closed","closed","closed"
"Melastomataceae","Cambessedesia",0.23,0.77,"open","open","open"
"Melastomataceae","Meriania",0.93,0.07,"closed","closed","closed"
"Melastomataceae","Lavoisiera",0.26,0.74,"open","open","open"
"Melastomataceae","Trembleya",0.34,0.66,"open","open","open"
"Melastomataceae","Marcetia",0.29,0.71,"open","open","open"
"Melastomataceae","Tibouchina",0.6,0.4,"closed","closed","closed"
"Melastomataceae","Pterolepis",0.48,0.52,"open","open","closed"
"Melastomataceae","Rhynchanthera",0.46,0.54,"open","open","closed"
"Melastomataceae","Acisanthera",0.48,0.52,"open","open","closed"
"Melastomataceae","Bertolonia",0.98,0.02,"closed","closed","closed"
"Melastomataceae","Macairea",0.61,0.39,"closed","closed","closed"
"Melastomataceae","Aciotis",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Microlicia",0.2,0.8,"open","open","open"
"Melastomataceae","Mouriri",0.79,0.21,"closed","closed","closed"
"Melastomataceae","Clidemia",0.89,0.11,"closed","closed","closed"
"Melastomataceae","Bellucia",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Axinaea",0.9,0.1,"closed","closed","closed"
"Melastomataceae","Blakea",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Pachyloma",1,0,"closed","closed","closed"
"Melastomataceae","Brachyotum",0.71,0.29,"closed","closed","closed"
"Melastomataceae","Henriettea",0.91,0.09,"closed","closed","closed"
"Melastomataceae","Pleroma",0.59,0.41,"closed","open","closed"
"Melastomataceae","Comolia",0.73,0.27,"closed","closed","closed"
"Melastomataceae","Ernestia",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Siphanthera",0.52,0.48,"closed","open","closed"
"Melastomataceae","Chaetostoma",0.17,0.83,"open","open","open"
"Melastomataceae","Dissotis",0.38,0.62,"open","open","open"
"Melastomataceae","Triolena",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Tristemma",0.82,0.18,"closed","closed","closed"
"Melastomataceae","Macrocentrum",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Memecylon",0.75,0.25,"closed","closed","closed"
"Melastomataceae","Desmoscelis",0.4,0.6,"open","open","closed"
"Melastomataceae","Melastomastrum",0.56,0.44,"closed","open","closed"
"Melastomataceae","Arthrostemma",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Adelobotrys",1,0,"closed","closed","closed"
"Melastomataceae","Bucquetia",0.7,0.3,"closed","closed","closed"
"Melastomataceae","Graffenrieda",0.95,0.05,"closed","closed","closed"
"Melastomataceae","Monochaetum",0.92,0.08,"closed","closed","closed"
"Melastomataceae","Monolena",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Heterocentron",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Salpinga",1,0,"closed","closed","closed"
"Melastomataceae","Tessmannianthus",1,0,"closed","closed","closed"
"Melastomataceae","Allomaieta",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Dicellandra",0.95,0.05,"closed","closed","closed"
"Melastomataceae","Centronia",0.95,0.05,"closed","closed","closed"
"Melastomataceae","Ossaea",1,0,"closed","closed","closed"
"Melastomataceae","Centradenia",1,0,"closed","closed","closed"
"Melastomataceae","Pilocosta",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Pterogastra",0.72,0.28,"closed","closed","closed"
"Melastomataceae","Sandemania",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Warneckea",0.88,0.12,"closed","closed","closed"
"Melastomataceae","Huberia",0.83,0.17,"closed","closed","closed"
"Melastomataceae","Chaetogastra",0.77,0.23,"closed","closed","closed"
"Melastomataceae","Merianthera",0.68,0.32,"closed","closed","closed"
"Melastomataceae","Tryssophyton",1,0,"closed","closed","closed"
"Melastomataceae","Fritzschia",0.22,0.78,"open","open","open"
"Melastomataceae","Chalybea",0.9,0.1,"closed","closed","closed"
"Melastomataceae","Opisthocentra",1,0,"closed","closed","closed"
"Melastomataceae","Stenodon",0,1,"open","open","open"
"Melastomataceae","Nepsera",0.8,0.2,"closed","closed","closed"
"Melastomataceae","Sagraea",1,0,"closed","closed","closed"
"Melastomataceae","Physeterostemon",1,0,"closed","closed","closed"
"Melastomataceae","Antherotoma",0.25,0.75,"open","open","open"
"Melastomataceae","Chaetolepis",0.71,0.29,"closed","closed","closed"
"Melastomataceae","Preussiella",0.98,0.02,"closed","closed","closed"
"Melastomataceae","Guyonia",0.87,0.13,"closed","closed","closed"
"Melastomataceae","Poteranthera",0.22,0.78,"open","open","open"
"Melastomataceae","Acanthella",0.81,0.19,"closed","closed","closed"
"Melastomataceae","Mallophyton",1,0,"closed","closed","closed"
"Melastomataceae","Alloneuron",1,0,"closed","closed","closed"
"Melastomataceae","Castratella",0.59,0.41,"closed","open","closed"
"Melastomataceae","Wurdastom",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Appendicularia",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Brasilianthus",1,0,"closed","closed","closed"
"Melastomataceae","Calvoa",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Lithobium",0.13,0.87,"open","open","open"
"Melastomataceae","Noterophila",0.44,0.56,"open","open","closed"
"Melastomataceae","Boyania",1,0,"closed","closed","closed"
"Melastomataceae","Medinilla",0.92,0.08,"closed","closed","closed"
"Melastomataceae","Dissochaeta",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Heteroblemma",0.91,0.09,"closed","closed","closed"
"Melastomataceae","Melastoma",0.78,0.22,"closed","closed","closed"
"Melastomataceae","Anerincleistus",0.85,0.15,"closed","closed","closed"
"Melastomataceae","Neodriessenia",1,0,"closed","closed","closed"
"Melastomataceae","Oxyspora",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Rhexia",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Sonerila",0.92,0.08,"closed","closed","closed"
"Melastomataceae","Pachycentria",0.96,0.04,"closed","closed","closed"
"Melastomataceae","Phainantha",0.89,0.11,"closed","closed","closed"
"Melastomataceae","Gravesia",0.99,0.01,"closed","closed","closed"
"Melastomataceae","Comoliopsis",0.87,0.13,"closed","closed","closed"
"Melastomataceae","Votomita",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Andesanthus",0.97,0.03,"closed","closed","closed"
"Melastomataceae","Dichaetanthera",0.8,0.2,"closed","closed","closed"
"Melastomataceae","Dinophora",0.83,0.17,"closed","closed","closed"
"Melastomataceae","Nothodissotis",1,0,"closed","closed","closed"
"Melastomataceae","Heterotis",0.62,0.38,"closed","closed","closed"
"Melastomataceae","Ochthocharis",0.9,0.1,"closed","closed","closed"
"Melastomataceae","Osbeckia",0.61,0.39,"closed","closed","closed"
"Melastomataceae","Schwackaea",0.97,0.03,"closed","closed","closed"
"Melastomataceae","Astronia",0.94,0.06,"closed","closed","closed"
"Melastomataceae","Blastus",0.98,0.02,"closed","closed","closed"
"Melastomataceae","Creochiton",0.9,0.1,"closed","closed","closed"
"Melastomataceae","Phyllagathis",0.92,0.08,"closed","closed","closed"
"Melastomataceae","Pternandra",0.86,0.14,"closed","closed","closed"
"Melastomataceae","Poikilogyne",0.98,0.02,"closed","closed","closed"
"Melastomataceae","Dupineta",0.73,0.27,"closed","closed","closed"
"Melastomataceae","Spathandra",0.7,0.3,"closed","closed","closed"
"Melastomataceae","Beccarianthus",1,0,"closed","closed","closed"
"Melastomataceae","Driessenia",0.75,0.25,"closed","closed","closed"
"Melastomataceae","Plethiandra",0.84,0.16,"closed","closed","closed"
"Melastomataceae","Argyrella",0.39,0.61,"open","open","open"
"Melastomataceae","Catanthera",0.73,0.27,"closed","closed","closed"
"Melastomataceae","Amphiblemma",0.92,0.08,"closed","closed","closed"
"Melastomataceae","Astronidium",1,0,"closed","closed","closed"
"Melastomataceae","Cincinnobotrys",0.57,0.43,"closed","open","closed"
"Melastomataceae","Macrolenes",1,0,"closed","closed","closed"
"Melastomataceae","Derosiphia",0.81,0.19,"closed","closed","closed"
"Melastomataceae","Astrocalyx",1,0,"closed","closed","closed"
"Melastomataceae","Lijndenia",0.98,0.02,"closed","closed","closed"
"Melastomataceae","Anaheterotis",1,0,"closed","closed","closed"
"Melastomataceae","Tateanthus",1,0,"closed","closed","closed"
"Melastomataceae","Maguireanthus",1,0,"closed","closed","closed"
"Melastomataceae","Pseudoernestia",1,0,"closed","closed","closed"
"Melastomataceae","Sarcopyramis",1,0,"closed","closed","closed"
"Melastomataceae","Rousseauxia",0.84,0.16,"closed","closed","closed"
"Melastomataceae","Nerophila",0.43,0.57,"open","open","closed"
"Melastomataceae","Plagiopetalum",1,0,"closed","closed","closed"
"Melastomataceae","Dissotidendron",0.32,0.68,"open","open","open"
"Melastomataceae","Pseudodissochaeta",1,0,"closed","closed","closed"
"Melastomataceae","Rostranthera",0.95,0.05,"closed","closed","closed"
"Melastomataceae","Quipuanthus",1,0,"closed","closed","closed"
"Melastomataceae","Centradeniastrum",1,0,"closed","closed","closed"
"Melastomataceae","Stanmarkia",1,0,"closed","closed","closed"
"Melastomataceae","Fordiophyton",1,0,"closed","closed","closed"
"Melastomataceae","Barthea",1,0,"closed","closed","closed"
"Melastomataceae","Bredia",1,0,"closed","closed","closed"
"Melastomataceae","Tashiroea",1,0,"closed","closed","closed"
"Melastomataceae","Dionycha",1,0,"closed","closed","closed"
"Melastomataceae","Poilannammia",1,0,"closed","closed","closed"
"Melastomataceae","Amphorocalyx",1,0,"closed","closed","closed"
"Melastomataceae","Eriocnema",0.56,0.44,"closed","open","closed"
"Melastomataceae","Cyphotheca",1,0,"closed","closed","closed"
"Melastomataceae","Kirkbridea",1,0,"closed","closed","closed"
"Melastomataceae","Scorpiothyrsus",1,0,"closed","closed","closed"
"Melastomataceae","Sporoxeia",1,0,"closed","closed","closed"
"Melastomataceae","Styrophyton",1,0,"closed","closed","closed"
"Melastomataceae","Tigridiopalma",1,0,"closed","closed","closed"
"Myrtaceae","Eugenia",0.69,0.31,"closed","closed","closed"
"Myrtaceae","Pimenta",0.82,0.18,"closed","closed","closed"
"Myrtaceae","Myrceugenia",0.87,0.13,"closed","closed","closed"
"Myrtaceae","Myrcia",0.67,0.33,"closed","closed","closed"
"Myrtaceae","Campomanesia",0.54,0.46,"closed","open","closed"
"Myrtaceae","Psidium",0.54,0.46,"closed","open","closed"
"Myrtaceae","Myrciaria",0.69,0.31,"closed","closed","closed"
"Myrtaceae","Blepharocalyx",0.51,0.49,"closed","open","closed"
"Myrtaceae","Calyptranthes",0.84,0.16,"closed","closed","closed"
"Myrtaceae","Plinia",0.82,0.18,"closed","closed","closed"
"Myrtaceae","Siphoneugena",0.7,0.3,"closed","closed","closed"
"Myrtaceae","Myrcianthes",0.8,0.2,"closed","closed","closed"
"Myrtaceae","Syzygium",0.76,0.24,"closed","closed","closed"
"Myrtaceae","Melaleuca",0.16,0.84,"open","open","open"
"Myrtaceae","Eucalyptus",0.38,0.62,"open","open","open"
"Myrtaceae","Leptospermum",0.74,0.26,"closed","closed","closed"
"Myrtaceae","Baeckea",0.51,0.49,"closed","open","closed"
"Myrtaceae","Tristaniopsis",0.92,0.08,"closed","closed","closed"
"Myrtaceae","Pericalymma",0,1,"open","open","open"
"Myrtaceae","Kunzea",0.55,0.45,"closed","open","closed"
"Myrtaceae","Sannantha",0.84,0.16,"closed","closed","closed"
"Myrtaceae","Uromyrtus",0.96,0.04,"closed","closed","closed"
"Myrtaceae","Metrosideros",0.94,0.06,"closed","closed","closed"
"Myrtaceae","Tristania",1,0,"closed","closed","closed"
"Myrtaceae","Astartea",0,1,"open","open","open"
"Myrtaceae","Calytrix",0,1,"open","open","open"
"Myrtaceae","Corymbia",0.13,0.87,"open","open","open"
"Myrtaceae","Archirhodomyrtus",0.93,0.07,"closed","closed","closed"
"Myrtaceae","Syncarpia",0.98,0.02,"closed","closed","closed"
"Myrtaceae","Decaspermum",0.87,0.13,"closed","closed","closed"
"Myrtaceae","Verticordia",0,1,"open","open","open"
"Myrtaceae","Kjellbergiodendron",1,0,"closed","closed","closed"
"Myrtaceae","Xanthostemon",0.27,0.73,"open","open","open"
"Myrtaceae","Rhodomyrtus",0.8,0.2,"closed","closed","closed"
"Myrtaceae","Rhodamnia",0.85,0.15,"closed","closed","closed"
"Myrtaceae","Xanthomyrtus",0.78,0.22,"closed","closed","closed"
"Myrtaceae","Beaufortia",0,1,"open","open","open"
"Myrtaceae","Octamyrtus",0.98,0.02,"closed","closed","closed"
"Myrtaceae","Darwinia",0.33,0.67,"open","open","open"
"Myrtaceae","Euryomyrtus",0.59,0.41,"closed","open","closed"
"Myrtaceae","Angophora",0.79,0.21,"closed","closed","closed"
"Myrtaceae","Thryptomene",0.04,0.96,"open","open","open"
"Myrtaceae","Ericomyrtus",0,1,"open","open","open"
"Myrtaceae","Pileanthus",0,1,"open","open","open"
"Myrtaceae","Rinzia",0.03,0.97,"open","open","open"
"Myrtaceae","Myrtella",1,0,"closed","closed","closed"
"Myrtaceae","Chamelaucium",0,1,"open","open","open"
"Myrtaceae","Myrteola",0.81,0.19,"closed","closed","closed"
"Myrtaceae","Austromyrtus",0.96,0.04,"closed","closed","closed"
"Myrtaceae","Cloezia",1,0,"closed","closed","closed"
"Myrtaceae","Homoranthus",0.37,0.63,"open","open","open"
"Myrtaceae","Micromyrtus",0.24,0.76,"open","open","open"
"Myrtaceae","Asteromyrtus",0.03,0.97,"open","open","open"
"Myrtaceae","Calycolpus",0.82,0.18,"closed","closed","closed"
"Myrtaceae","Agonis",0,1,"open","open","open"
"Myrtaceae","Scholtzia",0,1,"open","open","open"
"Myrtaceae","Lithomyrtus",0.04,0.96,"open","open","open"
"Myrtaceae","Hypocalymma",0,1,"open","open","open"
"Myrtaceae","Gossia",0.73,0.27,"closed","closed","closed"
"Myrtaceae","Amomyrtella",0.71,0.29,"closed","closed","closed"
"Myrtaceae","Myrrhinium",0.87,0.13,"closed","closed","closed"
"Myrtaceae","Backhousia",0.89,0.11,"closed","closed","closed"
"Myrtaceae","Cyathostemon",0,1,"open","open","open"
"Myrtaceae","Neomitranthes",0.92,0.08,"closed","closed","closed"
"Myrtaceae","Ugni",0.91,0.09,"closed","closed","closed"
"Myrtaceae","Lophostemon",0.38,0.62,"open","open","open"
"Myrtaceae","Pilidiostigma",0.9,0.1,"closed","closed","closed"
"Myrtaceae","Malleostemon",0,1,"open","open","open"
"Myrtaceae","Algrizea",0.18,0.82,"open","open","open"
"Myrtaceae","Mosiera",0.81,0.19,"closed","closed","closed"
"Myrtaceae","Actinodium",0,1,"open","open","open"
"Myrtaceae","Ochrosperma",0.9,0.1,"closed","closed","closed"
"Myrtaceae","Allosyncarpia",0,1,"open","open","open"
"Myrtaceae","Taxandria",0,1,"open","open","open"
"Myrtaceae","Tetrapora",0,1,"open","open","open"
"Myrtaceae","Babingtonia",0,1,"open","open","open"
"Myrtaceae","Hysterobaeckea",0.01,0.99,"open","open","open"
