"genus","n_points","Vol","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap"
"Alzatea",61,32.3809484652167,18.3587760534443,63.3639506355661,19.0295375761439,17.5382437471484,2064.7314453125,34.8987110950908,774.922577904873,286.831991289483,2.19561636301338,170.593963216563,78.5064024143532,53.4402295409656,18.2813790352618
"Combretum",6002,125.215261499198,24.4989805646596,69.7116184892435,26.5053519445513,22.2869837214573,1492.08020476983,73.1966807024751,743.461872154218,93.8029252837775,0.445609531322614,194.717670831949,27.318540764259,56.1021185961136,15.7018092052158
"Conocarpus",334,32.8790157964225,25.7582446596516,44.6955353181754,27.5397661579189,23.6577985962825,1531.92236473881,66.402465165551,760.642549201624,109.56246872998,0.328467178502251,186.247245006656,48.6067198953818,60.7671572718454,17.0623407833612
"Dansiea",14,1.80050664267461,22.8020139421735,50.4734922136579,26.1901987620762,18.692466872079,1419.11760602679,66.9487342834473,793.589433942522,109.256115913391,0.534620538886104,168.807240622384,28.2088497195925,58.9401518957956,16.559497322355
"Getonia",35,5.02263924321108,26.0051643371582,57.7300349644252,27.890051487514,23.2335994175502,1839.70469970703,76.5685919625419,1006.75173339844,55.5694856439318,0.519215856279646,187.29700251988,32.0786249841963,55.0954262869699,15.4110182285309
"Guiera",105,1.79088292603186,28.1187314896356,101.805229114351,32.1979593731108,24.5120898655483,784.541113862537,122.582071504139,622.67510085333,1.37588520089644,0.139710948554178,198.221485101609,18.570830934956,63.6180522737049,13.6349661372957
"Laguncularia",338,38.7582984737366,25.4861181530021,44.2556375780049,27.3560002964629,23.3643339794768,1825.03492262801,60.3737799119667,836.826239365798,160.006940131004,0.36692869706568,189.725242839802,55.9130045048958,58.9680472386153,17.494920243673
"Lumnitzera",220,26.9312883762183,25.9508267402649,45.8907573569905,27.948425691778,23.3235826579007,1874.32460035844,75.8747731122104,981.082385670055,145.923425395922,0.317321617278477,185.036337580616,53.4020621719044,56.9830795780027,17.6736044258014
"Macropteranthes",146,6.08374010343437,24.2568774941849,91.9577250284691,28.3540519557587,18.516790546783,786.572314118686,90.5480458246519,506.482380801684,35.5294349136418,0.24756928555004,179.360498265044,13.7230644786739,66.939788938113,13.7217913920477
"Strephonema",69,3.21050020808939,24.707904594532,44.6518285447273,25.892917909484,23.3408047496409,2135.67813508407,65.0234342105147,1070.76626631142,63.3536028101824,0.310589269964375,198.487539761308,36.5818703036377,49.5720532873402,15.8332417149475
"Terminalia",6237,186.591597037725,24.7279038237124,70.4980512276204,26.9591579477394,21.9380557990063,1489.36489906696,75.8382694310287,752.863187032115,104.681197981823,0.439109842938794,187.377919256022,28.4992762370515,57.8730177970793,15.7160104760478
"Axinandra",20,1.7546867324782,26.3666184425354,48.033882522583,26.8788401603699,25.7516060829163,3198.80029296875,26.4575726985931,1184.60753173828,545.923268127441,0.391056262142956,190.928420639038,121.487270116806,48.637450170517,19.9442454338074
"Crypteronia",186,33.9390800468799,25.3978488778555,46.4149681316909,26.3522980187529,24.1976854519177,2701.79130997196,45.8784798293985,1138.32173583328,314.117348722232,0.842480831989838,188.596153184077,65.0375320783225,52.0047461379813,16.7667391150656
"Dactylocladus",23,1.58869560803308,26.802487746529,45.7674951967986,27.3578717604927,26.192461843076,3178.11110521399,26.1032532401707,1120.38724683679,511.162459663723,0.314672602563287,199.376474463421,192.778217509173,49.9678454744643,21.8203127867934
"Adenaria",381,85.368702152064,21.5949125127217,63.0443163643985,22.7343881148992,19.8806583877076,1836.95033508461,49.2152837718253,763.028059751656,187.819029019574,1.48735910513636,181.649934273066,49.9769071931914,54.0718072105268,17.5556158030753
"Ammannia",2232,89.9571136401178,20.9706038417942,89.3380631832239,27.7704484116647,13.3645756511186,912.83495121281,69.1345543840026,472.771646630486,69.3885840720597,0.32112338558079,184.689338505624,25.1159480917518,65.1130554188964,14.3650894503653
"Capuronia",44,3.69587677099795,24.4268901564858,67.7289515842091,26.5349062572826,21.1263589642265,926.505466114391,100.422543872486,624.699378967285,37.3385137807239,0.55354132858867,181.180409648202,19.4701313159683,63.8605998429385,15.3272908980196
"Crenea",18,0.552585753333261,25.1881463792589,34.1224029329088,25.8546212514242,24.6705935796102,3924.10683865017,39.2418519655863,1422.36876254612,498.266437954373,0.668478849240475,194.271268208822,89.5299916797214,51.4838866127862,18.1703075302972
"Cuphea",5146,231.042210797214,21.6685915332428,71.7263504286661,24.4354280562796,18.439601152427,1510.16653247274,57.4899394652096,676.708297512293,134.953901441284,0.761518941471897,186.821715413111,34.7343120317776,55.6541311233398,16.5400855486868
"Decodon",301,3.61053535213247,9.54344813451418,73.8041255672113,21.6242589285207,-2.89322449037948,999.599331168241,17.2897606703926,303.379180249186,185.418074319529,0.184926742831697,197.801216328263,84.7347180587245,56.3163481202236,17.5801418384708
"Didiplis",35,0.145653070061537,13.2544875826154,91.5267061505999,25.431892994472,0.255918990288462,996.07437046596,32.7731337138585,360.369201660156,134.918506840297,0.110045408989702,199.988830457415,29.5568565232413,60.1528065545218,13.9797665119171
"Diplusodon",640,5.90215357943557,22.8525214314461,78.2291271269321,24.6524287164211,20.5920980378985,1342.65186524391,80.3338111341,742.046295928955,28.9088048126549,0.439519727727748,198.163658630848,20.8049685386941,54.1131300091743,15.9510492224246
"Duabanga",168,27.1760534211992,24.9304140692665,46.8872808161236,26.0718989712851,23.4353477046603,2319.50236838205,37.8089596458844,899.769871666318,320.057567585082,0.788593272817144,187.360240519993,74.2275880811706,51.1864619236144,17.5637436561168
"Ginoria",29,1.90243431424713,24.4635428724618,53.1557440264472,26.7807754648143,21.9057786546904,1405.61707805765,62.0137035764497,657.779049577384,108.458810477421,0.710737364173963,177.997818826259,34.3123241676681,64.6660884769484,14.1985458341138
"Heimia",448,37.3088783033592,19.4591035906758,82.2834093698433,23.6829280980996,14.3844571556962,1153.04237624577,54.6876796015671,488.61255805833,136.372157939843,0.821893020515875,178.914889872074,28.6881730540522,59.665527594941,17.4358330720237
"Koehneria",48,3.46641578846843,22.4376355012258,76.4333123763402,25.0935312906901,18.5711378057798,945.662702560425,89.6095507144928,564.912455876668,53.5806659807762,0.61752866829435,183.346702549193,16.440155763593,64.2198406590356,15.1227798991733
"Lafoensia",749,62.246550114241,22.6539557970095,73.0864353205397,24.5487996420969,20.3302716998774,1399.01590678848,66.3765722384281,684.796538980685,79.2653228724114,0.658151533933374,194.955955805861,26.31466521838,54.428717926443,16.3941332927852
"Lagerstroemia",560,68.5952095818168,22.5015623373645,59.3564630559513,27.308493913923,16.8734919957817,1757.45528662545,66.5661783891065,876.142607770647,133.757323535,0.627657657316114,189.401684409157,46.8429070587889,57.2310944317496,16.6082875530279
"Lawsonia",34,2.8744235401615,25.9490230223712,79.9943750044879,28.8219674615299,22.7175519606646,690.307515761432,87.1427992652444,498.717961030848,20.3011147800614,1.04006481660968,189.702134020188,17.277261496905,74.6673761255601,15.1719387489207
"Lythrum",6122,141.649087327588,12.4018252369078,78.7168772513379,22.0581221199752,2.86829250353263,793.448244596135,40.2498724928562,310.040682441421,101.14651889165,0.46263712850769,191.167816924837,56.112250102224,62.3770822887098,17.1459065665547
"Pehria",41,2.40867550696501,23.8611319006943,64.3067070565573,25.3232119490461,22.610425902576,1449.47550852706,72.9228147181069,728.140088337224,63.7115352851589,0.671452581337312,180.168425397175,28.5276533219872,59.6090184886281,14.3587266526571
"Pemphis",68,9.08665488211106,25.8392162883983,33.7337185354794,27.6242710842806,23.5388027078965,1833.32701290355,74.5301091811236,935.876044778263,152.967028056874,0.27326531822687,188.596709129857,53.1700347533413,56.6709607909707,17.0093386442054
"Physocalymma",199,5.14494640569986,24.9469767335671,67.9941140754738,26.46818541522,23.429405178856,1685.1621489405,68.972206508694,822.017186457188,59.1983591503833,0.290485700526878,197.71418733453,23.0350231165862,51.3821958896503,16.743945938858
"Pleurophora",214,9.92845298297198,23.8958217897148,77.2219241846388,26.3041926499839,20.787266823733,904.044484441525,63.4999236392084,419.24991328694,76.1998014374871,0.410424671090147,194.123847667302,18.786597250778,61.0649432111009,16.6656508189495
