Expert,Family,Genus,Species,match_to_tree,Major.Group,Minor.Group,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,Hypanthium.length..min...max...prevalent.,Family.y,Genus.y,Species.y
Fabian Michelangeli,Melastomataceae,Alloneuron,ulei,Melastomataceae_Alloneuron_ulei,Melastomatoideae,Cyphostyleae,dry,100,100,100,0.6,0.75,NA,NA,NA,NA,2.4,NA,NA,NA,1; 1.4,Melastomataceae,Alloneuron,ulei
Andrew Thornhill,Myrtaceae,Allosyncarpia,ternata,Myrtaceae_Allosyncarpia_ternata,Eucalypteae,Mesicalypt (as per Thornhill et al. 2019),Dry,1,2,"1,5",NA,NA,NA,NA,insects,biotic,5,NA,NA,NA,,Myrtaceae,Allosyncarpia,ternata
Peter Wilson,Myrtaceae,Aluta,aspera,Myrtaceae_Aluta_aspera,Chamelaucieae,Alutinae,dry,1,1,,NA,NA,NA,NA,insects,biotic,7–12 mm,NA,NA,NA,c. 3 mm,Myrtaceae,Aluta,aspera
Fabian Michelangeli,Alzateaceae,Alzatea,verticillata,Alzateaceae_Alzatea_verticillata,,,dry,40,60,50,NA,NA,NA,NA,insects,biotic,na,NA,NA,NA,1.5-2,Alzateaceae,Alzatea,verticillata
Shirley Graham,Lythraceae,Ammannia,coccinea,Lythraceae_Ammannia_coccinea,,,dry,100,500,300,0.3,0.4,0.3,0.5,insects,biotic,"1.0-2.5, prev 2 mm",NA,NA,NA,"1.0-6.0, prev 2-3 mm",Lythraceae,Ammannia,coccinea
NA,NA,NA,NA,Myrtaceae_Amomyrtella_guili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Amomyrtella,guili
NA,NA,NA,NA,Myrtaceae_Amomyrtus_meli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Amomyrtus,meli
Darin Penneys,Melastomataceae,Amphiblemma,cymosum,Melastomataceae_Amphiblemma_cymosum,Melastomatoideae,Sonerileae,dry,100,100,100,0.5,1.5,NA,NA,insects,biotic,4; 43; 22,NA,NA,NA,,Melastomataceae,Amphiblemma,cymosum
Darin Penneys,Melastomataceae,Amphorocalyx,latifolius,Melastomataceae_Amphorocalyx_latifolius,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.5,1,NA,NA,insects,biotic,14; 42; 30,NA,NA,NA,,Melastomataceae,Amphorocalyx,latifolius
Fabian Michelangeli,Melastomataceae,Anaectocalyx,bracteosa,Melastomataceae_Anaectocalyx_bracteosa,Melastomatoideae,Miconieae,fleshy,100,100,100,0.55,0.75,NA,NA,insects,biotic,12; 14,NA,NA,NA,4; 6,Melastomataceae,Anaectocalyx,bracteosa
Andrew Thornhill,Myrtaceae,Angophora,euryphylla,Myrtaceae_Angophora_euryphylla,Eucalypteae,Eucalypt (as per Thornhill et al. 2019),Dry,NA,NA,NA,1,10,NA,NA,insects/vertebrates,biotic,4;5;4 (Sepals),NA,NA,NA,,Myrtaceae,Angophora,euryphylla
Darin Penneys,Melastomataceae,Antherotoma,naudinii,Melastomataceae_Antherotoma_naudinii,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,8; 9; 8.5,NA,NA,NA,,Melastomataceae,Antherotoma,naudinii
Fabian Michelangeli,Melastomataceae,Appendicularia,thymifolia,Melastomataceae_Appendicularia_thymifolia,Melastomatoideae,Marcetieae,dry,100,100,100,0.5,0.55,NA,NA,insects,biotic,,NA,NA,NA,,Melastomataceae,Appendicularia,thymifolia
NA,NA,NA,NA,Myrtaceae_Archirhodomyrtus_paitensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Archirhodomyrtus,paitensis
Andrew Thornhill,Myrtaceae,Arillastrum,gummiferum,Myrtaceae_Arillastrum_gummiferum,Eucalypteae,Newcalypt (as per Thornhill et al. 2019),Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,4,NA,NA,NA,,Myrtaceae,Arillastrum,gummiferum
Fabian Michelangeli,Melastomataceae,Arthrostemma,ciliatum,Melastomataceae_Arthrostemma_ciliatum,Melastomatoideae,Rhexieae,dry,100,100,100,1,1,1,1,insects,biotic,20; 30,NA,NA,NA,7; 10,Melastomataceae,Arthrostemma,ciliatum
Peter Wilson,Myrtaceae,Astartea,fascicularis,Myrtaceae_Astartea_fascicularis,Chamelaucieae,Astarteinae,dry,3,NA,,NA,1,NA,NA,insects,biotic,6–9 mm,NA,NA,NA,1.5–2 mm ,Myrtaceae,Astartea,fascicularis
Peter Wilson,Myrtaceae,Asteromyrtus,angustifolia,Myrtaceae_Astereomyrtus_symphiocarpa,Leptospermeae,,dry,3,6,,3,4.5,NA,NA,insects,biotic,9–18 mm,NA,NA,NA,4–11 mm long,Myrtaceae,Asteromyrtus,angustifolia
Darin Penneys,Melastomataceae,Astrocalyx,calycina,Melastomataceae_Astrocalyx_calycina,Melastomatoideae,Astronieae,dry,100,100,100,0.5,1.8,NA,NA,insects,biotic,14; 15; 14.5,NA,NA,NA,0.5; 1; 0.75,Melastomataceae,Astrocalyx,calycina
Darin Penneys,Melastomataceae,Astronidium,morobiense,Melastomataceae_Astronidium_pickeringii,Melastomatoideae,Astronieae,dry,100,100,100,0.75,2.5,NA,NA,insects,biotic,7; 20; 12,NA,NA,NA,,Melastomataceae,Astronidium,morobiense
Peter Wilson,Myrtaceae,Astus,tetragonus,Myrtaceae_Astus_tetragonus,Chamelaucieae,Rinziinae,dry,1,1,,1.2,1.2,NA,NA,insects,biotic,3–5 mm,NA,NA,NA,1–2.5 mm (excl. sepals 1–1.2 mm long),Myrtaceae,Astus,tetragonus
NA,NA,NA,NA,Myrtaceae_Austromyrtus_dulcis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Austromyrtus,dulcis
Fabian Michelangeli,Melastomataceae,Axinaea,floribunda,Melastomataceae_Axinaea_floribunda,Melastomatoideae,Merianieae,dry,50,50,50,1,1.25,NA,NA,vertebrates,biotic,6; 8,NA,NA,NA,2; 3,Melastomataceae,Axinaea,floribunda
Fabian Michelangeli,Crypteroniaceae,Axinandra,zeylanica,Crypteroniaceae_Axinandra_zeylanica,,,dry,6,12,9,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,Crypteroniaceae,Axinandra,zeylanica
Peter Wilson,Myrtaceae,Babingtonia,camphorosmae,Myrtaceae_Babingtonia_camphorosmae,Chamelaucieae,Hysterobaeckeinae,dry,NA,NA,,1,1.6,NA,NA,insects,biotic,8–11 mm,NA,NA,NA,1.5–2.2 mm long,Myrtaceae,Babingtonia,camphorosmae
Peter Wilson,Myrtaceae,Backhousia,hughesii,Myrtaceae_Backhousia_hughesii,Backhousieae,,dry,1,2,,NA,NA,NA,NA,insects,biotic,8.5–9.5 mm,NA,NA,NA,2–2.5 mm,Myrtaceae,Backhousia,hughesii
Peter Wilson,Myrtaceae,Balaustion,pulcherrimum,Myrtaceae_Balaustion_pulcherrimum,Chamelaucieae,Hysterobaeckeinae,dry,NA,NA,,2.5,2.5,NA,NA,vertebrates,biotic,15–25 mm,NA,NA,NA,9–20 mm,Myrtaceae,Balaustion,pulcherrimum
Peter Wilson,Myrtaceae,Barongia,lophandra,Myrtaceae_Barongia_lophandra,Kanieae,,dry,1,2,,6,6,NA,NA,NA,NA,20–30 mm ,NA,NA,NA,c. 2 mm (excluding sepals 2 mm long),Myrtaceae,Barongia,lophandra
Darin Penneys,Melastomataceae,Barthea,barthei,Melastomataceae_Barthea_barthei,Melastomatoideae,Sonerileae,dry,100,100,100,2.2,3.2,NA,NA,insects,biotic,22; 45; 33,NA,NA,NA,,Melastomataceae,Barthea,barthei
Peter Wilson,Myrtaceae,Basisperma,lanceolata,Myrtaceae_Basisperma_lanceolata,Kanieae,,dry,1,1,,3,3,NA,NA,NA,NA,c. 6 mm,NA,NA,NA,c. 2 mm (excluding sepals 1 mm long),Myrtaceae,Basisperma,lanceolata
Peter Wilson,Myrtaceae,Beaufortia,squarrosa,Myrtaceae_Beaufortia_squarrosa,Melaleuceae,,dry,1,3,,0.5,0.5,NA,NA,insects,biotic,c. 8 mm (but flowers clustered and stamens spreading widely),NA,NA,NA,2.5–4 mm ,Myrtaceae,Beaufortia,squarrosa
Darin Penneys,Melastomataceae,Beccarianthus,pulcherrimus,Melastomataceae_Beccarianthus_pulcherrimus,Melastomatoideae,Astronieae,dry,100,100,100,1,2.5,NA,NA,vertebrates,biotic,12; 25; 20,NA,NA,NA,,Melastomataceae,Beccarianthus,pulcherrimus
Fabian Michelangeli,Melastomataceae,Behuria,glutinosa,Melastomataceae_Behuria_glutinosa,Melastomatoideae,Cambessedesieae,dry,100,100,100,0.6,1,NA,NA,insects,biotic,13; 16,NA,NA,NA,4; 6,Melastomataceae,Behuria,glutinosa
Fabian Michelangeli,Melastomataceae,Bellucia,pentamera,Melastomataceae_Bellucia_pentamera,Melastomatoideae,Henrietteeae,fleshy,100,100,100,0.6,0.8,NA,NA,insects,biotic,15; 20,NA,NA,NA,9; 11,Melastomataceae,Bellucia,pentamera
Fabian Michelangeli,Melastomataceae,Bertolonia,wurdackiana,Melastomataceae_Bertolonia_paranaensis,Melastomatoideae,Bertolonieae,dry,100,100,100,0.4,0.55,NA,NA,insects,biotic,7.8; 8.3,NA,NA,NA,2.7; 2.9,Melastomataceae,Bertolonia,wurdackiana
Darin Penneys,Melastomataceae,Blakea,schlimii,Melastomataceae_Blakea_schlimii,Melastomatoideae,Blakeeae,fleshy,100,100,100,0.6,1.8,NA,NA,insects,biotic,10; 160; 60,NA,NA,NA,,Melastomataceae,Blakea,schlimii
Darin Penneys,Melastomataceae,Blastus,borneensis,Melastomataceae_Blastus_borneensis,Melastomatoideae,Sonerileae,dry,100,100,100,0.3,1.8,NA,NA,insects,biotic,2.5; 11; 5,NA,NA,NA,,Melastomataceae,Blastus,borneensis
Carolyn Proença,Myrtaceae,Blepharocalyx,salicifolia,Myrtaceae_Blepharocalyx_salicifolia,Myrteae,Blepharocalycinae,fleshy,1,11,6,3,10,NA,NA,insects,biotic,2.5mm; 4mm; 4mm,2.5,4,3.25,0.5;1; 2mm,Myrtaceae,Blepharocalyx,salicifolia
Fabian Michelangeli,Melastomataceae,Boyania,ayangannae,Melastomataceae_Boyania_ayangannae,Melastomatoideae,Sonerileae,dry,100,100,100,NA,NA,NA,NA,insects,biotic,8; 13,NA,NA,NA,2.1; 2.5,Melastomataceae,Boyania,ayangannae
Fabian Michelangeli,Melastomataceae,Brachyotum,angustifolium,Melastomataceae_Brachyotum_quinquinerve,Melastomatoideae,Melastomateae,dry,100,100,100,0.5,0.9,NA,NA,vertebrates,biotic,10; 12,NA,NA,NA,4; 5,Melastomataceae,Brachyotum,angustifolium
Fabian Michelangeli,Penaeaceae,Brachysiphon,fucatus,Penaeaceae_Brachysiphon_fucatus,,,dry,NA,NA,NA,3,3.4,NA,NA,NA,NA,n/a,NA,NA,NA,5; 6,Penaeaceae,Brachysiphon,fucatus
Darin Penneys,Melastomataceae,Bredia,okinawensis,Melastomataceae_Bredia_okinawensis,Melastomatoideae,Sonerileae,dry,100,100,100,0.4,1,NA,NA,insects,biotic,10; 24; 17,NA,NA,NA,,Melastomataceae,Bredia,okinawensis
"Olivier Maurin, Ian Turner",Combretaceae,Buchenavia,tetraphylla,Combretaceae_Buchenavia_reticulata,Combretoideae,Combreteae / Terminaliinae,fleshy,1,1,1,5,40,NA,NA,insects,biotic,absent,NA,NA,NA,2.5-5 mm,Combretaceae,Buchenavia,tetraphylla
Fabian Michelangeli,Melastomataceae,Bucquetia,glutinosa,Melastomataceae_Bucquetia_glutinosa,Melastomatoideae,Melastomateae,dry,100,100,100,NA,NA,NA,NA,insects,biotic,12; 14,NA,NA,NA,5,Melastomataceae,Bucquetia,glutinosa
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Callisthene,microphylla,Vochysiaceae_Callisthene_microphylla,,,Dry,3,6,4.5,5,10,3,7,insects,biotic,0.5-1.3 cm long,5,13,9,not measured,Vochysiaceae,Callisthene,microphylla
Darin Penneys,Melastomataceae,Calvoa,crassinoda,Melastomataceae_Calvoa_crassinoda,Melastomatoideae,Sonerileae,dry,100,100,100,0.5,2,NA,NA,insects,biotic,14; 40; 28,NA,NA,NA,,Melastomataceae,Calvoa,crassinoda
Fabian Michelangeli,Melastomataceae,Calycogonium,rosmarinifolium,Melastomataceae_Calycogonium_rosmarinifolium,Melastomatoideae,Miconieae,fleshy,15,20,,1.7,2.3,NA,NA,insects,biotic,4.5; 5.0,NA,NA,NA,2.5,Melastomataceae,Calycogonium,rosmarinifolium
Paulo Gaem,Myrtaceae,Calycolpus,goetheanus,Myrtaceae_Calycolpus_goetheanus,Myrteae,Myrtinae,Fleshy,3,200,101.5,1.5,5,NA,NA,insects,biotic,?,NA,NA,NA,1; 8; 3-5,Myrtaceae,Calycolpus,goetheanus
Peter Wilson,Myrtaceae,Calytrix,leschenaultii,Myrtaceae_Calytrix_leschenaultii,Chamelaucieae,Calytricinae,dry,1,1,,2.5,3.5,NA,NA,insects,biotic,10–16 mm,NA,NA,NA,6–11 mm,Myrtaceae,Calytrix,leschenaultii
Fabian Michelangeli,Melastomataceae,Cambessedesia,eichlerii,Melastomataceae_Cambessedesia_eichleri,Melastomatoideae,Cambessedesieae,dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,4.5; 5.5,NA,NA,NA,5; 6,Melastomataceae,Cambessedesia,eichlerii
Peter Hoch,Onagraceae,Camissonia,tanacetifolia,Onagraceae_Camissonia_strigulosa,Subfam. Onagroideae,Tribe Onagreae,dry,80,160,120,1.3,2.2,NA,NA,insects,biotic,10; 45; 20,10,45,27.5,1.5; 8; 3,Onagraceae,Camissonia,tanacetifolia
Shirley Graham,Lythraceae,Capuronia,benoistii,Lythraceae_Capuronia_benoistii,,,dry,5,8,6.5,2.9,3.2,2.3,2.7,NA,NA,1.3 mm,NA,NA,NA,1-2 mm,Lythraceae,Capuronia,benoistii
Fabian Michelangeli,Melastomataceae,Castratella,piloselloides,Melastomataceae_Castratella_piloselloides,Melastomatoideae,Melastomateae,dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,8.5; 11,NA,NA,NA,6,Melastomataceae,Castratella,piloselloides
Fabian Michelangeli,Melastomataceae,Catocoryne,linnaeoides,Melastomataceae_Catocoryne_linnaeoides,Melastomatoideae,Miconieae,fleshy,50,50,50,0.3,0.4,NA,NA,insects,biotic,4; 5,NA,NA,NA,2,Melastomataceae,Catocoryne,linnaeoides
Fabian Michelangeli,Melastomataceae,Centradenia,floribunda,Melastomataceae_Centradenia_floribunda,Melastomatoideae,Melastomateae,dry,50,50,50,0.5,0.8,NA,NA,insects,biotic,4; 7,NA,NA,NA,2.5; 2.7,Melastomataceae,Centradenia,floribunda
Fabian Michelangeli,Melastomataceae,Centronia,laurifolia,Melastomataceae_Centronia_laurifolia,Melastomatoideae,Merianieae,dry,100,100,100,2,2,2,2,insects,biotic,14; 15.5,NA,NA,NA,8,Melastomataceae,Centronia,laurifolia
Fabian Michelangeli,Melastomataceae,Chaetolepis,lindeniana,Melastomataceae_Chaetolepis_lindeniana,Melastomatoideae,Melastomateae,dry,100,100,100,0.5,0.8,NA,NA,insects,biotic,5; 6,NA,NA,NA,2.5; 3,Melastomataceae,Chaetolepis,lindeniana
Fabian Michelangeli,Melastomataceae,Chaetostoma,pungens,Melastomataceae_Chaetostoma_pungens,Melastomatoideae,Microlicieae,dry,100,100,100,0.5,0.65,NA,NA,insects,biotic,9; 12.5,NA,NA,NA,4; 7,Melastomataceae,Chaetostoma,pungens
Darin Penneys,Melastomataceae,Chalybea,macrocarpa,Melastomataceae_Chalybea_macrocarpa,Melastomatoideae,Blakeeae,fleshy,100,100,100,0.8,1.6,NA,NA,vertebrates,biotic,18; 40; 30,NA,NA,NA,,Melastomataceae,Chalybea,macrocarpa
Peter Hoch,Onagraceae,Chemerion,latifolium,Onagraceae_Chamaenerion_latifolium,Subfam. Onagroideae,Tribe Epilobieae,dry,200,500,350,1,2.5,NA,NA,insects,biotic,20; 70; c. 35,20,70,45,0 (no hypan.),Onagraceae,Chemerion,latifolium
Peter Wilson,Myrtaceae,Chamelaucium,uncinatum,Myrtaceae_Chamelaucium_uncinatum,Chamelaucieae,Chamelauciinae,dry,1,1,,6,6,NA,NA,insects,biotic,15–20 mm,NA,NA,NA,4.5–7 mm,Myrtaceae,Chamelaucium,uncinatum
Karinne Valdemarin,Myrtaceae,Chamguava,schipii,Myrtaceae_Chamguava_schipii,Myrteae,Myrtinae,fleshy,1,4,"2,5",6,10,NA,NA,NA,NA,?,NA,NA,NA,absent,Myrtaceae,Chamguava,schipii
Fabian Michelangeli,Melastomataceae,Charianthus,purpureus,Melastomataceae_Charianthus_purpureus,Melastomatoideae,Miconieae,fleshy,100,100,100,0.6,0.95,NA,NA,vertebrates,biotic,9; 12,NA,NA,NA,4.2; 5.5,Melastomataceae,Charianthus,purpureus
Peter Wilson,Myrtaceae,Cheyniana,microphylla,Myrtaceae_Cheyniana_microphylla,Chamelaucieae,Hysterobaeckeinae,dry,6,27,,1.4,1.7,NA,NA,vertebrates,biotic,10–14 mm,NA,NA,NA,4–8 mm long,Myrtaceae,Cheyniana,microphylla
Peter Hoch,Onagraceae,Chylismia,claviformis,Onagraceae_Chylismia_claviformis_Camissonia,Subfam. Onagroideae,Tribe Onagreae,dry,80,160,120,0.5,1.8,NA,NA,insects,biotic,2; 30; c. 15,2,30,16,0.4; 40; ?,Onagraceae,Chylismia,claviformis
Darin Penneys,Melastomataceae,Cincinnobotrys,felicis,Melastomataceae_Cincinnobotrys_felicis,Melastomatoideae,Sonerileae,dry,100,100,100,0.3,2,NA,NA,insects,biotic,7; 32; 15,NA,NA,NA,,Melastomataceae,Cincinnobotrys,felicis
Peter Hoch,Onagraceae,Clarkia,purpurea,Onagraceae_Clarkia_purpurea,Subfam. Onagroideae,Tribe Onagreae,dry,1,300,150.5,0.5,3,NA,NA,insects,biotic,4; 55; c. 25,4,55,29.5,1; 35; 3.5,Onagraceae,Clarkia,purpurea
Fabian Michelangeli,Melastomataceae,Clidemia,eggersii,Melastomataceae_Clidemia_hirta,Melastomatoideae,Miconieae,dry,100,100,100,0.3,0.5,NA,NA,insects,biotic,7; 18,NA,NA,NA,5; 7.5,Melastomataceae,Clidemia,eggersii
Peter Wilson,Myrtaceae,Cloezia,buxifolia,Myrtaceae_Cloezia_buxifolia,Tristanieae,,dry,6,9,,4,4,NA,NA,insects,biotic,6–8 mm ,NA,NA,NA,2–3 mm,Myrtaceae,Cloezia,buxifolia
"Olivier Maurin, Ian Turner",Combretaceae,Thiloa,glaucocarpa,Combretaceae_Combretum_glaucocarpum_Thiloa,Combretoideae,Combreteae / Combretinae,dry,1,1,1,5,40,NA,NA,insects,biotic,"0,2-0,5",NA,NA,NA,2.5-5 mm,Combretaceae,Thiloa,glaucocarpa
Fabian Michelangeli,Melastomataceae,Comolia,lythrarioides,Melastomataceae_Comolia_lythrarioides,Melastomatoideae,Marcetieae,dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,9; 12,NA,NA,NA,3; 5,Melastomataceae,Comolia,lythrarioides
"Olivier Maurin, Ian Turner",Combretaceae,Conocarpus,erectus,Combretaceae_Conocarpus_erectus,Combretoideae,Combreteae / Terminaliinae,dry,1,1,1,2,4,NA,NA,insects,biotic,absent,NA,NA,NA,1.5-3 mm,Combretaceae,Conocarpus,erectus
Fabian Michelangeli,Melastomataceae,Conostegia,icosandra,Melastomataceae_Conostegia_icosandra,Melastomatoideae,Miconieae,fleshy,100,100,100,0.4,0.8,NA,NA,insects,biotic,7; 8,NA,NA,NA,3.5; 5.5,Melastomataceae,Conostegia,icosandra
Peter Wilson,Myrtaceae,Conothamnus,aureus,Myrtaceae_Conothamnus_aureus,Melaleuceae,,dry,3,3,,1,1,NA,NA,insects,biotic,petals absent,NA,NA,NA,0.5–1 mm,Myrtaceae,Conothamnus,aureus
Andrew Thornhill,Myrtaceae,Corymbia,ficifolia,Myrtaceae_Corymbia_ficifolia,Eucalypteae,Eucalypt (as per Thornhill et al. 2019),Dry,NA,NA,NA,1,18,NA,NA,insects/vertebrates,biotic,,NA,NA,NA,,Myrtaceae,Corymbia,ficifolia
Peter Wilson,Myrtaceae,Corynanthera,flava,Myrtaceae_Corynanthera_flava,Chamelaucieae,Micromyrtinae,dry,1,1,,2,2,NA,NA,insects,biotic,c. 1.5 mm,NA,NA,NA,c. 2.5 mm,Myrtaceae,Corynanthera,flava
Shirley Graham,Lythraceae,Crenea,maritima,Lythraceae_Crenea_maritima,,,dry,500,500,500,5,5,0.3,0.5,NA,NA,4.5-5.5,NA,NA,NA,4-6 mm,Lythraceae,Crenea,maritima
Shirley Graham,Lythraceae,Cuphea,hyssopifolia,Lythraceae_Cuphea_hyssopifolia,,,dry,2,100,51,0.5,3.3,0.3,3,"abiotic, vertebrates","abiotic, biotic",2-6 mm,NA,NA,NA,4-38 mm,Lythraceae,Cuphea,hyssopifolia
Karinne Valdemarin,Myrtaceae,Curitiba,prismatica,Myrtaceae_Curitiba_prismatica,Myrteae,Pimentinae,fleshy,4,7,"5,5",2,4,0.5,0.5,insects,biotic,?,NA,NA,NA,absent,Myrtaceae,Curitiba,prismatica
Peter Wilson,Myrtaceae,Cyathostemon,ambiguus,Myrtaceae_Cyathostemon_ambiguus_Astartea,Chamelaucieae,Astarteinae,dry,3,3,,1.3,2,NA,NA,insects,biotic,8–9 mm ,NA,NA,NA,1–1.5 mm ,Myrtaceae,Cyathostemon,ambiguus
Darin Penneys,Melastomataceae,Cyphotheca,montana,Melastomataceae_Cyphotheca_montana,Melastomatoideae,Sonerileae,dry,100,100,100,0.7,0.7,NA,NA,insects,biotic,13; 13; 13,NA,NA,NA,,Melastomataceae,Cyphotheca,montana
"Olivier Maurin, Ian Turner",Combretaceae,Dansiea,elliptica,Combretaceae_Dansiea_elliptica,Combretoideae,Laguncularieae,dry,1,1,1,NA,NA,NA,NA,vertebrates,biotic,"1,0; 1,5",NA,NA,NA,6-7 mm,Combretaceae,Dansiea,elliptica
Peter Wilson,Myrtaceae,Darwinia,speciosa,Myrtaceae_Darwinia_speciosa,Chamelaucieae,Chamelauciinae,dry,1,1,,2,3.5,NA,NA,vertebrates,biotic,c. 5–7 mm (flowers 4 within a bell-like involucre),NA,NA,NA,4–5 mm,Myrtaceae,Darwinia,speciosa
NA,NA,NA,NA,Myrtaceae_Decaspermum_fruticosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Decaspermum,fruticosum
Shirley Graham,Lythraceae,Decodon,verticillatus,Lythraceae_Decodon_verticillatus,,,dry,20,30,25,1,1.9,1.2,2,insects,biotic,4.5-6.5 mm,NA,NA,NA,4-8 mm,Lythraceae,Decodon,verticillatus
Fabian Michelangeli,Melastomataceae,Desmoscelis,villosa,Melastomataceae_Desmoscelis_villosa,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,6; 10,NA,NA,NA,3.5; 5,Melastomataceae,Desmoscelis,villosa
Darin Penneys,Melastomataceae,Dicellandra,barteri,Melastomataceae_Dicellandra_barteri,Melastomatoideae,Sonerileae,dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,9; 16; 12,NA,NA,NA,,Melastomataceae,Dicellandra,barteri
Darin Penneys,Melastomataceae,Dichaetanthera,,Melastomataceae_Dichaetanthera_,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.5,1.7,NA,NA,insects,biotic,11; 40; 20,NA,NA,NA,,Melastomataceae,Dichaetanthera,
Fabian Michelangeli,Melastomataceae,Dicrananthera,hedyotidea,Melastomataceae_Dicrananthera_hedyotidea,Melastomatoideae,Marcetieae,dry,100,100,100,0.6,0.8,NA,NA,insects,biotic,3; 4,NA,NA,NA,2; 2.5,Melastomataceae,Dicrananthera,hedyotidea
