Expert,Family,Genus,Species,match_to_tree,Major.Group,Minor.Group,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,Hypanthium.length..min...max...prevalent.,Family.y,Genus.y,Species.y
Fabian Michelangeli,Melastomataceae,Acanthella,sprucei,Melastomataceae_Acanthella_sprucei,Melastomatoideae,Marcetieae,dry,50,100,75,4,5,NA,NA,NA,NA,12; 15,NA,NA,NA,10; 12,Melastomataceae,Acanthella,sprucei
Karinne Valdemarin,Myrtaceae,Accara,elegans,Myrtaceae_Accara_elegans,Myrteae,Myrtinae,fleshy,40,40,40,3,3,NA,NA,insects,biotic,?,NA,NA,NA,absent,Myrtaceae,Accara,elegans
Fabian Michelangeli,Melastomataceae,Aciotis,purpurascens,Melastomataceae_Aciotis_purpurascens,Melastomatoideae,Marcetieae,fleshy,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,3.5; 4.5,NA,NA,NA,2; 3 ,Melastomataceae,Aciotis,purpurascens
Fabian Michelangeli,Melastomataceae,Acisanthera,quadrata,Melastomataceae_Acisanthera_quadrata,Melastomatoideae,Marcetieae,dry,NA,NA,NA,0.55,0.75,NA,NA,NA,NA,5; 6,NA,NA,NA,2; 2.5,Melastomataceae,Acisanthera,quadrata
Peter Wilson,Myrtaceae,Actinodium,cunninghamii,Myrtaceae_Actinodium_cunninghamii,Chamelaucieae,Chamelauciinae,dry,1,1,,NA,NA,NA,NA,insects,biotic,c. 3 mm,NA,NA,NA,c. 2 mm,Myrtaceae,Actinodium,cunninghamii
Fabian Michelangeli,Melastomataceae,Adelobotrys,adscendens,Melastomataceae_Adelobotrys_adscendens,Melastomatoideae,Merianieae,dry,100,100,100,0.55,0.65,NA,NA,insects,biotic,12; 15.5,NA,NA,NA,6; 6.5,Melastomataceae,Adelobotrys,adscendens
Shirley Graham,Lythraceae,Adenaria,floribunda,Lythraceae_Adenaria_floribunda,,,dry,7,20,13.5,0.9,1.3,0.8,1.2,abiotic,abiotic,2.0-2.5,NA,NA,NA,2.5-5.0,Lythraceae,Adenaria,floribunda
Peter Wilson,Myrtaceae,Agonis,,Myrtaceae_Agonis_,Leptospermeae,,dry,3,6,,1.2,1.5,NA,NA,insects,biotic,8–12 mm,NA,NA,NA,1.5–2 mm,Myrtaceae,Agonis,
Karinne Valdemarin,Myrtaceae,Algrizea,minor,Myrtaceae_Algrizea_macrochlamys,Myrteae,Pliniinae,fleshy,2,3,"2,5",4,4,NA,NA,insects,biotic,?,NA,NA,NA,absent,Myrtaceae,Algrizea,minor
Fabian Michelangeli,Melastomataceae,Allomaieta,hirsuta,Melastomataceae_Allomaieta_hirsuta,Melastomatoideae,Cyphostyleae,dry,100,100,100,0.6,0.65,NA,NA,NA,NA,6,NA,NA,NA,18; 24,Melastomataceae,Allomaieta,hirsuta
Darin Penneys,Melastomataceae,Allomorphia,urophylla,Melastomataceae_Allomorphia_urophylla,Melastomatoideae,Sonerileae,dry,100,100,100,NA,NA,NA,NA,insects,biotic,7,NA,NA,NA,,Melastomataceae,Allomorphia,urophylla
