Family,Genus,Species,tip_tree,tip_name
Myrtaceae,Backhousia,hughesii,Backhousia_hughesii,Backhousia_hughesii
Myrtaceae,Babingtonia,camphorosmae,Babingtonia_camphorosmae,Babingtonia_camphorosmae
Crypteroniaceae,Axinandra,zeylanica,Axinandra_zeylanica,Axinandra_zeylanica
Melastomataceae,Axinaea,floribunda,Axinaea_floribunda,Axinaea_floribunda
Myrtaceae,Austromyrtus,dulcis,Austromyrtus_dulcis,Austromyrtus_dulcis
Myrtaceae,Astus,tetragonus,Astus_tetragonus,Astus_tetragonus
Melastomataceae,Astrocalyx,calycina,Astrocalyx_calycina,Astrocalyx_calycina
Myrtaceae,Astartea,fascicularis,Astartea_fascicularis,Astartea_fascicularis
Melastomataceae,Arthrostemma,ciliatum,Arthrostemma_ciliatum,Arthrostemma_ciliatum
Myrtaceae,Arillastrum,gummiferum,Arillastrum_gummiferum,Arillastrum_gummiferum
Myrtaceae,Archirhodomyrtus,paitensis,Archirhodomyrtus_paitensis,Archirhodomyrtus_paitensis
Melastomataceae,Appendicularia,thymifolia,Appendicularia_thymifolia,Appendicularia_thymifolia
Melastomataceae,Antherotoma,naudinii,Antherotoma_naudinii,Antherotoma_naudinii
Myrtaceae,Angophora,euryphylla,Angophora_euryphylla,Angophora_euryphylla
Melastomataceae,Anaectocalyx,bracteosa,Anaectocalyx_bracteosa,Anaectocalyx_bracteosa
Melastomataceae,Amphorocalyx,latifolius,Amphorocalyx_latifolius,Amphorocalyx_latifolius
Melastomataceae,Amphiblemma,cymosum,Amphiblemma_cymosum,Amphiblemma_cymosum
Myrtaceae,Amomyrtus,meli,Amomyrtus_meli,Amomyrtus_meli
Myrtaceae,Amomyrtella,guili,Amomyrtella_guili,Amomyrtella_guili
Lythraceae,Ammannia,coccinea,Ammannia_coccinea,Ammannia_coccinea
Alzateaceae,Alzatea,verticillata,Alzatea_verticillata,Alzatea_verticillata
Myrtaceae,Aluta,aspera,Aluta_aspera,Aluta_aspera
Myrtaceae,Allosyncarpia,ternata,Allosyncarpia_ternata,Allosyncarpia_ternata
Melastomataceae,Alloneuron,ulei,Alloneuron_ulei,Alloneuron_ulei
Melastomataceae,Allomorphia,urophylla,Allomorphia_urophylla,Allomorphia_urophylla
Melastomataceae,Allomaieta,hirsuta,Allomaieta_hirsuta,Allomaieta_hirsuta
Lythraceae,Adenaria,floribunda,Adenaria_floribunda,Adenaria_floribunda
Melastomataceae,Adelobotrys,adscendens,Adelobotrys_adscendens,Adelobotrys_adscendens
Myrtaceae,Actinodium,cunninghamii,Actinodium_cunninghamii,Actinodium_cunninghamii
Melastomataceae,Acisanthera,quadrata,Acisanthera_quadrata,Acisanthera_quadrata
Melastomataceae,Aciotis,purpurascens,Aciotis_purpurascens,Aciotis_purpurascens
Myrtaceae,Accara,elegans,Accara_elegans,Accara_elegans
Melastomataceae,Acanthella,sprucei,Acanthella_sprucei,Acanthella_sprucei
