"(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","fm_scoring_corolla_diam","fm_scoring_fruit","fm_scoring_seed_number","GLOBAL_SLOPE_10MIN","meancarbon","meanpH","meanwatercap","most_common_life_form","seed.length.mean","df","logLik","AICc","delta","weight"
-47.5666537972884,3.4279116882488,NA,1.07676695458589,NA,NA,"+",0.355430543899536,NA,0.788869003392944,5.67685532155173,NA,"+",NA,9,-504.026346922319,1026.89381533996,0,0.0192513113871573
-49.0513863412145,3.25625881710548,NA,1.0843747384126,NA,NA,"+",0.367844821091427,NA,0.825035984657553,6.29469979245699,NA,NA,NA,8,-505.418255055101,1027.50627755206,0.612462212098535,0.0141731322373657
-144.32296332455,3.81067465581278,15.2877379164387,1.12296430897857,NA,NA,"+",0.337763262706196,NA,1.06271734983121,7.47740194102771,NA,"+",NA,10,-503.266130527791,1027.56512490535,0.671309565383126,0.0137621820580111
-41.6127850896906,3.24097271817542,NA,1.29915214858912,NA,NA,"+",0.372595062251556,NA,NA,4.82642871087852,NA,"+",NA,8,-505.529480338889,1027.72872811964,0.834912779674141,0.0126812280359998
-148.941071162586,3.65471845307388,15.7871813700271,1.13193986861665,NA,NA,"+",0.349369507782449,NA,1.10715828799855,8.14258030673074,NA,NA,NA,9,-504.616941467177,1028.07500442968,1.18118908971587,0.010665184352948
-23.9952211620539,3.83524077738365,NA,1.16148976525617,NA,NA,"+",0.37594801484374,NA,NA,NA,NA,"+",NA,7,-506.785858144123,1028.09023480677,1.19641946680053,0.0105842754226405
-26.3578839538854,4.07705253577423,NA,0.956995366246271,NA,NA,"+",0.362206483255565,NA,0.654063632863847,NA,NA,"+",NA,8,-505.739368796471,1028.1485050348,1.25468969483813,0.0102803502967168
-46.9427521236818,3.45591110456119,NA,1.07212706277338,NA,-0.14845256105323,"+",0.374412505837036,NA,0.808239345589371,5.54810641821285,NA,"+",NA,10,-503.727837694256,1028.48853923828,1.5947238983133,0.00867302152261966
-43.0703121900296,3.42133096660603,NA,1.10062149208189,NA,NA,"+",0.358105480544569,NA,1.01067822209764,5.75717513051852,-2.04843924045891,"+",NA,10,-503.75341283851,1028.53968952678,1.64587418682049,0.00845402017859591
-42.8874723444316,3.05139145634586,NA,1.31787996153575,NA,NA,"+",0.38648173080164,NA,NA,5.43534031445236,NA,NA,NA,7,-507.044865935536,1028.60825038959,1.7144350496269,0.00816912380416273
-57.5463979972189,3.41261572281298,NA,1.07862854235992,1.39117410473304,NA,"+",0.359063668141958,NA,0.870338909447755,6.28788571980778,NA,"+",NA,10,-503.853637323785,1028.74013849734,1.84632315737122,0.00764779677994399
-47.8409203413782,3.41936008291362,NA,1.05807352215002,NA,NA,"+",0.368275127164338,NA,0.777542902221476,5.74614768657778,NA,"+",0.11001324614107,10,-503.902607150735,1028.83807815124,1.94426281127085,0.00728230750374651
-49.0834601673588,3.44559195447992,NA,1.07180727728962,NA,NA,"+",0.361742950169393,-0.148038074275027,0.89555032083889,5.91850177952486,NA,"+",NA,10,-503.928954268359,1028.89077238648,1.99695704651981,0.00709294522055956
-49.3542694308608,3.25733104926602,NA,1.05460352727451,NA,NA,"+",0.386821213724504,NA,0.804350712778909,6.35085970172437,NA,NA,0.171451502157231,9,-505.111436771647,1029.06399503862,2.1701796986556,0.00650446805019793
-146.325761841498,3.85112112964393,15.7094151909529,1.11928556291958,NA,-0.158470225481613,"+",0.357538826849823,NA,1.09094829400447,7.38962894657979,NA,"+",NA,11,-502.924172968176,1029.09362895522,2.19981361525515,0.00640880210769628
-158.869184199302,3.88757032588908,17.1890018856585,1.12049230110198,NA,NA,"+",0.346024666959515,-0.245274315038005,1.27352766901501,8.10169518622006,NA,"+",NA,11,-503.008576777973,1029.26243657481,2.36862123485002,0.00589007402205723
-158.049970777765,3.8041319480854,15.7050561458049,1.12629329155383,1.54535726536823,NA,"+",0.341316770371392,NA,1.16069192340416,8.20530310917019,NA,"+",NA,11,-503.052094774251,1029.34947256737,2.45565722740594,0.00563924712835114
-48.7040358497456,3.2670816310587,NA,1.08163570312134,NA,-0.0986802101658595,"+",0.381025940345772,NA,0.839553099564747,6.23715311147576,NA,NA,NA,9,-505.285230981791,1029.41158345891,2.5177681189441,0.00546680922163055
-40.9407327876184,3.26140160673832,NA,1.2998683461232,NA,-0.129552466002007,"+",0.389528162671354,NA,NA,4.69584804165504,NA,"+",NA,9,-505.304559506493,1029.45024050831,2.55642516834928,0.00536215849466137
-56.8261124497231,3.24078851347452,NA,1.08597882925924,1.07945228227657,NA,"+",0.370924351052312,NA,0.889009721255741,6.78177995086235,NA,NA,NA,9,-505.314979311764,1029.47108011885,2.57726477888991,0.00530657592996191
-50.5995072176954,3.27460248269739,NA,1.07929298850429,NA,NA,"+",0.374277700769135,-0.151323151122975,0.934027529146906,6.54073291612867,NA,NA,NA,9,-505.317744018504,1029.47660953234,2.58279419237101,0.00529192506572278
-46.4957712930481,3.24465135675623,NA,1.09863391804827,NA,NA,"+",0.369967022753308,NA,0.956058910291581,6.36951488684214,-1.19489836514163,NA,NA,9,-505.323770837459,1029.48866317025,2.59484783028142,0.00526012750674006
-42.0346700039586,3.23409159908915,NA,1.27348560759663,NA,NA,"+",0.387369179575307,NA,NA,4.92200818615647,NA,"+",0.129014909274035,9,-505.361115615193,1029.56335272571,2.66953738574898,0.00506731194959361
-26.196703543743,4.09202869360184,NA,0.95482570566103,NA,-0.167449255087919,"+",0.383444126320335,NA,0.679361261078182,NA,NA,"+",NA,9,-505.364096351309,1029.56931419795,2.67549885798076,0.00505223011850087
-25.410041186828,3.9608040257731,NA,0.95074848331195,NA,NA,"+",0.377343336813261,NA,0.678803467172055,NA,NA,NA,NA,7,-507.525526052716,1029.56957062395,2.67575528398606,0.00505158239843123
-142.037184634106,3.7938383852484,14.8915310205946,1.10664821810517,NA,NA,"+",0.348609537526462,NA,1.04645983371844,7.4867798533049,NA,"+",0.0889761371279764,11,-503.185166754774,1029.61561652842,2.72180118845176,0.00493660865418463
-23.7710139935102,3.84023288047986,NA,1.1665850615174,NA,-0.148649577776104,"+",0.395273107744109,NA,NA,NA,NA,"+",NA,8,-506.491746735821,1029.6532609135,2.7594455735375,0.00484455985324658
-22.9342148658317,3.70696890097443,NA,1.16301198497961,NA,NA,"+",0.391963842276858,NA,NA,NA,NA,NA,NA,6,-508.63545875069,1029.65801427557,2.76419893560956,0.00483305955140352
-132.596299293534,3.76952500661563,13.7671092203261,1.12952406817378,NA,NA,"+",0.340771434339044,NA,1.13920105385333,7.33586581026375,-0.957893089615046,"+",NA,11,-503.213649549119,1029.67258211711,2.77876677714221,0.00479798382804691
-47.121303370264,3.45662773258456,NA,1.02527898378395,NA,-0.257606317658106,"+",0.418215464069712,NA,0.79616433381101,5.61444958066906,NA,"+",0.25562921258384,11,-503.218770171977,1029.68282336282,2.78900802285739,0.0047734779585912
-41.0020678760095,3.24749494228812,NA,1.27759974096219,NA,NA,"+",0.365185894020449,0.127042772091429,NA,4.71774882606171,NA,"+",NA,9,-505.438594249753,1029.71830999483,2.82449465486798,0.00468952761195477
-163.837788823725,3.73437106248685,17.7347791652822,1.12935937240098,NA,NA,"+",0.357784943836496,-0.251574617672338,1.32316087886491,8.7795753816034,NA,NA,NA,10,-504.349188687572,1029.73124122491,2.83742588494533,0.00465930474171158
-44.0179184792435,3.26402577992562,NA,1.26548120683829,NA,NA,"+",0.369671228573214,NA,NA,4.88832568151532,0.798450554182371,"+",NA,9,-505.470665685109,1029.78245286554,2.88863752558041,0.00454151392276754
-65.0158380854876,3.3195358528332,3.77845287075589,1.32965024623233,NA,NA,"+",0.369701168930649,NA,NA,5.19847951595035,NA,"+",NA,9,-505.472810638884,1029.7867427731,2.89292743313126,0.0045317830252263
-144.75549573642,3.63790351519303,15.0838802755742,1.10383257026168,NA,NA,"+",0.366757715179898,NA,1.07653316492828,8.10928325530933,NA,NA,0.149665978717151,10,-504.383136922653,1029.79913769507,2.9053223551075,0.00450378432675724
-21.9967211011517,4.079419999053,NA,0.97714438007706,NA,NA,"+",0.36472585150186,NA,0.854010391009584,NA,-1.86255223490966,"+",NA,9,-505.516915731632,1029.87495295859,2.98113761862624,0.00433625196781972
-42.421411369806,3.23798494832098,NA,1.30129599092671,0.120123487439689,NA,"+",0.373061834108413,NA,NA,4.87160565135099,NA,"+",NA,9,-505.528092060547,1029.89730561642,3.00349027645757,0.00428805840477735
-23.7161593406489,3.82629651524673,NA,1.13742833218728,NA,NA,"+",0.366188299405819,0.165658805201299,NA,NA,NA,"+",NA,8,-506.631926225263,1029.93361989239,3.03980455242117,0.00421090212499607
-150.561829186607,3.6747446740067,16.1043157243344,1.12985285477665,NA,-0.109613478747399,"+",0.363639894639696,NA,1.12895112470153,8.11577813839452,NA,NA,NA,10,-504.451930294715,1029.9367244392,3.04290909923157,0.00420437072418692
-45.5535624887533,3.46365645716044,NA,1.0830855924269,NA,NA,NA,0.320440566673035,NA,0.867857182040291,5.15335477512066,NA,"+",NA,8,-506.642049651329,1029.95386674452,3.06005140455477,0.00416848841690392
-43.4044874361967,3.05840894305631,NA,1.27761321634305,NA,NA,"+",0.407402120009639,NA,NA,5.52316909980943,NA,NA,0.193787196041924,8,-506.657112481991,1029.98399240584,3.09017706587838,0.00410616970812376
-160.09129190537,3.64568365809149,16.1348495695967,1.13483402048713,1.2426886694745,NA,"+",0.35250786213243,NA,1.187019177679,8.74401181768166,NA,NA,NA,10,-504.479455418055,1029.99177468588,3.0979593459117,0.00409022307227433
-24.0571803955217,3.83938908490136,NA,1.13739061846371,NA,NA,"+",0.388544336196001,NA,NA,NA,NA,"+",0.109505164351503,8,-506.665589421305,1030.00094628447,3.10713094450557,0.00407150907230473
-47.4095497574022,3.31493477131762,NA,1.1369741447358,NA,NA,"+",NA,NA,0.856491827805621,5.84526259396834,NA,"+",NA,8,-506.680769288197,1030.03130601825,3.13749067829031,0.00401017083749057
-42.1768334979393,3.45034764211827,NA,1.09702359838494,NA,-0.155701526756392,"+",0.378156586107436,NA,1.04279005529532,5.6264107367288,-2.15737357139009,"+",NA,11,-503.424968101651,1030.09521922217,3.20140388220511,0.00388404540768218
-19.5126845610614,3.81731138599205,NA,1.15553405049305,-0.836478276210307,NA,"+",0.372479108237092,NA,NA,NA,NA,"+",NA,8,-506.713960706791,1030.09768885544,3.20387351547879,0.00387925228371818
-157.240154084666,3.90314745884902,17.6297646557705,1.13602260434569,NA,NA,NA,0.301936274598667,NA,1.17943768896903,7.25770990921356,NA,"+",NA,9,-505.645951082291,1030.13302365991,3.23920831994474,0.00381131785277915
