"","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","fm_scoring_corolla_diam","fm_scoring_fruit","fm_scoring_seed_number","GLOBAL_SLOPE_10MIN","meancarbon","meanpH","meanwatercap","most_common_life_form","seed.length.mean","df","logLik","AICc","delta","weight","rsqs"
"model 1","x","","x","","","x","x","","x","x","","x","",9,-504,1026.9,0,0.02,0.203
"model 2","x","","x","","","x","x","","x","x","","","",8,-505.4,1027.5,0.61,0.01,0.193
"model 3","x","x","x","","","x","x","","x","x","","x","",10,-503.3,1027.6,0.67,0.01,0.208
"model 4","x","","x","","","x","x","","","x","","x","",8,-505.5,1027.7,0.83,0.01,0.192
"model 5","x","x","x","","","x","x","","x","x","","","",9,-504.6,1028.1,1.18,0.01,0.198
"model 6","x","","x","","","x","x","","","","","x","",7,-506.8,1028.1,1.2,0.01,0.183
"model 7","x","","x","","","x","x","","x","","","x","",8,-505.7,1028.1,1.25,0.01,0.19
"model 8","x","","x","","x","x","x","","x","x","","x","",10,-503.7,1028.5,1.59,0.01,0.205
"model 9","x","","x","","","x","x","","x","x","x","x","",10,-503.8,1028.5,1.65,0.01,0.205
"model 10","x","","x","","","x","x","","","x","","","",7,-507,1028.6,1.71,0.01,0.181
"model 11","x","","x","x","","x","x","","x","x","","x","",10,-503.9,1028.7,1.85,0.01,0.204
"model 12","x","","x","","","x","x","","x","x","","x","x",10,-503.9,1028.8,1.94,0.01,0.203
"model 13","x","","x","","","x","x","x","x","x","","x","",10,-503.9,1028.9,2,0.01,0.203
