"","Estimate","Std. Error","sum_of_weight","Pr(>|z|)"
"CHELSA_bio10_11",0.289,2.971,0.176,0.922
"fm_scoring_corolla_diam",-0.006,0.055,0.182,0.913
"meanwatercap",-0.307,0.917,0.26,0.738
"meancarbon",-0.108,0.228,0.345,0.635
"GLOBAL_SLOPE_10MIN",-0.086,0.16,0.377,0.592
"seed.length.mean",0.083,0.129,1,0.52
"depthtobedrock2",0.872,1.337,0.451,0.514
"fm_scoring_seed_number",0.059,0.088,1,0.507
"meanpH",4.253,1.906,0.981,0.026
"CHELSA_bio10_02",1.43,0.502,1,0.004
"most_common_life_formwoody",0.598,0.205,1,0.004
"CHELSA_bio10_17",0.663,0.153,1,0
