"","Estimate","Std. Error","sum_of_weight","Pr(>|z|)"
"GLOBAL_SLOPE_10MIN",0.012,0.216,0.123,0.956
"CHELSA_bio10_17",-0.024,0.185,0.125,0.898
"depthtobedrock2",0.38,1.345,0.189,0.777
"meanpH",-1.345,3.588,0.271,0.708
"meanwatercap",3.326,5.627,0.399,0.554
"fm_scoring_fruitFleshy",0.783,1.175,0.456,0.505
"CHELSA_bio10_11",17.697,25.205,0.483,0.483
"meancarbon",1.161,0.859,0.783,0.176
"seed.length.mean",1.078,0.393,1,0.006
"fm_scoring_corolla_diam",-0.894,0.315,1,0.004
"fm_scoring_seed_number",0.785,0.193,1,0
"CHELSA_bio10_02",5.05,1.1,1,0
