"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"6120",30.1316982530203,1.45540275011761,-7.25878079877639,0.636957576788207,NA,NA,-0.0757981528038485,"+",0.123777435403796,0.105519224928761,0.0730002750222743,-0.428858700575364,NA,-0.391667435898647,NA,12,-378.989416339655,783.443621411705,22.5104638940297,1.58346886584359e-07,0.114
"14340",20.9949195950656,0.704574929437992,-5.68361333150832,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876640351474757,0.0952294211121038,"+",7,-384.46669943972,783.44716034733,22.5140028296547,1.58066944612536e-07,0.07
"8343",57.4842577013908,NA,-11.1092206703026,0.178901638901184,NA,"+",NA,NA,0.0869740454416444,NA,NA,NA,NA,NA,"+",7,-384.469045091717,783.451851651324,22.5186941336488,1.57696609077188e-07,0.07
"12783",98.3655539687629,NA,-16.9380475940867,0.446434767277803,-0.00379129172449941,NA,-0.0506974491281339,"+",0.0604991305299065,0.0265086161514085,NA,NA,NA,-3.27265461325766,"+",11,-380.109979568277,783.453603996366,22.5204464786907,1.57558500154121e-07,0.105
"8284",28.5427807428498,0.883811179220279,-7.66050829811073,NA,1.27478685307003,"+",NA,"+",NA,NA,NA,NA,NA,NA,"+",8,-383.395562529682,783.45471952941,22.5215620117344,1.57470643801444e-07,0.079
"13837",-4.64058812827407,NA,NA,0.421415465069853,0.248710585726047,NA,NA,NA,NA,NA,0.06035129037353,-0.596596747687356,NA,-0.399275814962543,"+",8,-383.396583190845,783.456760851736,22.5236033340603,1.57310001625571e-07,0.079
"8213",-5.37998767831616,NA,NA,0.181464269827133,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"+",5,-386.592621993784,783.457971260296,22.5248137426205,1.57214825742619e-07,0.052
"11330",-16.3119697823516,0.894030049550067,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.189610769161239,1.83929305774064,NA,"+",7,-384.472534041472,783.458829550834,22.5256720331588,1.57147372218626e-07,0.07
"9794",-9.84917005165339,1.14592454817984,NA,NA,NA,NA,NA,"+",NA,NA,0.0941026333516016,0.0846700651635161,NA,NA,"+",7,-384.473465584403,783.460692636697,22.5275351190213,1.57001050857767e-07,0.07
"8205",-10.4014804669818,NA,NA,0.196116418570114,0.958074481167916,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",5,-386.594002433464,783.460732139655,22.5275746219793,1.56997949885434e-07,0.052
"1271",84.3627507184559,NA,-15.6265333645561,0.537108954596254,NA,"+",0.0328887537678126,"+",0.159090519714057,NA,NA,-0.756327083072038,NA,NA,NA,9,-382.315119707312,783.463572747957,22.5304152302813,1.56775123323717e-07,0.087
"8780",24.308464179393,0.950818826416217,-7.15393547238171,NA,1.44634280121301,NA,NA,"+",NA,NA,0.102113753561988,NA,NA,NA,"+",8,-383.400830157222,783.46525478449,22.5320972668143,1.56643328010171e-07,0.078
"4592",23.0045234136314,1.59795719952655,-5.79331299912741,0.581293928799549,-0.123586800830386,NA,-0.146777527236877,"+",0.155709284464716,0.0691216533870196,NA,NA,NA,-1.21604159021553,NA,11,-380.118030251319,783.469705362451,22.5365478447754,1.56295138892855e-07,0.105
"1335",83.4221326323908,NA,-15.3384046613894,0.484325170465185,NA,"+",-0.0119204563613694,NA,NA,0.131563153984108,NA,-0.798754109328638,NA,NA,NA,8,-383.40348254649,783.470559563027,22.537402045351,1.5622839944729e-07,0.078
"5744",28.475695293267,1.41575659983349,-7.00336796974197,0.637926626943911,0.12156714319746,NA,-0.0874376075830111,"+",NA,NA,0.0848421970476709,-0.409217207027914,NA,-0.367426842052275,NA,11,-380.118559495424,783.470763850661,22.5376063329858,1.5621244249715e-07,0.105
"11289",-30.8079670381898,NA,NA,NA,1.79245014635632,"+",NA,NA,NA,NA,NA,0.189187798254409,4.01017649986622,NA,"+",7,-384.4793083853,783.472378238491,22.5392207208151,1.56086399641525e-07,0.07
"10338",-14.2068762008856,0.789529712540271,NA,NA,NA,NA,-0.138041198574281,"+",NA,NA,NA,NA,1.58395074139765,NA,"+",7,-384.479331069064,783.472423606019,22.5392660883431,1.56082859054633e-07,0.07
"13653",-3.80260232735766,NA,NA,0.468457366685111,NA,"+",NA,"+",NA,0.0435550161156148,NA,-0.552104171606878,NA,-0.399597949037167,"+",9,-382.321010582989,783.475354499311,22.5421969816359,1.55854295467043e-07,0.087
"10881",-16.7802243793575,NA,NA,NA,NA,NA,NA,NA,0.077508465879698,NA,0.0774510260511854,NA,2.9504068053277,NA,"+",6,-385.546893472912,783.47734858966,22.5441910719841,1.55698979135455e-07,0.061
"11017",-27.1274708716308,NA,NA,NA,1.52469882256374,NA,NA,NA,NA,0.144751733792801,0.110926772895296,NA,3.51678191028848,NA,"+",7,-384.482304205415,783.478369878719,22.5452123610439,1.55619492599854e-07,0.07
"11028",15.7267923093762,0.743777140429843,-5.31387709593581,NA,NA,"+",NA,NA,NA,0.140470757044778,0.124088378848533,NA,1.53894939395709,NA,"+",9,-382.322530335976,783.478394005285,22.545236487609,1.55617615329267e-07,0.087
"10803",27.6509767662627,NA,-7.52243696270953,NA,NA,"+",-0.190064458279508,NA,NA,NA,0.11632473138685,NA,2.47701948225107,NA,"+",8,-383.407729204249,783.479052878544,22.545895360868,1.55566357630128e-07,0.078
"9244",27.7408224685874,0.886550787937567,-7.51192528255535,NA,1.23390961557658,"+",NA,NA,NA,NA,NA,0.038325097778212,NA,NA,"+",8,-383.40900788655,783.481610243146,22.54845272547,1.55367564805513e-07,0.078
"5086",-13.2528531934969,1.80790338083413,NA,0.55442402939924,0.255659730336744,"+",NA,"+",0.130138517106173,0.0855436346151916,0.0672324667619895,NA,NA,-1.03510649056276,NA,11,-380.124980665452,783.483606190717,22.5504486730413,1.55212589392265e-07,0.105
"8159",-5.75831123651574,NA,-5.61230476332861,0.601821117097955,1.52550511161879,"+",NA,"+",0.0941977496205623,0.152278031483182,0.0876954557537831,-0.432216556429873,5.87219035619784,-0.0263193005506253,NA,13,-377.883587943825,783.484157019725,22.5509995020496,1.55169847480055e-07,0.122
"10223",81.038087274792,NA,-15.5428353181361,0.51259039397799,0.496004649219086,NA,0.0340537701607709,"+",0.0442958824041054,0.0612931804882339,0.0601615605915969,-0.751872457056947,NA,NA,"+",12,-379.009917315829,783.484623364051,22.5514658463759,1.55133670408974e-07,0.114
"8143",-10.2619057847676,NA,-4.92620651685901,0.605102141499461,1.61201735068555,NA,NA,"+",0.101732591569529,0.149226445327643,0.069514933342168,-0.384194297989831,5.88801149406936,-0.00277681433848187,NA,12,-379.010318248136,783.485425228667,22.5522677109916,1.55071484775419e-07,0.114
