"(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","fm_scoring_corolla_diam","fm_scoring_fruit","fm_scoring_seed_number","GLOBAL_SLOPE_10MIN","meancarbon","meanpH","meanwatercap","most_common_life_form","seed.length.mean","df","logLik","AICc","delta","weight"
-44.7356365928777,1.40680522622934,NA,0.655067394241623,2.25481413428226,NA,NA,NA,NA,NA,4.85068530105094,NA,"+",NA,7,-372.058271228353,758.635060975224,0,0.0194525381809545
-30.8365698269029,1.44641361724808,NA,0.663742322606043,NA,NA,NA,NA,-0.276783786225182,NA,4.23243986570015,NA,"+",NA,7,-372.236473564365,758.991465647249,0.356404672024269,0.0162773606187213
-26.5872785230152,1.37356148223754,NA,0.723118717736237,NA,NA,NA,NA,NA,-0.381909764613754,3.56944268898585,NA,"+",NA,7,-372.511229381067,759.540977280653,0.905916305428377,0.01236684877492
-39.9125011929043,1.35095770002897,NA,0.726413693742187,1.85377501556774,NA,NA,NA,NA,-0.27348157859881,4.393817240764,NA,"+",NA,8,-371.511856572893,759.693480587646,1.05841961242163,0.0114589118305613
-29.5512236126409,1.46633740092571,NA,0.613049221828079,NA,NA,NA,NA,NA,NA,3.99488768639568,NA,"+",NA,6,-373.663307897064,759.713712568321,1.0786515930962,0.0113435779310535
-45.1943803785454,1.40024670736447,NA,0.649338959860149,2.22903584699492,NA,"+",NA,NA,NA,4.99426955562123,NA,"+",NA,8,-371.53487542585,759.73951829356,1.10445731833602,0.0111981535165743
-41.2379888952941,1.41091951596634,NA,0.675785826478041,1.6123436428,NA,NA,NA,-0.178491348953552,NA,4.76003230457576,NA,"+",NA,8,-371.590423186791,759.850613815442,1.21555284021747,0.0105930819219467
-31.5174588777578,1.43857194672908,NA,0.658642106861388,NA,NA,"+",NA,-0.279268175416697,NA,4.39691710362625,NA,"+",NA,8,-371.650663345588,759.971094133037,1.33603315781306,0.00997379327359131
-24.450030632152,1.41513721849578,NA,0.685731232820028,NA,NA,NA,NA,NA,NA,3.86722103950525,-1.69211691268384,"+",NA,7,-372.800126151458,760.118770821434,1.48370984620999,0.00926387693182156
-39.2805216199757,1.38330285774938,NA,0.694695945093824,1.92234143192045,NA,NA,NA,NA,NA,4.64400727214803,-1.06683615731672,"+",NA,8,-371.746256790537,760.162281022935,1.5272200477109,0.00906451676882187
