"","Estimate","Std. Error","sum_of_weight","Pr(>|z|)"
"CHELSA_bio10_02",0.003,0.219,0.07,0.988
"seed.length.mean",0.001,0.049,0.07,0.988
"GLOBAL_SLOPE_10MIN",-0.004,0.072,0.071,0.96
"depthtobedrock2",-0.195,1.295,0.103,0.88
"CHELSA_bio10_11",0.879,4.924,0.129,0.858
"fm_scoring_corolla_diam",-0.012,0.065,0.13,0.852
"fm_scoring_seed_number",0.027,0.104,0.182,0.799
"meanwatercap",0.558,1.528,0.272,0.715
"fm_scoring_fruitFleshy",0.746,0.511,0.846,0.144
"meancarbon",-1.152,0.5,1,0.021
"most_common_life_formwoody",0.637,0.223,1,0.004
"CHELSA_bio10_17",0.893,0.225,1,0
"meanpH",12.206,2.887,1,0
