tip,to_drop
Melastomataceae_Antherotoma_phaeotricha,x
Melastomataceae_Appendicularia_thymifolia,keep
Melastomataceae_Arthrostemma_ciliatum,keep
Melastomataceae_Astrocalyx_calycina,keep
Melastomataceae_Astronidium_pickeringii,keep
Melastomataceae_Axinaea_floribunda,keep
Melastomataceae_Barthea_barthei,keep
Melastomataceae_Beccarianthus_pulcherrimus,keep
Melastomataceae_Behuria_glutinosa,keep
Melastomataceae_Bellucia_pentamera,keep
Melastomataceae_Bertolonia_paranaensis,keep
Melastomataceae_Blakea_multiflora,x
Melastomataceae_Blakea_schlimii,keep
Melastomataceae_Blastus_borneensis,keep
Melastomataceae_Boyania_ayangannae,keep
Melastomataceae_Boyania_colombiana,x
Melastomataceae_Brachyotum_quinquinerve,keep
Melastomataceae_Brasilianthus_carajensis,keep
Melastomataceae_Bredia_okinawensis,keep
Melastomataceae_Bredia_sinensis,x
Melastomataceae_Bucquetia_glutinosa,keep
Melastomataceae_Calvoa_crassinoda,keep
Melastomataceae_Calvoa_monticola,x
Melastomataceae_Calycogonium_revolutum,x
Melastomataceae_Calycogonium_rosmarinifolium,keep
Melastomataceae_Cambessedesia_eichleri,keep
Melastomataceae_Castratella_piloselloides,keep
Melastomataceae_Catocoryne_linnaeoides,keep
Melastomataceae_Centradenia_floribunda,keep
Melastomataceae_Centronia_laurifolia,keep
Melastomataceae_Chaetolepis_lindeniana,keep
Melastomataceae_Chaetostoma_pungens,keep
Melastomataceae_Chalybea_macrocarpa,keep
Melastomataceae_Charianthus_purpureus,keep
Melastomataceae_Cincinnobotrys_felicis,keep
Melastomataceae_Clidemia_hirta,keep
Melastomataceae_Clidemia_rufescens,x
Melastomataceae_Comolia_lythrarioides,keep
Melastomataceae_Conostegia_icosandra,keep
Melastomataceae_Cyphotheca_montana,keep
Melastomataceae_Desmoscelis_villosa,keep
Melastomataceae_Dicellandra_barteri,keep
Melastomataceae_Dichaetanthera_,keep
Melastomataceae_Dicrananthera_hedyotidea,keep
Melastomataceae_Dissochaeta_annulata,keep
Melastomataceae_Dissochaeta_biligulata_Anplectrum,x
Melastomataceae_Dissochaeta_bracteata,x
Melastomataceae_Dissochaeta_celebica_Neodissochaeta,x
Melastomataceae_Dissochaeta_divaricata_Backeria,x
Melastomataceae_Dissotis_multiflora,keep
Melastomataceae_Dolichoura_spiritusanctensis,keep
Melastomataceae_Dyonicha_bojeri,keep
Melastomataceae_Eriocnema_fulva,keep
Melastomataceae_Ernestia_maguirei,keep
Melastomataceae_Ernestia_tenella,x
Melastomataceae_Fordiophyton_strictum,keep
Melastomataceae_Fritzschia_erecta,keep
Melastomataceae_Graffenrieda_cucullata,keep
Melastomataceae_Gravesia_setifera,x
Melastomataceae_Gravesia_vestita,keep
Melastomataceae_Guyonia_tenella,keep
Melastomataceae_Henriettea_martiusii,x
Melastomataceae_Henriettea_squamata,keep
Melastomataceae_Henriettella_aggregata,x
Melastomataceae_Henriettella_tovarensis,keep
Melastomataceae_Heterocentron_elegans,keep
Melastomataceae_Heterotis_rotundifolia,keep
Melastomataceae_Huberia_consimilis,keep
Melastomataceae_Killipia_pedunculata,keep
Melastomataceae_Lavoisiera_imbricata,keep
Melastomataceae_Leandra_australis,keep
Melastomataceae_Leandra_sanguinea,x
Melastomataceae_Leandra_subseriata,x
Melastomataceae_Leiostegia_vernicosa,keep
Melastomataceae_Lijndenia_procteri,keep
Melastomataceae_Lithobium_cordatum,keep
Melastomataceae_Loreya_subandina_Bellucia,keep
Melastomataceae_Loricalepis_duckei,keep
Melastomataceae_Macairea_pachyphylla,keep
Melastomataceae_Macrocentrum_droseroides,keep
Melastomataceae_Macrocentrum_fasciculatum,x
Melastomataceae_Maieta_poeppigii_Clidemia,keep
Melastomataceae_Marcetia_taxifolia,keep
Melastomataceae_Mecranium_haemanthum_Mecranium,keep
Melastomataceae_Medinilla_crassifolia,keep
Melastomataceae_Medinilla_sedifolia,x
Melastomataceae_Medinilla_setigera_Hypenanthe,x
Melastomataceae_Medinilla_stephanostegia,x
Melastomataceae_Melastoma_malabathricum,keep
Melastomataceae_Melastoma_sanguineum,x
Melastomataceae_Melastomastrum_theifolium,keep
Melastomataceae_Memecylon_rheophyticum,keep
Melastomataceae_Meriania_albiflora,keep
Melastomataceae_Meriania_rugosa,x
Melastomataceae_Meriania_urceolata,x
Melastomataceae_Merianthera_bullata,keep
Melastomataceae_Miconia_albicans,keep
Melastomataceae_Miconia_araguensis,x
Melastomataceae_Miconia_centrophora,x
Melastomataceae_Miconia_ciliata,x
Melastomataceae_Miconia_dodecandra,x
Melastomataceae_Miconia_floribunda,x
Melastomataceae_Miconia_ibaguensis,x
Melastomataceae_Miconia_nystroemii,x
Melastomataceae_Miconia_serrulata,x
Melastomataceae_Miconia_setulosa,x
Melastomataceae_Miconia_spennerostachya,x
Melastomataceae_Miconia_uninervis,x
Melastomataceae_Microlepis_oleaefolia,keep
Melastomataceae_Microlicia_cordata,keep
Melastomataceae_Monochaetum_lineatum,keep
Melastomataceae_Monolena_primulaeflora,keep
Melastomataceae_Mouriri_emarginata,x
Melastomataceae_Mouriri_gleasoniana,keep
Melastomataceae_Myriaspora_egensis,keep
Melastomataceae_Necramium_gigantophyllum,keep
Melastomataceae_Nepsera_aquatica,keep
Melastomataceae_Noterophila_bivalvis,keep
Melastomataceae_Ochthephilus_repentinus,keep
Melastomataceae_Opisthocentra_clidemioides,keep
Melastomataceae_Osbeckia_nepalensis,x
Melastomataceae_Osbeckia_stellata,keep
Melastomataceae_Ossaea_amygdaloides,keep
Melastomataceae_Ossaea_boliviensis_Clidemia,x
Melastomataceae_Oxyspora_cordata_Anerincleistus,keep
Melastomataceae_Oxyspora_paniculata,x
Melastomataceae_Pachyanthus_moensis,keep
Melastomataceae_Pachyloma_huberioides,keep
Melastomataceae_Phainantha_laxiflora,keep
Melastomataceae_Phyllagathis_cavaleriei_Allomorphia,x
Melastomataceae_Phyllagathis_elliptica,keep
Melastomataceae_Phyllagathis_fengii_Cyphotheca,x
Melastomataceae_Physeterostemon_gomesii,keep
Melastomataceae_Pilocosta_oerstedii,keep
Melastomataceae_Pleiochiton_blepharodes,keep
Melastomataceae_Pleroma_angustifolium,keep
Melastomataceae_Plethiandra_robusta,keep
Melastomataceae_Potheranthera_pusilla,keep
Melastomataceae_Pseudoernestia_glandulosa,keep
Melastomataceae_Pternandra_azurea_Kibessia,keep
Melastomataceae_Pternandra_cogniauxii_Ewyckia,x
Melastomataceae_Pternandra_multiflora,x
Melastomataceae_Pterogastra_divaricata,keep
Melastomataceae_Pterolepis_glomerata,keep
Melastomataceae_Quipuanthus_epipetricus,keep
Melastomataceae_Rhexia_virginica,keep
Melastomataceae_Rhynchanthera_grandiflora,keep
Melastomataceae_Rousseauxia_dionychoides,x
Melastomataceae_Rousseauxia_madagascariensis,keep
