"","N","Vol","Pos1","Pos2","Pos3","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap"
"Axinandra beccariana.tif",5,0.0245567601674939,-0.504112145687361,7.40832462184411,-0.329201220352194,26.6495464324951,46.7380096435547,27.1904621124268,26.0800022125244,3625.06806640625,25.1910846710205,1299.3708984375,624.530053710938,0.124384324997663,198.476080322266,199.840688705444,49.3843854904175,22.2239919662476
"Axinandra coriacea.tif",17,0.856492933139232,0.204317819456166,6.46339307069703,0.198964808925343,26.321091595818,47.9938700058881,26.8382741142722,25.6842437070959,3151.95479090074,27.5564052918378,1196.30819163603,533.60569673426,0.449363245683558,189.595744413488,95.4729387058931,48.5605387407191,19.4377878132988
"Crypteronia cumingii.tif",18,1.66961803247378,0.210693293739324,5.44759649291652,1.24592766506439,24.7425646252102,41.8599875238207,25.1385985480415,24.105976316664,2804.3878648546,27.3408135837979,1041.57317097982,420.096525404188,1.24096637053622,177.596015259072,76.1514435697485,50.2648448767485,17.1585595872667
"Crypteronia elegans.tif",2,NA,0.175304323854607,6.64003645502652,0.324953587564447,23.3697824478149,58.4999446868896,23.7544708251953,22.8566761016846,3628.05615234375,15.2390208244324,1138.65579223633,552.483139038086,0.586816363036633,193.406858444214,74.158905506134,47.821916103363,17.8054670095444
"Crypteronia griffithii.tif",29,4.14487893217582,0.263562237679257,5.76970247066127,0.232692485809437,26.1897040400012,49.7701280528101,26.7221947374015,25.6385115919442,2877.62344676051,22.4445342359872,1011.1694178088,472.507423137796,0.647291857235391,194.637731880977,89.0213242180046,48.5567378668949,18.6819694645103
"Crypteronia macrophylla.tif",11,0.283666808316495,0.117212842284248,7.8940121045142,0.609576009614236,25.1595323736017,54.7900085449219,25.6907339963046,24.7136528708718,3943.65387517756,19.0995158282193,1320.56476939808,722.66249778054,0.613718513738025,184.56363140453,88.0418089086359,47.8667377125133,18.5478040738539
"Crypteronia paniculata.tif",108,22.4682994525369,1.01753887856662,4.21901902656477,0.799956855374475,25.2208219634162,47.5558407571581,26.373944706387,23.6772267818451,2486.97960804127,56.9642193052504,1139.65569842303,218.925214564359,0.906822611629549,189.114132351345,55.1097536616855,53.387797664713,16.1832713595143
"Dactylocladus stenostachys.tif",23,1.58869560803308,-0.412899861527267,6.37649534128997,-0.227414643009962,26.802487746529,45.7674951967986,27.3578717604927,26.192461843076,3178.11110521399,26.1032532401707,1120.38724683679,511.162459663723,0.314672602563287,199.376474463421,192.778217509173,49.9678454744643,21.8203127867934
