"","N","Vol","Pos1","Pos2","Pos3","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap"
"Acanthella pulchra.tif",11,0.0881948069485236,1.10981898792486,4.38411069845662,0.407880509492802,24.8845497478138,48.8737269314853,25.2126957286488,23.9683605540882,2669.10615678267,61.1506739529696,1253.17408336293,171.702439741655,0.639416697435081,195.654689095237,47.9209064136852,49.1696156588468,15.623846617612
"Acanthella sprucei.tif",87,4.18135375380369,0.934803312026697,5.15650371387642,-0.00554286380417614,24.6610054805361,46.0781122843424,25.3576273863343,23.8040112681773,2928.15187090293,47.8383870618097,1243.39399386,288.58723313781,0.355892452636156,197.748614738727,39.8196181867314,48.3646492684025,16.1532612641652
"Aciotis acuminifolia.tif",288,36.8180249206282,0.777928753663649,4.35139467278196,0.0310559853719912,24.8449701137013,53.1505378617181,25.7019574741522,23.893798061543,2444.2990114424,47.9704457289643,985.859928978814,259.879216131237,0.433053297774879,197.363513476319,37.0855629286832,47.7270017200046,18.2393184999625
"Aciotis annua.tif",80,6.94539566838377,0.647858453180486,4.66781689756953,0.00510673257552851,25.10893253088,47.7297314882278,25.9142142057419,24.2780112981796,2454.56531219482,44.4339362263679,1010.87239494324,299.804531228542,0.422974339220673,196.653563022614,39.623938626051,47.0547937035561,18.5680233031511
"Aciotis circaeifolia.tif",15,0.0712206529149598,0.68551589081385,4.63306981664426,-0.491094990145981,26.1187754313151,48.5794494628906,26.9471809387207,25.6187781016032,2380.48785807292,41.9653394063314,943.404581705729,285.555658976237,0.106864586472511,199.216244761149,31.2828928947449,43.4457897186279,19.1267651240031
"Aciotis indecora.tif",273,27.8794511552391,0.734160264866364,5.10578079791914,0.299803070105417,24.7374635982863,47.1804108252892,25.598985011761,23.8609493695773,2866.4729037442,44.5323925716973,1150.58950470306,317.808105580536,0.592339323845525,195.977353008675,52.8871131781693,49.6720978314187,17.3023432750842
"Aciotis olivieriana.tif",26,6.39278614758489,0.838946343572576,5.04237144435892,0.424636368560182,24.618377832266,53.8864175356351,25.2683552228487,23.6444292802077,2768.88369750977,39.0738173264724,1094.28623375526,348.843250788175,0.729528238352102,196.090818258432,37.9435454423611,48.8563211881197,16.2527250143198
"Aciotis ornata.tif",84,27.1138520513295,0.498516672187435,6.37625094010951,0.984507259046345,24.171201081503,47.7152240389869,24.9256565911429,23.571489572525,3443.83383324033,35.1754669007801,1221.26435488746,498.520635105315,1.06139947665811,192.782640911284,61.2106200853984,49.4162274088178,16.7740944567181
"Aciotis paludosa.tif",57,6.66187153227829,0.692051858312138,2.45859967301627,0.394234390263436,22.2904268565931,58.0027186745091,24.6420410557797,19.5839232729192,1456.85147683662,45.68032672949,612.600968745717,168.357898277149,0.858512428768894,193.225791998077,30.5884609766174,52.8526329408612,17.1040070809816
"Aciotis polystachya.tif",101,32.8420631113211,0.321542064362381,5.75408092503195,0.790771443621561,24.0226507564582,49.3232376174171,24.6460340329916,23.1937159642135,3029.53239456026,30.1353491414892,1069.80697903775,451.798674857262,0.96577013910997,192.981167198408,52.9076503172959,48.3298572408091,18.3911262195889
"Aciotis purpurascens.tif",541,65.7369175137862,0.752475974375605,4.65462899800706,0.407212201986086,24.6348766002549,51.1274687190594,25.4118806042204,23.816967045754,2606.09898616206,42.2895314398182,1027.92831533718,296.550143895881,0.723109901279758,195.130736169445,43.4125910704325,48.9821235823617,17.0874718263865
"Aciotis rubricaulis.tif",233,78.8612372741598,0.518150469211502,4.75460535171368,1.40936527794579,23.320687060704,49.5835745488114,24.1182911754166,22.3387503439776,2787.78404897272,44.3347409948259,1108.94625684222,300.41236088102,1.33084530412128,185.329941565387,64.786016454683,52.6209522378291,17.2283461912507
"Aciotis viscida.tif",27,3.15575651571797,0.307899197684529,5.68484634872283,-0.153973683892029,24.815041648017,44.1771292509856,25.3630279964871,24.121489348235,2861.25581416377,32.4237339584916,1077.59231454355,410.15732715748,0.300955700067182,198.236076920121,44.592567620454,44.5651961785776,19.6496778064304
"Aciotis wurdackiana.tif",1,NA,1.27108310924334,3.7573004319607,-0.38485565926704,26.7000598907471,53.2613525390625,28.3000583648682,25.8739128112793,2047.32653808594,57.7384300231934,955.628845214844,179.183654785156,0.19632650911808,199.994537353516,18.8422558307648,45.6923198699951,16.9594039916992
"Acisanthera alsinaefolia.tif",130,3.55755694515113,0.973228001250002,2.13734355148734,-0.238236248227559,21.4263952401968,77.7937710101788,24.2674476770254,17.6158838638893,1479.1740628756,47.4977203809298,640.694315983699,148.245468315711,0.351731220865622,198.784069941594,25.5185499992126,53.6743252118429,16.7913256999774
"Acisanthera ayangannae.tif",3,NA,0.598951944483485,4.77407897748614,0.745298110691269,23.1298198699951,56.405465443929,24.0631427764893,22.2604586283366,2407.49084472656,34.882609685262,1089.34633382161,359.800140380859,1.02042283614477,196.404941558838,46.5261885325114,49.2194182078044,16.5591209729513
"Acisanthera divaricata.tif",11,0.0801185028508128,1.55888000391248,1.63032156346812,-0.470443423133297,24.1987696560946,79.5216688676314,26.5015680139715,20.9818291230635,1265.96210826527,58.839053327387,596.5212430087,93.8413993662054,0.199947219849987,199.480944893577,19.6412151076577,55.601847041737,15.0768865238536
"Acisanthera hedyotoidea.tif",4,NA,1.45379866539559,2.94585914343258,-0.452053840334299,26.0119190216064,48.8274326324463,27.4619169235229,24.4999752044678,1852.12683105469,60.4884357452393,879.177398681641,113.45655632019,0.188687857240438,199.98295879364,28.2419605255127,53.8951847553253,15.0250636339188
"Acisanthera paraguayensis.tif",16,0.385879892632416,1.14827381755042,2.13283179184512,-0.392101129624623,22.6987651586533,82.7634801864624,26.1452221870422,18.1419493556023,1505.73442840576,40.2124035358429,579.063821792603,171.705003976822,0.255124005547259,197.679470062256,26.5879326313734,55.272271335125,16.3907109498978
"Acisanthera quadrata.tif",241,30.1171984027569,1.17778505424948,3.10099144872112,0.0979611737292458,24.2001924831343,57.3644155605205,25.8474420848229,22.2317605315402,2027.84676832777,56.7845457520228,886.998652161404,157.606091574515,0.496291405266282,195.138195101156,38.1980512577468,55.2618948143712,15.9840202967985
"Acisanthera uniflora.tif",57,10.74850950544,0.815036289926967,4.13645506073362,0.515840977691223,23.6773011558934,50.7732973266066,24.5215906343962,22.8929349330434,2504.00777502227,51.5714565745571,1052.12412623355,215.017271978813,0.755725995711002,194.592978828832,44.2555491673319,51.1334822637993,17.0818743998544
"Acisanthera variabilis.tif",131,5.39676549003278,1.09829597697035,1.89407781906611,0.0156202749935114,21.3189794598645,77.7691528378552,23.6366993998753,18.1520511831036,1417.74891557766,60.7698144111924,673.869852779476,104.030571779222,0.496869839827409,197.723689450562,23.5606176580182,53.2825150671806,16.2816484083656
"Adelobotrys adscendens.tif",188,43.1256898546993,0.492817676671082,5.31631577263197,1.35172410323716,23.7994135288482,46.9295909404755,24.4733158882628,23.0218293261021,3012.38470523915,37.2186661730421,1125.69474727549,369.015806593794,1.3493083347616,187.96879235058,66.8993936853206,51.7836275743255,16.6042152879931
"Adelobotrys antioquiensis.tif",3,NA,0.805470416206581,4.89111177654491,2.53025278540364,24.0659294128418,60.0714899698893,24.6197388966878,23.3110129038493,2901.14998372396,33.0152689615885,1023.93516031901,349.715749104818,2.29133073488871,189.635018666585,36.1823952992757,52.4035310745239,15.7696529229482
"Adelobotrys barbata.tif",25,0.153980158503671,0.294275450058432,6.46718985525165,-0.444787421393226,24.454944229126,39.8226449584961,24.8848518371582,23.7709433746338,3204.94874023437,31.4563194274902,1213.01764648438,493.529915771484,0.0369950283132493,199.83292755127,41.5941218185425,44.7567436218262,19.2140822219849
"Adelobotrys boissieriana.tif",2,NA,0.599723772135591,5.29585482281858,-0.157930600570901,22.8685054779053,58.2617149353027,23.640064239502,22.0031280517578,3017.8876953125,27.6079816818237,1007.48641967773,411.567596435547,0.288024248555303,193.447462081909,45.8384065628052,48.6380953788757,15.6358153820038
"Adelobotrys ciliata.tif",9,0.0255141238971145,1.16273959888116,4.30904883253283,-0.455511071937164,25.9184246063232,45.3563628726535,26.9869810740153,25.1932888031006,2416.44155544705,50.6527519226074,1093.7496609158,205.101628621419,0.134951319131586,199.552923838298,32.2440953784519,47.5166262520684,15.6158735487196
"Adelobotrys duidae.tif",5,0.674519568034006,0.646925583120779,5.5524709103261,1.53571388914921,22.2010898590088,54.6089218139648,22.4213397979736,21.1411640167236,3206.51337890625,47.5315162658691,1393.03154296875,330.577496337891,1.36127092838287,188.164488983154,50.9948816299438,48.0202121734619,15.6104563713074
"Adelobotrys fruticosa.tif",2,NA,0.858641941329048,6.50325216282994,-0.318392512894176,24.4261426925659,42.6303939819336,24.8630676269531,23.8261423110962,3532.56042480469,42.5452041625977,1453.13299560547,402.75651550293,0.0956132779829204,199.95764541626,38.7816395759583,43.9847102165222,15.1960700750351
"Adelobotrys fuscescens.tif",10,0.114496758637109,0.0801951052788067,10.8980946422953,1.04257973733278,25.5617776870728,32.6778867721558,25.9405250549316,25.2092784881592,5898.59885253906,21.3345018386841,1873.2354675293,907.578988647461,0.798865859955549,191.73317451477,125.450066757202,50.9752596855164,17.2713025808334
"Adelobotrys intonsa.tif",3,NA,-0.181105362488203,5.9465547736339,-0.525004580618636,25.0492299397786,45,25.5158971150716,24.2825628916423,2861.00854492188,16.2309459050496,876.849080403646,515.93516031901,0.0478122476488352,199.849866231283,55.2322003046672,46.3606882095337,23.2455255190531
"Adelobotrys klugii.tif",16,0.935520717877599,0.592155246035131,5.96727765886168,0.513298144466584,24.122722864151,58.6445517539978,24.6810928583145,22.8873336315155,3118.12971496582,21.6604499220848,1052.58723640442,525.784097671509,0.806770302355289,193.090662717819,44.274037539959,48.6230262517929,15.6041612625122
"Adelobotrys latifolius.tif",6,0,0.530466977475294,5.6845683644345,0.0962278214438983,24.6420183181763,51.710407892863,25.1753524144491,23.7130715052287,2973.01346842448,27.9488139152527,1014.35920206706,455.070655822754,0.53023545195659,198.190183003743,38.9266483783722,46.8007637659709,17.4743239879608
"Adelobotrys linearifolia.tif",11,0.637247197554533,0.100999355700701,6.82927581901352,-0.26082652138829,24.4441935799339,40.7035130587491,24.998742016879,23.5695011832497,3197.22316672585,24.7047634124756,1172.85611794212,582.836972323331,0.18811798569831,199.677832169966,40.5456402518532,44.4536972045898,20.1681118228219
"Adelobotrys macrantha.tif",6,0.00217939030904864,-0.165129173654511,6.0852097237431,-0.441868569005239,24.9500099817912,44.8693237304688,25.4500074386597,24.1833477020264,2962.00329589844,19.5718153317769,962.360321044922,508.675038655599,0.0636867185433706,199.456649144491,59.4862712224325,46.3791089057922,23.3210087617238
"Adelobotrys macrophylla.tif",13,0.0462535362894237,-0.0425129992491213,6.25858472279404,-0.47073101101767,24.8394217857948,43.3243032602163,25.333741408128,24.0451043935922,2998.33943058894,21.9729040586031,990.152982271635,521.581517146184,0.0627382420576536,199.923245650071,41.8428196540246,43.6725821861854,22.1007350408114
"Adelobotrys marginata.tif",12,0.107226191581682,0.565996515389878,4.58789236566596,-0.527464531271531,25.6597448984782,48.1846567789714,26.3760240872701,25.1532071431478,2374.46931966146,44.2243541081746,957.318730672201,260.843838055929,0.0511381936570009,199.898175557454,28.6443189779917,42.0929004351298,20.2693032423655
"Adelobotrys microcarpus.tif",4,NA,0.352184888563137,4.04252379655396,1.65424576342088,22.7668459415436,60.8696441650391,23.4116325378418,21.3965079784393,2404.98397827148,28.6308155059814,731.440307617188,315.558990478516,1.68884015828371,183.00652217865,53.7404532432556,50.1895093917847,16.4827438592911
"Adelobotrys monticola.tif",10,0.656083729643593,0.5451956951082,4.04845855377211,1.26230377399319,22.2110134124756,57.3784729003906,22.7839372634888,21.4979131698608,2294.34455566406,49.7398290634155,1003.37269897461,260.649920654297,1.31388382315636,187.091330337524,56.4798964500427,49.0562518119812,16.1220728397369
"Adelobotrys permixta.tif",10,0.164778463488386,0.609064010764475,4.3057490371464,0.432961121235056,22.8144899368286,57.7650405883789,23.6697385787964,21.9006277084351,2289.15544433594,37.160546875,933.943572998047,327.115837097168,0.843173286318779,197.17077255249,45.6719307899475,49.076162815094,16.1415782690048
"Adelobotrys rotundifolia.tif",15,2.20231049032306,0.507535545331345,4.44661388731909,-0.0465896377230076,23.9554340362549,52.7999720255534,24.5542591094971,22.7731885274251,2463.58397623698,39.9218391418457,929.123612467448,287.283506774902,0.390489080362022,195.411946105957,40.5979154904683,46.6634962081909,18.5417680581411
"Adelobotrys ruokolainenii.tif",1,NA,0.0221116791920363,5.69167642691731,-0.529494903468531,24.9999847412109,45,25.6476802825928,24.4476795196533,2736.89526367188,17.9997005462646,856.1171875,475.429077148438,0.0923600867390633,199.984962463379,36.7097253799438,44.2828950881958,21.7801384925842
"Adelobotrys scandens.tif",35,1.59683990194051,0.415203388782629,6.05741342130117,-0.236285181705573,24.8139914376395,45.6036936078753,25.4346820831299,23.9612699236189,3078.28534807478,30.1736351285662,1121.54266619001,458.610297938756,0.229649756795594,199.262254333496,38.8535054479327,45.0114381517683,18.8310378006526
"Adelobotrys spruceana.tif",7,0.379108539466641,0.0839824327291905,6.66936671775702,-0.149700311226303,24.463294165475,40.4659069606236,24.9850556509835,23.6024178096226,3181.44890485491,23.5842729296003,1123.20342145647,557.509974888393,0.283532508781978,198.75430897304,38.1334524835859,44.1133529118129,20.2461742673601
