"","N","Vol","Pos1","Pos2","Pos3","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap"
"Callisthene castellanosii.tif",5,0.0123335643924523,0.612726620411037,2.06638799522673,-0.0262238750098776,19.2750591278076,79.0092834472656,22.2846046447754,15.3402862548828,1346.75581054687,40.3659255981445,591.954425048828,166.239918518066,0.547858464717865,198.326346588135,23.9452807426453,52.0325717926025,17.3422264575958
"Callisthene erythroclada.tif",4,NA,1.11789344444022,1.68534130279132,0.331220781649051,20.817880153656,77.250171661377,22.7297358512878,17.8732371330261,1428.40911865234,86.5230293273926,819.249313354492,28.7117824554443,0.555447272956371,195.76864528656,29.9990669488907,52.9843320846558,17.7062067985535
"Callisthene fasciculata.tif",324,4.68786772703566,1.72030516682651,1.63527598645936,-0.172257535746783,25.2665091973764,75.3251506310922,27.0498377423228,23.3619749634354,1342.48978659547,77.4243989314562,715.269084035614,32.4922091394295,0.308332006524627,199.054386986627,18.8046863678797,54.9848997180845,16.1474854747454
"Callisthene hassleri.tif",25,0.940755706072023,1.35646431472727,1.52064434244054,-0.117830975128704,23.8591105651855,77.667746887207,25.8281512451172,20.8619239807129,1230.53736083984,61.6422055053711,588.969576416016,67.4705877113342,0.385766383633018,195.024162750244,21.9402862644196,55.2337623596191,16.5366413211823
"Callisthene kuhlmannii.tif",2,NA,0.16742608249143,3.25210611513685,0.505792053530051,18.689432144165,69.7619132995605,22.2786636352539,15.3301663398743,1832.16943359375,32.8909893035889,691.851348876953,282.941528320312,0.869426354765892,193.680816650391,32.411239862442,49.7852425575256,18.8851318359375
"Callisthene major.tif",154,2.30138687437673,1.5222076944453,1.52655079636032,0.0871985935405381,22.9804273580576,78.5953881895387,24.7381279685281,20.8081616612224,1351.38192194158,80.6705305916922,737.441820218966,24.9737645356686,0.469517250581608,197.722730587055,21.2016870712305,54.287777157573,15.9606372737265
"Callisthene microphylla.tif",44,1.8330194727862,1.70754219912346,1.05045718557115,-0.115860040634324,24.5143765102733,77.9178716486151,26.4440744139931,22.5852657231418,1001.91416098855,86.4468528574163,579.811306346547,19.0618190711195,0.386742594905875,198.221177361228,19.5207920670509,55.1344655427066,15.7372890819203
"Callisthene minor.tif",82,4.07049763601887,1.42048120361098,1.51470129855243,-0.0670447180173948,23.4285765392024,77.0595288625578,25.2929990349746,21.105266175619,1231.47378688905,71.273142000524,640.856967832984,56.9860873425879,0.408627349247293,197.127632048072,20.5445673582031,54.6813259473661,16.3216232875498
"Callisthene mollissima.tif",30,0.268386628880385,1.83008244143677,1.84717826238315,0.0754272220905133,25.5793268839518,74.0518603006999,27.7255259831746,24.4450672785441,1509.31924641927,84.1795059204102,833.359765625,10.3057004610697,0.428418018048008,198.664831034342,19.8297394752502,54.4352242151896,16.3744532505671
"Erisma arietinum.tif",5,0,0.828048308741026,2.36525145357136,-0.530568022982575,24.0868564605713,50.5922325134277,25.7868583679199,21.8373012542725,1271.01623535156,39.4623056411743,500.153839111328,183.735223007202,0.292603945732117,197.667733001709,25.9831978321075,53.6865222930908,16.442937707901
"Erisma bicolor.tif",35,1.04928010659293,0.375603044049479,5.40670349020444,-0.348845930046965,25.1636601039342,46.9763125828334,25.8008031572614,24.3931119101388,2732.65608607701,33.971072605678,1020.34517473493,386.727857971191,0.160822508430907,199.515977587019,38.8741881098066,44.5694372722081,20.2349284308297
"Erisma blancoa.tif",4,NA,0.416401829044004,4.52734674492453,1.0388095393734,25.0803852081299,45.6303796768188,25.4684534072876,24.368453502655,2377.5224609375,39.3266649246216,929.774917602539,295.216491699219,1.22382489684969,189.571528434753,54.6521739959717,47.2467031478882,18.2283300757408
"Erisma bracteosum.tif",5,0.0144111441433027,0.568650286024996,4.7869677378798,-0.501335796235143,26.0443195343018,48.399934387207,26.8634048461914,25.5495468139648,2438.29038085938,40.4341815948486,964.756433105469,288.602429199219,0.0614873580634594,199.638957214355,25.8045860290527,42.2818286895752,20.5683074951172
"Erisma calcaratum.tif",47,0.669899365064633,0.148852859249302,5.43674296588994,-0.463774287505456,25.5079930082281,44.2441812880496,26.1897627647887,24.782823927859,2651.16360019116,31.9999165230609,973.995274320562,397.454063577855,0.0622412354804258,199.343621274258,44.4883943009884,44.2059155727955,22.3052819941906
"Erisma floribundum.tif",21,0.320469838416133,1.08098832492193,3.8481438272143,-0.413411643170526,25.3734807514009,55.8219658987863,26.4697431836809,24.6188268207368,2328.57570684524,56.1861284346808,1017.41367303757,148.520852588472,0.0936749161088041,199.422268640427,27.9152837253752,46.064564704895,17.8303354013534
"Erisma fuscum.tif",8,0.015023262692361,0.849267815452198,4.16924950551864,-0.498076553252895,25.7461638450623,51.7443337440491,26.5896298885345,25.2369284629822,2316.80993652344,51.0482125282288,986.978378295898,186.456192970276,0.0620724117034115,199.734812259674,25.1345430612564,42.6620668172836,18.998262822628
"Erisma japura.tif",24,0.151484097737889,0.140423233227808,6.944040995334,-0.390454944823202,24.4167938232422,39.5108639399211,24.9014104207357,23.6064737637838,3333.87594604492,24.9176876544952,1207.58340199788,574.352700551351,0.066636131106255,199.712653160095,37.8560811479886,44.3829730351766,20.0289940834045
"Erisma laurifolium.tif",17,0.0668564771422932,0.362224584005563,6.58990656567547,-0.390291530920354,24.3324792525348,40.5474061404958,24.792843874763,23.5603500814999,3357.19301470588,32.4713049495921,1258.94128058938,492.850537468405,0.0513272365993437,199.521654914407,42.1501015494852,45.2325210010304,18.7281641960144
"Erisma micranthum.tif",9,0.142926491437016,0.350527171683602,5.93234220233862,-0.446787823479332,24.650231467353,40.7537307739258,25.1309159596761,23.9139908684625,3015.75800238715,32.1555133395725,1131.80849202474,424.235504150391,0.0670141858152217,199.508900960286,39.2350259357029,44.8633270263672,19.2777353392707
"Erisma nitidum.tif",5,0.00216882360526045,1.21705325251794,5.84513069179643,-0.210605915919976,25.9408706665039,44.007470703125,26.9599727630615,25.3260852813721,3711.63842773438,49.461287689209,1439.2,233.200985717773,0.126222218573093,199.894783782959,44.2971950531006,46.8704957962036,15.6946779727936
"Erisma splendens.tif",14,0.0552390219328658,0.493682918000435,5.88753090333098,-0.433453348103722,25.1806573867798,44.1054910932268,25.8697799955096,24.4701091221401,2952.24829101562,32.997716494969,1115.42784336635,435.284950256348,0.0845215166918933,199.605934960502,33.8151756695339,44.7585050719125,18.9020048209599
"Erisma tessmannii.tif",1,NA,-0.0456575397315916,5.80225376100594,-0.529766949107191,25.0999813079834,45,25.5999603271484,24.3738307952881,2799.52709960938,16,870.409545898438,493.831939697266,0.0756355151534081,199.792301177979,46.397243976593,45.7676782608032,22.1560969352722
"Erisma uncinatum.tif",122,19.4335232316811,0.956186692940447,4.49989743229106,0.15352889109892,24.7426442787295,54.3813196401127,25.6356527140883,23.7699459576216,2564.11157226562,48.7811690471211,1069.59864682057,264.534409640265,0.52553355202201,197.581146990667,35.8598570452362,48.1669205446712,16.6142126263165
"Erismadelphus exsul.tif",33,1.45245429898949,1.08759875847542,3.69251183648361,0.0367271833032459,24.5363406557025,41.0778709758412,25.6118571541526,23.3277876882842,2399.81415719697,65.031367446437,1173.13408129143,55.6918778852983,0.426517162641341,197.660259940407,42.8634470737342,48.5793975483287,16.177321173928
"Erismadelphus sessilis.tif",4,NA,1.06501647852624,2.94330728906341,-0.388044726822386,22.6109404563904,47.380542755127,23.5674715042114,21.7609400749207,1905.41799926758,59.1309108734131,927.334655761719,65.2288064956665,0.287411885336041,198.217806816101,32.8438789844513,46.9960794448853,13.3854928016663
"Korupodendron songweanum.tif",3,NA,0.885523023977272,4.11014394802318,1.05459436402823,23.9927221934001,44.4201787312826,24.8840128580729,23.0927022298177,2627.04296875,62.7387504577637,1393.48616536458,40.7264747619629,1.04073550303777,189.327276865641,60.4977124532064,47.0281232198079,16.7496531804403
"Qualea acuminata.tif",81,2.49736407977143,0.44795013603797,5.87123808764475,-0.379326460449296,24.9606540350266,43.7294964260525,25.6218507083846,24.1414358586441,2950.23327335311,36.0593545466294,1131.91309045862,433.439443517614,0.101502947877219,199.687426154996,37.6247778115449,45.3524246098083,19.3304748240812
"Qualea albiflora.tif",24,0.178266228761021,1.02626845265793,4.35841491877503,-0.431862073321572,26.2968674500783,50.1103185017904,27.4305815696716,25.5709697405497,2386.40090433756,53.0648674964905,1063.9654006958,214.176038106283,0.0913218578013281,199.811771392822,27.9553982416789,45.3735701243083,18.1848879059156
"Qualea amapaensis.tif",1,NA,1.55022016187387,3.66398300855128,-0.532058638801495,25.5999717712402,58,27.347713470459,24.5999717712402,2217.56176757812,51.73876953125,1044.41064453125,141.908432006836,0.13389453291893,199.995536804199,22.1029224395752,46.9442100524902,13.1884028911591
"Qualea amoena.tif",15,2.29370239500317,0.538419628915329,4.41092527031981,-0.214962107108144,25.0672691345215,50.5333239237467,25.7771058400472,24.1956745147705,2480.55098470052,44.3271701176961,930.624739583333,251.103777821859,0.252432579050461,198.046082051595,42.0621834437052,46.0646137873332,20.101996866862
"Qualea brevipedicellata.tif",12,0.481895648240639,0.581598713276923,4.76473729819604,-0.25924132485709,25.8138546943665,46.9782101313273,26.6345016161601,25.1928342183431,2366.18638102214,39.8114245732625,947.742167154948,321.079725901286,0.280834945384413,197.801362037659,35.1614942948023,44.2675720055898,19.0837790369987
