genera,most_common_life_form,note_from_taxonomist,pilot_scoring_life_hist,pilot_scoring_growth_form,Note:
Adenaria,Nanophanerophyte or phanerophyte,"monotypic, =Pehria? Functional dioecious",perennial,shrubs,
Ammannia,Therophyte,"herbs, incl Nesaea, Hionanthera",annual,herbs,
Capuronia,Phanerophyte,"small shrub, dioecious",perennial,trees,unmatch taxonomist and WCVP
Crenea,Chamaephyte or nanophanerophyte,nested in Ammannnia,perennial,shrubs,
Cuphea,Chamaephyte,largest genus of family,perennial,shrubs,
Decodon,Helophyte,monotypic small shrub,perennial,herbs,unmatch taxonomist and WCVP
Didiplis,Hydrochamaephyte,monotypic aquatic herb,perennial,shrubs,unmatch taxonomist and WCVP
Diplusodon,Chamaephyte,small shrub,perennial,shrubs,
Duabanga,Phanerophyte,large trees,perennial,trees,
Galpinia,Phanerophyte,"monotypic, small tree",perennial,trees,
Ginoria,Nanophanerophyte,medium trees and shrubs,perennial,shrubs,
Heimia,Nanophanerophyte,shrub,perennial,shrubs,
Koehneria,NA,monotypic shrub,perennial,shrubs,used taxonomist
Lafoensia,Phanerophyte,Large trees and shrubs,perennial,trees,
Lagerstroemia,Phanerophyte,Large trees and shrubs,perennial,trees,
Lawsonia,Nanophanerophyte or phanerophyte,monotypic shrub,perennial,shrubs,
Lourtella,Nanophanerophyte,monotypic small shrub,perennial,shrubs,
Lythrum,Therophyte,"incl. Peplis, herb-small shrub",annual,herbs,
Pehria,Phanerophyte,shrub-small tree,perennial,trees,unmatch taxonomist and WCVP
Pemphis,Nanophanerophyte or phanerophyte,monotypic shrub,perennial,shrubs,
Physocalymma,Phanerophyte,"monotypic, large trees",perennial,trees,
Pleurophora,Chamaephyte,suffrutescent herbs,perennial,shrubs,unmatch taxonomist and WCVP
Punica,Phanerophyte,shrub-small tree,perennial,trees,
Rotala,Therophyte,herbs,annual,herbs,
Sonneratia,Phanerophyte,medium trees,perennial,trees,
Tetrataxis,Phanerophyte,small tree,perennial,trees,
Trapa,Hydrotherophyte,aquatic herb,annual,herbs,
Woodfordia,Nanophanerophyte or phanerophyte,small shrub,perennial,shrubs,
