"genus","age","n_species"
"Pileanthus",21.027,10
"Pilidiostigma",48.372,6
"Pilocosta",12,5
"Pimenta",40.79,28
"Plagiopetalum",NA,7
"Pleiochiton",23.301,NA
"Pleroma",10.737,162
"Plethiandra",21.239,8
"Pleurocalyptus",21.925,2
"Pleurophora",28.011,8
"Plinia",32.829,80
"Poikilogyne",NA,32
"Poilannammia",NA,4
"Poteranthera",NA,5
"Potheranthera",9.61599999999999,NA
"Preussiella",NA,2
"Pseudanamomis",32.161,NA
"Pseudocaryophyllus",28.339,NA
"Pseudodissochaeta",NA,6
"Pseudoernestia",20.187,2
"Psidium",39.164,103
"Psiloxylon",22.878,1
"Pternandra",66.219,21
"Pterogastra",18.89,4
"Pterolepis",18.89,16
"Punica",40.485,2
"Purpureostemon",39.957,1
"Qualea",21.366,66
"Quipuanthus",29.012,1
"Rhexia",22.165,15
"Rhodamnia",58.486,43
"Rhodomyrtus",41.785,28
"Rhynchanthera",18.037,19
"Rhynchocalyx",31.381,1
"Rinzia",37.544,21
"Ristantia",49.049,3
"Rostranthera",NA,1
"Rotala",26.476,76
"Rousseauxia",9.34799999999998,17
"Ruizterania",NA,16
"Rupestrea",38.151,NA
"Salpinga",34.536,14
"Salvertia",14.145,1
"Sandemania",11.749,1
"Sannantha",27.076,16
"Sarcopyramis",26.062,4
"Scholtzia",18.216,43
"Schwackaea",12,1
"Scorpiothyrsus",NA,3
"Seorsus",27.619,4
"Siphanthera",19.329,19
"Siphoneugena",17.444,14
"Sonderothamnus",10.186,NA
"Sonerila",26.062,190
"Sonneratia",31.902,9
"Spathandra",27.033,3
"Sphaerantia",45.956,2
"Sporoxeia",NA,7
"Stanmarkia",NA,2
"Stenodon",5.58399999999999,2
"Stenostegia",37.726,1
"Stockwellia",29.21,1
"Strephonema",100.245,4
"Stussenia",NA,1
"Stylapterus",9.69999999999999,NA
"Styrophyton",12.732,1
"Svitramia",9.09399999999999,NA
"Syncarpia",72.544,5
"Syzygium",70.845,1233
"Taraxia",19.629,4
"Tashiroea",NA,12
"Tateanthus",NA,1
"Taxandria",20.976,13
"Temu",NA,1
"Terminalia",59.794,319
"Tessmannianthus",37.138,7
"Tetrapora",17.416,5
"Tetrapteron",11.2,2
"Tetrataxis",19.473,1
"Tetrazygia",7.33699999999999,NA
"Thaleropia",60.429,3
"Thryptomene",5.63699999999999,49
"Tibouchina",21.459,46
"Tibouchinopsis",12.773,NA
"Tigridiopalma",27.347,1
"Tococa",17.292,NA
"Trapa",31.902,16
"Trembleya",5.20599999999999,17
"Triolena",30.215,29
"Triplarina",25.163,9
"Tristania",NA,1
"Tristaniopsis",61.792,53
"Tristemma",9.39899999999999,25
"Tryssophyton",23.702,2
"Ugni",35.952,4
"Uromyrtus",56.845,22
"Verticordia",17.733,170
"Vietsenia",NA,4
"Vochysia",14.145,160
"Votomita",21.928,10
"Warneckea",3.94099999999999,49
"Welchiodendron",42.483,1
"Whiteodendron",46.478,1
"Woodfordia",15.97,2
"Wurdastom",18.079,8
"Xanthomyrtus",64.738,28
"Xanthostemon",21.925,49
"Xylonagra",NA,3
