"genus","age","n_species"
"Acanthella",26.991,NA
"Acca",NA,2
"Accara",40.582,1
"Aciotis",17.399,15
"Acisanthera",13.399,14
"Actinodium",16.066,1
"Adelobotrys",23.735,31
"Adenaria",11.847,1
"Agonis",32.903,7
"Algrizea",40.224,2
"Allomaieta",18.079,9
"Allomorphia",12.732,NA
"Alloneuron",25.583,5
"Allosyncarpia",41.623,1
"Aluta",5.63699999999999,10
"Alzatea",39.364,3
"Ammannia",17.707,135
"Amomyrtella",45.909,2
"Amomyrtus",45.794,2
"Amphiblemma",26.47,17
"Amphorocalyx",7.78499999999998,5
"Anaectocalyx",11.747,NA
"Anaheterotis",NA,1
"Andesanthus",NA,11
"Anerincleistus",NA,40
"Angophora",16.893,16
"Antherotoma",12.268,10
"Anticoryne",NA,3
"Appendicularia",13.186,3
"Archirhodomyrtus",55.165,5
"Argyrella",NA,8
"Arillastrum",60.12,1
"Arthrostemma",28.708,4
"Aschistanthera",NA,1
"Astartea",18.209,25
"Astereomyrtus",36.296,NA
"Asteromyrtus",NA,7
"Astrocalyx",21.576,1
"Astronia",NA,70
"Astronidium",21.576,71
"Astus",25.163,4
"Austromyrtus",52.274,5
"Axinaea",21.625,41
"Axinandra",64.055,4
"Babingtonia",18.216,2
"Backhousia",68.477,13
"Baeckea",NA,27
"Balaustion",29.477,1
"Barongia",61.792,1
"Barthea",27.125,3
"Basisperma",45.956,1
"Beaufortia",24.159,NA
"Beccarianthus",23.435,9
"Behuria",8.14299999999999,NA
"Bellucia",15.628,22
"Bertolonia",50.442,34
"Bisglaziovia",NA,1
"Blakea",31.882,196
"Blastus",23.93,11
"Blepharocalyx",40.964,3
"Boerlagea",NA,1
"Boyania",19.879,2
"Brachyotum",7.24699999999999,55
"Brachysiphon",9.69999999999999,NA
"Brasilianthus",14.337,1
"Bredia",29.807,25
"Buchenavia",59.794,NA
"Bucquetia",9.877,3
"Cailliella",NA,1
"Callisthene",21.366,10
"Calvoa",27.836,22
"Calycogonium",7.33699999999999,NA
"Calycolpus",40.582,17
"Calycorectes",NA,18
"Calytrix",30.661,95
"Cambessedesia",31.103,29
"Camissonia",16.365,21
"Camissoniopsis",11.2,20
"Campomanesia",NA,51
"Capuronia",23.283,1
"Castratella",9.877,2
"Catanthera",NA,19
"Catocoryne",9.86699999999999,NA
"Centradenia",16.102,8
"Centradeniastrum",NA,2
"Centronia",22.625,5
"Chaetogastra",NA,115
"Chaetolepis",5.63799999999999,14
"Chaetostoma",5.72299999999998,8
"Chalybea",31.882,11
"Chamaenerion",21.041,NA
"Chamelaucium",21.027,23
"Chamguava",36.864,5
"Charianthus",8.68699999999998,NA
"Cheyniana",29.477,2
"Chylismia",17.141,41
"Chylismiella",NA,1
"Cincinnobotrys",28.768,9
"Circaea",NA,24
"Clarkia",16.552,74
"Clidemia",12.301,NA
"Cloezia",60.429,9
"Combretum",70.977,325
"Comolia",5.29199999999999,14
"Comoliopsis",NA,3
"Conocarpus",77.75,2
"Conostegia",12.746,NA
"Conothamnus",24.159,NA
"Corymbia",16.893,110
"Corynanthera",28.11,1
"Crenea",17.707,2
"Creochiton",NA,15
"Crypteronia",NA,9
"Cuphea",28.011,294
"Curitiba",40.79,1
"Cyathostemon",20.181,7
"Cyphotheca",19.879,1
"Dactylocladus",NA,1
"Dansiea",17.747,2
"Darwinia",16.066,54
"Decaspermum",56.183,38
"Decodon",51.031,1
"Derosiphia",NA,1
"Desmoscelis",20.537,2
"Dicellandra",26.47,7
"Dichaetanthera",9.39899999999999,43
"Dicrananthera",5.29199999999999,NA
"Didiplis",26.476,1
"Dinophora",NA,3
"Dionycha",NA,3
"Dionychastrum",NA,1
"Diplusodon",53.295,114
"Dissochaeta",45.349,58
"Dissotidendron",NA,19
"Dissotis",12.268,63
"Dolichoura",14.569,NA
"Driessenia",NA,21
"Duabanga",38.103,3
"Dupineta",NA,5
"Dyonicha",7.78499999999998,NA
"Endonema",13.976,NA
"Enekbatus",38.88,10
"Epilobium",21.041,306
"Eremothera",17.391,13
"Ericomyrtus",28.273,4
"Eriocnema",15.992,2
"Erisma",27.828,27
"Erismadelphus",18.837,4
"Ernestia",14.337,15
"Eucalyptopsis",29.21,2
"Eucalyptus",61.946,1096
"Eugenia",32.161,1212
"Eulobus",8.04399999999998,4
"Euryomyrtus",37.544,9
"Feijoa",45.021,1
"Feliciadamia",NA,1
"Fordiophyton",22.741,15
"Fritzschia",13.862,12
"Fuchsia",50.768,129
"Galpinia",23.283,1
"Gayophytum",16.552,11
"Getonia",55.379,1
"Ginoria",19.473,15
"Glischrocolla",12.412,NA
"Gongylocarpus",43.537,4
"Gossia",52.274,39
"Graffenrieda",22.625,73
"Gravesia",30.502,125
"Guiera",55.379,1
"Guyonia",17.733,15
"Harmogia",NA,1
"Hauya",NA,4
"Heimia",45.048,4
"Hemifuchsia",NA,1
"Henriettea",22.94,68
"Henriettella",22.94,NA
"Heteroblemma",NA,15
"Heterocentron",7.24699999999999,14
"Heteropyxis",22.878,3
"Heterotis",15.99,6
"Homalocalyx",NA,11
"Homalospermum",47.8,1
"Homoranthus",20.446,31
"Huberia",8.14299999999999,37
"Hypocalymma",18.209,28
"Hysterobaeckea",NA,16
"Kanakomyrtus",48.372,6
"Kania",60.299,6
"Kardomia",29.294,6
"Kendrickia",NA,1
"Kerriothyrsus",NA,1
"Killipia",9.86699999999999,NA
"Kirkbridea",NA,2
"Kjellbergiodendron",46.478,1
"Koehneria",15.97,1
"Korupodendron",18.837,1
"Kunzea",37.928,78
"Lafoensia",NA,8
"Lagerstroemia",38.103,61
"Laguncularia",86.423,1
"Lamarchea",25.674,NA
"Lavoisiera",5.20599999999999,42
"Lawsonia",40.745,1
"Leandra",4.08399999999999,NA
"Legrandia",NA,1
"Leiostegia",11.749,NA
"Lenwebbia",36.035,2
"Leptospermum",34.705,96
"Lijndenia",24.789,16
"Lindsayomyrtus",68.492,1
"Lithobium",51.653,1
"Lithomyrtus",47.431,11
"Lopezia",46.218,35
"Lophomyrtus",36.035,3
"Lophostemon",42.483,6
"Loreya",15.628,NA
"Loricalepis",23.525,2
"Lourtella",48.879,1
"Ludwigia",82.6,103
"Luma",45.828,2
"Lumnitzera",73.807,5
"Lysicarpus",67.149,1
"Lythrum",51.031,43
"Macairea",22.877,23
"Macrocentrum",27.359,28
"Macrolenes",NA,17
"Macropteranthes",17.747,5
"Maguireanthus",NA,1
"Maieta",12.301,NA
"Malleostemon",19.69,14
"Mallophyton",NA,1
"Marcetia",13.862,30
"Mecranium",11.747,NA
"Medinilla",21.239,381
"Megacorax",NA,1
"Melaleuca",31.813,465
"Melastoma",12.861,110
"Melastomastrum",17.733,9
"Memecylon",3.94099999999999,400
"Meriania",21.625,111
"Merianthera",34.596,7
"Metrosideros",60.299,78
"Miconia",16.68,1927
"Microlepis",9.09399999999999,NA
"Microlicia",5.72299999999998,190
"Micromyrtus",28.11,52
"Mitrantia",49.049,1
"Monochaetum",5.63799999999999,56
"Monolena",30.215,16
"Mosiera",NA,46
"Mouriri",21.928,105
"Myrceugenia",52.291,60
"Myrcia",40.224,769
"Myrcianthes",39.218,39
"Myrciaria",33.889,32
"Myriaspora",21.229,NA
"Myrrhinium",39.164,3
"Myrtastrum",60.613,1
"Myrtella",47.431,2
"Myrteola",35.952,5
"Myrtus",28.339,6
"Neblinanthera",NA,1
"Necramium",11.322,NA
"Neodriessenia",NA,6
"Neofabricia",34.705,3
"Neoholmgrenia",12.766,2
"Neomitranthes",17.444,13
"Neomyrtus",NA,1
"Nepsera",13.186,1
"Nerophila",NA,1
"Noterophila",13.399,8
"Nothodissotis",NA,2
"Ochrosperma",41.67,6
"Ochthephilus",23.735,1
"Ochthocharis",NA,11
"Octamyrtus",41.785,6
"Oenothera",8.04399999999998,221
"Olinia",33.068,14
"Opisthocentra",46.693,1
"Osbeckia",12.02,53
"Osbornia",NA,1
"Ossaea",4.08399999999999,8
"Oxymyrrhine",17.416,4
"Oxyspora",26.393,38
"Pachyanthus",11.852,NA
"Pachycentria",NA,10
"Pachyloma",22.165,4
"Pehria",11.847,1
"Pemphis",47.643,1
"Penaea",10.186,27
"Pericalymma",20.976,6
"Phainantha",37.318,5
"Phyllagathis",24.701,78
"Physeterostemon",15.992,5
"Physocalymma",51.596,1
