"genus","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9"
"Accara",40.582,1,0,0,0
"Aciotis",17.399,15,0.156,0.12,0.05
"Acisanthera",13.399,14,0.197,0.15,0.062
"Actinodium",16.066,1,0,0,0
"Adelobotrys",23.735,31,0.145,0.117,0.058
"Adenaria",11.847,1,0,0,0
"Agonis",32.903,7,0.059,0.042,0.014
"Algrizea",40.224,2,0.017,0.01,0.002
"Allomaieta",18.079,9,0.122,0.089,0.033
"Alloneuron",25.583,5,0.063,0.043,0.013
"Allosyncarpia",41.623,1,0,0,0
"Aluta",5.63699999999999,10,0.408,0.302,0.114
"Alzatea",39.364,3,0.028,0.018,0.005
"Ammannia",17.707,135,0.277,0.238,0.151
"Amomyrtella",45.909,2,0.015,0.009,0.002
"Amomyrtus",45.794,2,0.015,0.009,0.002
"Amphiblemma",26.47,17,0.107,0.083,0.036
"Amphorocalyx",7.78499999999998,5,0.207,0.141,0.043
"Angophora",16.893,16,0.164,0.127,0.054
"Antherotoma",12.268,10,0.188,0.139,0.052
"Appendicularia",13.186,3,0.083,0.053,0.014
"Archirhodomyrtus",55.165,5,0.029,0.02,0.006
"Arillastrum",60.12,1,0,0,0
"Arthrostemma",28.708,4,0.048,0.032,0.009
"Astartea",18.209,25,0.177,0.141,0.067
"Astrocalyx",21.576,1,0,0,0
"Astronidium",21.576,71,0.198,0.166,0.096
"Astus",25.163,4,0.055,0.036,0.01
"Austromyrtus",52.274,5,0.031,0.021,0.006
"Axinaea",21.625,41,0.172,0.141,0.074
"Axinandra",64.055,4,0.022,0.014,0.004
"Babingtonia",18.216,2,0.038,0.022,0.005
"Backhousia",68.477,13,0.037,0.028,0.012
"Balaustion",29.477,1,0,0,0
"Barongia",61.792,1,0,0,0
"Barthea",27.125,3,0.041,0.026,0.007
"Basisperma",45.956,1,0,0,0
"Beccarianthus",23.435,9,0.094,0.069,0.025
"Bellucia",15.628,22,0.198,0.156,0.072
"Bertolonia",50.442,34,0.07,0.057,0.029
"Blakea",31.882,196,0.166,0.144,0.095
"Blastus",23.93,11,0.1,0.075,0.029
"Blepharocalyx",40.964,3,0.027,0.017,0.004
"Boyania",19.879,2,0.035,0.02,0.005
"Brachyotum",7.24699999999999,55,0.553,0.46,0.256
"Brasilianthus",14.337,1,0,0,0
"Bredia",29.807,25,0.108,0.086,0.041
"Bucquetia",9.877,3,0.111,0.07,0.018
"Callisthene",21.366,10,0.108,0.08,0.03
"Calvoa",27.836,22,0.111,0.088,0.041
"Calycolpus",40.582,17,0.07,0.054,0.024
"Calytrix",30.661,95,0.149,0.126,0.076
"Cambessedesia",31.103,29,0.108,0.087,0.043
"Camissonia",16.365,21,0.186,0.147,0.067
"Camissoniopsis",11.2,20,0.267,0.21,0.095
"Capuronia",23.283,1,0,0,0
"Castratella",9.877,2,0.07,0.041,0.01
"Centradenia",16.102,8,0.129,0.093,0.033
"Centronia",22.625,5,0.071,0.049,0.015
"Chaetolepis",5.63799999999999,14,0.468,0.357,0.148
"Chaetostoma",5.72299999999998,8,0.363,0.263,0.093
"Chalybea",31.882,11,0.075,0.056,0.022
"Chamelaucium",21.027,23,0.149,0.118,0.055
"Chamguava",36.864,5,0.044,0.03,0.009
"Cheyniana",29.477,2,0.024,0.014,0.003
"Chylismia",17.141,41,0.217,0.178,0.094
"Cincinnobotrys",28.768,9,0.076,0.056,0.02
"Clarkia",16.552,74,0.26,0.219,0.128
"Cloezia",60.429,9,0.036,0.027,0.01
"Combretum",70.977,325,0.081,0.072,0.049
"Comolia",5.29199999999999,14,0.499,0.381,0.157
"Conocarpus",77.75,2,0.009,0.005,0.001
"Corymbia",16.893,110,0.278,0.238,0.147
"Corynanthera",28.11,1,0,0,0
"Crenea",17.707,2,0.039,0.023,0.005
"Cuphea",28.011,294,0.203,0.178,0.122
"Curitiba",40.79,1,0,0,0
"Cyathostemon",20.181,7,0.096,0.069,0.023
"Cyphotheca",19.879,1,0,0,0
"Dansiea",17.747,2,0.039,0.023,0.005
"Darwinia",16.066,54,0.248,0.206,0.115
"Decaspermum",56.183,38,0.065,0.053,0.028
"Decodon",51.031,1,0,0,0
"Desmoscelis",20.537,2,0.034,0.02,0.005
"Dicellandra",26.47,7,0.074,0.052,0.018
"Dichaetanthera",9.39899999999999,43,0.4,0.329,0.175
"Didiplis",26.476,1,0,0,0
"Diplusodon",53.295,114,0.089,0.076,0.047
"Dissochaeta",45.349,58,0.09,0.075,0.042
"Dissotis",12.268,63,0.338,0.283,0.161
"Duabanga",38.103,3,0.029,0.018,0.005
"Enekbatus",38.88,10,0.059,0.044,0.017
"Epilobium",21.041,306,0.272,0.239,0.164
"Eremothera",17.391,13,0.147,0.112,0.045
"Ericomyrtus",28.273,4,0.049,0.032,0.009
"Eriocnema",15.992,2,0.043,0.025,0.006
"Erisma",27.828,27,0.118,0.095,0.046
"Erismadelphus",18.837,4,0.074,0.049,0.014
"Ernestia",14.337,15,0.189,0.145,0.061
"Eucalyptopsis",29.21,2,0.024,0.014,0.003
"Eucalyptus",61.946,1096,0.113,0.102,0.076
"Eugenia",32.161,1212,0.221,0.199,0.149
"Eulobus",8.04399999999998,4,0.172,0.114,0.033
"Euryomyrtus",37.544,9,0.059,0.043,0.016
"Feijoa",45.021,1,0,0,0
"Fordiophyton",22.741,15,0.119,0.091,0.038
"Fritzschia",13.862,12,0.179,0.135,0.054
"Fuchsia",50.768,129,0.096,0.082,0.052
"Galpinia",23.283,1,0,0,0
"Gayophytum",16.552,11,0.145,0.108,0.042
"Getonia",55.379,1,0,0,0
"Ginoria",19.473,15,0.139,0.107,0.045
"Gongylocarpus",43.537,4,0.032,0.021,0.006
"Gossia",52.274,39,0.07,0.057,0.03
"Graffenrieda",22.625,73,0.19,0.16,0.093
"Gravesia",30.502,125,0.158,0.136,0.085
"Guiera",55.379,1,0,0,0
"Guyonia",17.733,15,0.153,0.117,0.049
"Heimia",45.048,4,0.031,0.02,0.006
"Henriettea",22.94,68,0.184,0.154,0.089
"Heterocentron",7.24699999999999,14,0.364,0.278,0.115
"Heteropyxis",22.878,3,0.048,0.03,0.008
"Heterotis",15.99,6,0.112,0.078,0.025
"Homalospermum",47.8,1,0,0,0
"Homoranthus",20.446,31,0.168,0.136,0.068
"Huberia",8.14299999999999,37,0.443,0.362,0.187
"Hypocalymma",18.209,28,0.183,0.147,0.072
"Kanakomyrtus",48.372,6,0.037,0.026,0.008
"Kania",60.299,6,0.03,0.021,0.007
"Kardomia",29.294,6,0.061,0.043,0.014
"Kjellbergiodendron",46.478,1,0,0,0
"Koehneria",15.97,1,0,0,0
"Korupodendron",18.837,1,0,0,0
"Kunzea",37.928,78,0.115,0.097,0.057
"Lagerstroemia",38.103,61,0.108,0.09,0.051
"Laguncularia",86.423,1,0,0,0
"Lavoisiera",5.20599999999999,42,0.718,0.589,0.313
"Lawsonia",40.745,1,0,0,0
"Lenwebbia",36.035,2,0.019,0.011,0.003
"Leptospermum",34.705,96,0.132,0.112,0.068
"Lijndenia",24.789,16,0.112,0.086,0.037
