"","genus","Family","most_common_life_form","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","fm_scoring_corolla_diam","n_points","Vol","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9","seed.length.mean","niche_through_time"
"Melastomataceae_Poteranthera","Poteranthera","Melastomataceae","herbaceous","Dry",50,50,3.91202300542815,0.8,0.8,0.8,0.8,"insects","biotic",2.19722457733622,20,-0.526894033218013,5.69522401154016,4.24276296143923,5.70021001807087,5.68952165144019,7.41789840916017,4.33188539511085,6.75483073084561,3.79237990426472,-1.10496189206491,5.2951225369125,3.15340613098463,3.9640568662498,2.69602496414028,0.22,0.78,"open","open","open",9.61599999999999,5,0.167,0.114,0.035,-0.22314355131421,-2.79032241101086
"Melastomataceae_Pseudoernestia","Pseudoernestia","Melastomataceae","herbaceous","Dry",50,50,3.91202300542815,0.8,0.8,0.8,0.8,"insects","biotic",2.52572864430826,12,-1.32395463952946,5.70008240551081,3.81928038620845,5.7033511764408,5.69767571564135,7.9903226947514,3.88849007523722,7.12090820436051,5.49082541649824,-1.79766384520151,5.29535028607313,3.64967097779883,3.84545338043309,2.73587648085969,1,0,"closed","closed","closed",20.187,2,0.034,0.02,0.005,-0.22314355131421,-4.32899347240375
"Myrtaceae_Psidium","Psidium","Myrtaceae","woody","Fleshy",3,250,4.84024230816757,2,9.5,NA,NA,"insects","biotic",3.2188758248682,3073,5.07160037074506,5.69144529654829,4.20049594705414,5.69778251423785,5.68364642737638,7.37072350702373,4.05539255661399,6.57249154590286,4.90402482729481,-0.450589289957091,5.26091585020073,3.42512760084959,3.99649438722032,2.81309651646929,0.54,0.46,"closed","open","closed",39.164,103,0.118,0.101,0.062,1.74919985480926,1.40384241325324
"Melastomataceae_Pternandra","Pternandra","Melastomataceae","woody","Fleshy",100,100,4.60517018598809,0.5,1.25,NA,NA,"insects","biotic",2.77258872223978,281,3.29454449502495,5.69958204547772,3.86976255021592,5.70153040562357,5.69750930288463,7.96733645300984,3.35438556792127,6.94648709735443,6.12359511656354,-0.504429296591808,5.25882962839471,4.57399282124185,3.89089370632188,2.92676650129856,0.86,0.14,"closed","closed","closed",66.219,21,0.046,0.036,0.017,-0.133531392624523,-0.898422935802232
"Melastomataceae_Pterogastra","Pterogastra","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.8,0.9,0.55,0.6,"insects","biotic",3.11351530921037,116,3.43398655077255,5.69292853448933,3.99153058911374,5.69572348638792,5.68996243959769,7.8868688249807,3.91561255824139,7.03450996288067,5.32317384545904,0.104737347422297,5.26771016306498,3.70272093093224,3.94476498113873,2.7678985122981,0.72,0.28,"closed","closed","closed",18.89,4,0.073,0.049,0.014,-0.162518929497775,0.495353869259134
"Melastomataceae_Pterolepis","Pterolepis","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.25,1,0.2,0.66,"insects","biotic",3.27714473299218,608,3.58139102107553,5.69452462382958,4.141797313919,5.70000269857685,5.68824260168783,7.35028777568385,4.15580533756287,6.6146354386936,4.64187621127805,-0.626029092368417,5.27243657965089,3.3335691329348,3.98924404384399,2.79722016848773,0.48,0.52,"open","open","closed",18.89,16,0.147,0.113,0.049,-0.470003629245736,0.642758339562112
"Lythraceae_Punica","Punica","Lythraceae","woody","Fleshy",100,1000,6.30991827822652,4,4.6,1.8,2,"insects, vertebrates","biotic",3.76120011569356,32,2.40024383561477,5.65836769417675,4.43206222341104,5.69379713142157,5.6223935400932,6.3507745692001,4.14152357111131,5.71906513929347,3.85526273629671,0.52401408551852,5.1615124787709,3.79378159196266,4.257365094277,2.79811273277994,0.33,0.67,"open","open","open",40.485,2,0.017,0.01,0.002,1.45861502269952,-1.3006876995233
"Myrtaceae_Purpureostemon","Purpureostemon","Myrtaceae","woody","Dry",80,100,4.86753445045558,4.5,6,2,2.5,"vertebrates","biotic",2.70805020110221,6,-3.91397095828525,5.69406007000102,3.01750206531589,5.70285542671589,5.68454904062952,7.34787567210724,3.97766389076961,6.61566950862824,5.06830361894621,-0.789412994183716,5.22245689601448,3.70365457605616,3.99929173963873,2.89239426468998,1,0,"closed","closed","closed",39.957,1,0,0,0,1.65822807660353,-7.60177483417226
"Vochysiaceae_Qualea","Qualea","Vochysiaceae","woody","Dry",3,30,2.80336038090653,10,45,3,15,"insects","biotic",3.67630067190708,2010,4.14761375094618,5.69484673394013,4.21948640103157,5.70011304120825,5.68854931335733,7.45560576195096,4.17058822127267,6.69605850099167,4.77487510005392,-1.00987037871453,5.28883004286897,3.25064001248677,3.94982160781923,2.80531757602747,0.41,0.59,"open","open","closed",21.366,66,0.196,0.164,0.094,3.31418600467253,1.08581287742249
"Melastomataceae_Quipuanthus","Quipuanthus","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.6,1.2,0.2,0.4,"insects","biotic",2.7408400239252,5,-6.13217831733441,5.69183831203018,4.18264550077518,5.69356494090171,5.68603415748069,7.85673875865515,3.04115952891107,6.72259363582937,6.18127463318284,0.668454946160974,5.21596975630724,4.06479181922734,3.92899856239302,2.74748048973388,1,0,"closed","closed","closed",29.012,1,0,0,0,-0.105360515657826,-9.49988785483558
"Melastomataceae_Rhexia","Rhexia","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.4,1.5,0.25,0.8,"insects","biotic",4.04305126783455,1008,1.89813999190885,5.67039585434221,4.35435950762136,5.7005040914369,5.63704511156266,7.15587782840242,3.16333617640401,6.07496014417578,5.40273187146024,-2.19050406035592,5.29581121177869,4.0175844779344,3.97033117836594,2.78844610453703,0.96,0.04,"closed","closed","closed",22.166,15,0.122,0.094,0.039,-0.0512932943875506,-1.20041959144461
"Myrtaceae_Rhodamnia","Rhodamnia","Myrtaceae","woody","Fleshy",2,30,2.77258872223978,2,6,1.5,4.5,"insects","biotic",2.56494935746154,506,4.06312841338002,5.68849744244834,4.05915888620753,5.69816945614599,5.67676554559009,7.48706452472133,3.94317410601633,6.68441215913214,5.24933792783821,-0.470460505528341,5.16211410188489,3.89242689448007,4.00408250237012,2.87293791581252,0.85,0.15,"closed","closed","closed",58.486,43,0.064,0.053,0.028,1.38629436111989,-0.00565899597776915
"Myrtaceae_Rhodomyrtus","Rhodomyrtus","Myrtaceae","woody","Fleshy",5,50,3.11351530921037,1.5,5,1,3.5,"insects","biotic",3.2188758248682,382,4.05457748141556,5.6897557478996,3.99242841485693,5.70124576254993,5.67542799610295,7.58089872055433,4.09425364332207,6.8409522851213,5.21334425590913,-0.332358873241254,5.19295191617286,3.88641159908432,4.00710250343846,2.85694228148241,0.8,0.2,"closed","closed","closed",41.785,28,0.08,0.064,0.031,1.17865499634165,0.322040057962163
"Melastomataceae_Rhynchanthera","Rhynchanthera","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.5,1,0.2,0.35,"insects","biotic",3.8286413964891,841,3.62175556701141,5.69370366186778,4.2121157429985,5.6996041002146,5.68644974510975,7.42969369204151,4.15247255912669,6.7016489804693,4.58301795597895,-0.964730949284413,5.28751897403237,3.28840172629325,3.96600100359064,2.7950040051358,0.46,0.54,"open","open","closed",18.037,19,0.163,0.128,0.057,-0.287682072451781,0.729330363323351
"Penaeaceae_Rhynchocalyx","Rhynchocalyx","Penaeaceae","woody","Dry",30,60,3.80666248977032,4,5,2,3,"insects","biotic",0,2,-6.13217831733441,5.68055522741075,4.1644128160732,5.69260142912109,5.66766296261515,7.10008064649947,3.80956536835346,6.10573723081967,4.63017968457859,0.0271450873904265,5.28745121977309,3.2483405144701,4.02330042321107,2.82756661552011,1,0,"closed","closed","closed",31.381,1,0,0,0,1.50407739677627,-9.57838093156303
"Myrtaceae_Rinzia","Rinzia","Myrtaceae","woody","Dry",1,3,0.916290731874155,1.4,1.5,NA,NA,"insects","biotic",1.87180217690159,490,1.33136180606931,5.66881474272804,4.44530906229684,5.68846754773922,5.649123017145,6.03803422438461,3.65852961077023,5.12936992618298,3.97290626686819,-1.78936594546465,5.2268506421861,2.73772709214558,4.26473499497753,2.71017436702464,0.03,0.97,"open","open","open",38.495,21,0.079,0.062,0.029,0.371563556432483,-2.3191665566607
"Myrtaceae_Ristantia","Ristantia","Myrtaceae","woody","Dry",1,3,0.916290731874155,5,7,NA,NA,NA,NA,1.79175946922805,13,-1.76597340687243,5.69270176665124,3.68390211246449,5.70205118652064,5.68097219972868,7.97229420586936,4.28102538969286,7.37988974759644,5.38980633114432,-0.046724656370411,5.06451102517684,3.8361558719765,3.98850795059342,2.86292380650983,0.99,0.01,"closed","closed","closed",49.049,3,0.022,0.014,0.004,1.79175946922805,-5.65879320531614
